,Mouse,Direction,Timepoint,Freezing
0,1,Prospective,5h,41.23
1,2,Prospective,5h,57.54
2,3,Prospective,5h,18.59
3,4,Prospective,5h,5.37
4,5,Prospective,5h,3.78
5,6,Prospective,5h,33.86
6,7,Prospective,5h,17.56
7,8,Prospective,5h,44.14
8,9,Prospective,5h,43.76
9,10,Prospective,5h,24.57
10,11,Prospective,1d,19.71
11,12,Prospective,1d,10.61
12,13,Prospective,1d,10.77
13,14,Prospective,1d,4.89
14,15,Prospective,1d,3.61
15,16,Prospective,1d,21.34
16,17,Prospective,1d,43.39
17,18,Prospective,1d,0.0
18,19,Prospective,1d,9.31
19,20,Prospective,2d,2.33
20,21,Prospective,2d,10.47
21,22,Prospective,2d,11.84
22,23,Prospective,2d,22.56
23,24,Prospective,2d,28.32
24,25,Prospective,2d,9.1
25,26,Prospective,2d,18.06
26,27,Prospective,2d,7.62
