,Mouse,Direction,Timepoint,Freezing
27,28,Retrospective,5h,23.62
28,29,Retrospective,5h,13.47
29,30,Retrospective,5h,49.02
30,31,Retrospective,5h,10.52
31,32,Retrospective,5h,24.22
32,33,Retrospective,5h,13.7
33,34,Retrospective,5h,13.42
34,35,Retrospective,5h,19.04
35,36,Retrospective,5h,38.36
36,37,Retrospective,5h,35.09
37,38,Retrospective,1d,26.24
38,39,Retrospective,1d,42.61
39,40,Retrospective,1d,12.84
40,41,Retrospective,1d,38.87
41,42,Retrospective,1d,26.98
42,43,Retrospective,1d,6.22
43,44,Retrospective,1d,20.11
44,45,Retrospective,1d,54.09
45,46,Retrospective,1d,13.3
46,47,Retrospective,1d,38.79
47,48,Retrospective,2d,5.83
48,49,Retrospective,2d,38.87
49,50,Retrospective,2d,16.78
50,51,Retrospective,2d,15.73
51,52,Retrospective,2d,16.53
52,53,Retrospective,2d,7.12
53,54,Retrospective,2d,29.31
54,55,Retrospective,2d,42.9
55,56,Retrospective,2d,13.62
56,57,Retrospective,2d,19.73
