,Mouse,Amplitude,Context,Freezing
40,9,0.25mA,Novel,0.0
41,10,1.5mA,Novel,13.212
42,11,0.25mA,Novel,15.09
43,12,1.5mA,Novel,19.311999999999998
44,13,0.25mA,Neutral,6.454000000000001
45,14,1.5mA,Neutral,28.1
46,15,0.25mA,Neutral,0.766
47,16,1.5mA,Neutral,42.92
56,25,0.25mA,Neutral,27.712
57,26,1.5mA,Neutral,46.788
58,27,0.25mA,Neutral,8.822
59,28,1.5mA,Neutral,16.29
60,29,0.25mA,Novel,23.134
61,30,1.5mA,Novel,30.568
62,31,0.25mA,Novel,17.4
63,32,1.5mA,Novel,15.010000000000002
72,9,0.25mA,Neutral,1.134
73,10,1.5mA,Neutral,40.344
74,11,0.25mA,Neutral,13.078
75,12,1.5mA,Neutral,19.488
76,13,0.25mA,Novel,3.224
77,14,1.5mA,Novel,20.857999999999997
78,15,0.25mA,Novel,0.0
79,16,1.5mA,Novel,16.444
88,25,0.25mA,Novel,5.166
89,26,1.5mA,Novel,32.988
90,27,0.25mA,Novel,1.388
91,28,1.5mA,Novel,16.39
92,29,0.25mA,Neutral,16.79
93,30,1.5mA,Neutral,29.898000000000003
94,31,0.25mA,Neutral,20.076
95,32,1.5mA,Neutral,25.812
