,Mouse,Window,Context,Freezing
0,1,7d,Aversive,10.158
1,2,7d,Aversive,51.188
2,3,7d,Aversive,37.432
3,4,7d,Aversive,63.19
4,5,7d,Aversive,35.678000000000004
5,6,7d,Aversive,42.544
6,7,7d,Aversive,45.089999999999996
7,8,7d,Aversive,15.742
8,9,7d,Aversive,39.0
9,10,7d,Aversive,26.2
11,12,7d,Aversive,59.944
12,13,7d,Aversive,82.924
13,14,7d,Aversive,44.576
14,15,7d,Aversive,38.288
15,16,7d,Aversive,54.2
16,17,2d,Aversive,57.9
17,18,2d,Aversive,46.21
18,19,2d,Aversive,80.89
19,20,2d,Aversive,20.642
20,21,2d,Aversive,51.398
21,22,2d,Aversive,76.34400000000001
22,23,2d,Aversive,52.2
23,24,2d,Aversive,34.501999999999995
24,25,2d,Aversive,47.480000000000004
25,26,2d,Aversive,30.065999999999995
26,27,2d,Aversive,27.912
27,28,2d,Aversive,60.45399999999999
28,29,2d,Aversive,42.198
29,30,2d,Aversive,71.046
30,31,2d,Aversive,27.553999999999995
31,32,2d,Aversive,37.932
