,Mouse,Window,Context,Freezing
0,1,7d,Neutral,12.422
1,2,7d,Neutral,48.08
2,3,7d,Neutral,46.256
3,4,7d,Neutral,33.766
4,5,7d,Novel,14.034
5,6,7d,Novel,17.990000000000002
6,7,7d,Novel,15.02
7,8,7d,Novel,5.59
8,9,7d,Neutral,51.634
9,10,7d,Neutral,19.656
11,12,7d,Neutral,46.666
12,13,7d,Novel,41.712
13,14,7d,Novel,29.153999999999996
14,15,7d,Novel,29.366000000000003
15,16,7d,Novel,16.032
16,17,2d,Neutral,34.588
17,18,2d,Neutral,41.370000000000005
18,19,2d,Neutral,58.0
19,20,2d,Neutral,27.131999999999998
20,21,2d,Novel,12.544
21,22,2d,Novel,36.788
22,23,2d,Novel,20.932
23,24,2d,Novel,10.22
24,25,2d,Neutral,26.334000000000003
25,26,2d,Neutral,48.465999999999994
26,27,2d,Neutral,18.544
27,28,2d,Neutral,38.144
28,29,2d,Novel,42.1
29,30,2d,Novel,34.346000000000004
30,31,2d,Novel,17.422
31,32,2d,Novel,29.1
0,1,7d,Novel,5.556
1,2,7d,Novel,22.509999999999998
2,3,7d,Novel,33.678
3,4,7d,Novel,35.456
4,5,7d,Neutral,31.524
5,6,7d,Neutral,41.968
6,7,7d,Neutral,37.748000000000005
7,8,7d,Neutral,27.254
8,9,7d,Novel,32.077999999999996
9,10,7d,Novel,21.844
11,12,7d,Novel,32.61
12,13,7d,Neutral,54.176
13,14,7d,Neutral,42.577999999999996
14,15,7d,Neutral,51.322
15,16,7d,Neutral,17.722
16,17,2d,Novel,11.756
17,18,2d,Novel,13.022
18,19,2d,Novel,38.263999999999996
19,20,2d,Novel,2.822
20,21,2d,Neutral,42.3
21,22,2d,Neutral,52.355999999999995
22,23,2d,Neutral,49.676
23,24,2d,Neutral,35.946000000000005
24,25,2d,Novel,36.822
25,26,2d,Novel,19.5
26,27,2d,Novel,17.488
27,28,2d,Novel,33.464
28,29,2d,Neutral,55.354
29,30,2d,Neutral,48.924
30,31,2d,Neutral,42.578
31,32,2d,Neutral,29.544
