,Mouse,AversiveRecallOrder,Context,Freezing
0,1,First,Aversive,45.334
1,2,First,Aversive,55.224000000000004
2,3,First,Aversive,54.678
3,4,First,Aversive,35.156
4,5,First,Aversive,27.477999999999998
5,6,First,Aversive,66.28999999999999
6,7,First,Aversive,47.456
7,8,First,Aversive,56.431999999999995
8,9,First,Aversive,40.968
9,10,First,Aversive,62.955999999999996
10,11,First,Aversive,58.29
11,12,First,Aversive,54.822
12,13,First,Aversive,54.678
13,14,First,Aversive,43.846000000000004
14,15,First,Aversive,28.341999999999995
15,16,First,Aversive,23.422
16,17,First,Aversive,28.9
17,18,First,Aversive,80.598
18,19,First,Aversive,42.089999999999996
19,20,First,Aversive,56.988
20,21,First,Aversive,26.921999999999997
21,22,First,Aversive,38.78
22,23,First,Aversive,34.525999999999996
23,24,First,Aversive,25.578
72,25,Last,Aversive,39.644
73,26,Last,Aversive,22.136000000000003
74,27,Last,Aversive,59.71
75,28,Last,Aversive,21.934
76,29,Last,Aversive,34.922000000000004
77,30,Last,Aversive,45.588
78,31,Last,Aversive,46.288
79,32,Last,Aversive,30.064
80,33,Last,Aversive,36.51
81,34,Last,Aversive,41.510000000000005
82,35,Last,Aversive,33.898
83,36,Last,Aversive,40.858000000000004
84,37,Last,Aversive,29.72
85,38,Last,Aversive,51.346000000000004
86,39,Last,Aversive,45.498000000000005
87,40,Last,Aversive,22.222
88,41,Last,Aversive,57.188
89,42,Last,Aversive,37.534000000000006
90,43,Last,Aversive,51.812
91,44,Last,Aversive,56.278
92,45,Last,Aversive,51.077999999999996
93,46,Last,Aversive,38.624
94,47,Last,Aversive,63.202
95,48,Last,Aversive,63.634
