,Mouse,AversiveRecallOrder,Context,Freezing
24,25,Last,Neutral,53.75599999999999
25,26,Last,Neutral,29.212
26,27,Last,Neutral,47.822
27,28,Last,Neutral,19.8
28,29,Last,Neutral,67.688
29,30,Last,Neutral,34.553999999999995
30,31,Last,Neutral,46.82
31,32,Last,Neutral,53.02
32,33,Last,Neutral,38.812
33,34,Last,Neutral,43.988
34,35,Last,Neutral,40.11
35,36,Last,Neutral,31.21
36,37,Last,Novel,26.554000000000002
37,38,Last,Novel,36.221999999999994
38,39,Last,Novel,26.853999999999996
39,40,Last,Novel,18.6
40,41,Last,Novel,30.344
41,42,Last,Novel,19.302
42,43,Last,Novel,29.934000000000005
43,44,Last,Novel,32.912
44,45,Last,Novel,46.989999999999995
45,46,Last,Novel,29.51
46,47,Last,Novel,43.512
47,48,Last,Novel,34.756
48,1,First,Neutral,36.878
49,2,First,Neutral,57.622
50,3,First,Neutral,48.366
51,4,First,Neutral,37.234
52,5,First,Neutral,34.61
53,6,First,Neutral,49.412
54,7,First,Neutral,55.266
55,8,First,Neutral,66.75399999999999
56,9,First,Neutral,29.854000000000003
57,10,First,Neutral,38.04600000000001
58,11,First,Neutral,34.636
59,12,First,Neutral,38.512
60,13,First,Novel,39.488
61,14,First,Novel,29.502
62,15,First,Novel,26.468
63,16,First,Novel,28.712
64,17,First,Novel,28.21
65,18,First,Novel,37.056
66,19,First,Novel,25.188
67,20,First,Novel,25.244
68,21,First,Novel,42.224000000000004
69,22,First,Novel,32.944
70,23,First,Novel,22.11
71,24,First,Novel,26.353999999999996
72,25,Last,Novel,28.068
73,26,Last,Novel,26.465999999999998
74,27,Last,Novel,37.246
75,28,Last,Novel,5.965999999999999
76,29,Last,Novel,37.89
77,30,Last,Novel,46.8
78,31,Last,Novel,44.956
79,32,Last,Novel,36.31
80,33,Last,Novel,29.810000000000002
81,34,Last,Novel,21.124000000000002
82,35,Last,Novel,34.132
83,36,Last,Novel,29.387999999999998
84,37,Last,Neutral,22.532
85,38,Last,Neutral,30.922000000000004
86,39,Last,Neutral,46.388
87,40,Last,Neutral,11.434000000000001
88,41,Last,Neutral,52.022000000000006
89,42,Last,Neutral,33.465999999999994
90,43,Last,Neutral,46.378
91,44,Last,Neutral,43.724000000000004
92,45,Last,Neutral,78.654
93,46,Last,Neutral,33.488
94,47,Last,Neutral,49.232
95,48,Last,Neutral,53.234
96,1,First,Novel,15.544
97,2,First,Novel,29.224
98,3,First,Novel,54.641999999999996
99,4,First,Novel,23.5
100,5,First,Novel,22.856
101,6,First,Novel,45.010000000000005
102,7,First,Novel,33.001999999999995
103,8,First,Novel,56.812
104,9,First,Novel,19.412
105,10,First,Novel,31.912
106,11,First,Novel,14.11
107,12,First,Novel,26.02
108,13,First,Neutral,45.6
109,14,First,Neutral,35.989999999999995
110,15,First,Neutral,15.532
111,16,First,Neutral,43.089999999999996
112,17,First,Neutral,22.8
113,18,First,Neutral,54.455999999999996
114,19,First,Neutral,48.668
115,20,First,Neutral,46.192
116,21,First,Neutral,43.156
117,22,First,Neutral,36.846000000000004
118,23,First,Neutral,18.776
119,24,First,Neutral,22.456
