,Mouse,Drug,Context,Freezing
0,1.0,Sal,Neutral,31.877999999999997
1,3.0,PSEM,Neutral,4.768
2,4.0,Sal,Neutral,58.556
3,5.0,PSEM,Neutral,33.358000000000004
4,6.0,Sal,Novel,20.534
5,7.0,PSEM,Novel,7.2780000000000005
6,8.0,Sal,Novel,9.998000000000001
7,9.0,PSEM,Novel,18.31
12,14.0,PSEM,Neutral,4.712
13,15.0,Sal,Neutral,32.088
14,16.0,PSEM,Neutral,27.5
15,17.0,Sal,Neutral,28.224
16,18.0,PSEM,Novel,27.865999999999996
17,19.0,Sal,Novel,27.875999999999998
18,20.0,PSEM,Novel,8.056000000000001
20,22.0,Sal,Neutral,41.778
21,23.0,PSEM,Neutral,9.488
22,24.0,Sal,Neutral,16.812
23,25.0,PSEM,Neutral,1.4780000000000002
24,28.0,Sal,Novel,22.434
25,29.0,PSEM,Novel,12.822
26,30.0,Sal,Novel,21.554
27,31.0,PSEM,Novel,2.19
0,1.0,Sal,Neutral,57.678
1,2.0,PSEM,Neutral,54.822
2,3.0,Sal,Neutral,70.612
3,4.0,PSEM,Neutral,48.168
4,5.0,Sal,Novel,58.402
5,6.0,PSEM,Novel,36.989999999999995
6,7.0,Sal,Novel,20.919999999999998
7,8.0,PSEM,Novel,46.744
12,13.0,PSEM,Neutral,26.778
13,14.0,Sal,Neutral,72.59
14,15.0,PSEM,Neutral,52.001999999999995
15,16.0,Sal,Neutral,52.068000000000005
16,17.0,PSEM,Novel,29.246000000000002
17,18.0,Sal,Novel,34.788
18,19.0,PSEM,Novel,61.1
24,25.0,Sal,Neutral,42.146
25,26.0,PSEM,Neutral,29.122000000000003
26,27.0,Sal,Neutral,7.532000000000001
27,28.0,PSEM,Neutral,21.676
28,29.0,PSEM,Novel,44.622
29,30.0,Sal,Novel,6.644
30,31.0,PSEM,Novel,46.998000000000005
31,32.0,Sal,Novel,6.754
