,Mouse,Drug,Context,Freezing
8,10.0,Sal,Aversive,52.878
9,11.0,PSEM,Aversive,19.368000000000002
10,12.0,Sal,Aversive,59.358000000000004
11,13.0,PSEM,Aversive,53.334
28,32.0,PSEM,Aversive,79.11
29,33.0,Sal,Aversive,82.588
30,34.0,PSEM,Aversive,36.922000000000004
8,9.0,Sal,Aversive,59.334
9,10.0,PSEM,Aversive,58.822
10,11.0,Sal,Aversive,42.2
11,12.0,PSEM,Aversive,53.012
20,21.0,Sal,Aversive,34.254
21,22.0,PSEM,Aversive,49.45399999999999
22,23.0,Sal,Aversive,65.466
23,24.0,PSEM,Aversive,93.74600000000001
32,33.0,PSEM,Aversive,37.268
