,Mouse,Amplitude,Day,TimeBin,Sleep,Proportion
0,Ca_EEG2-1,1.5mA,PostAversive,0.0,sleep,48.0
1,Ca_EEG2-1,1.5mA,PostAversive,0.0,wake,52.0
2,Ca_EEG2-1,1.5mA,PostAversive,1.0,sleep,48.833333333333336
3,Ca_EEG2-1,1.5mA,PostAversive,1.0,wake,51.16666666666667
4,Ca_EEG2-1,1.5mA,PostAversive,2.0,sleep,84.5
5,Ca_EEG2-1,1.5mA,PostAversive,2.0,wake,15.5
6,Ca_EEG2-1,1.5mA,PostAversive,3.0,sleep,67.33333333333334
7,Ca_EEG2-1,1.5mA,PostAversive,3.0,wake,32.666666666666664
8,Ca_EEG2-1,1.5mA,PostAversive,4.0,sleep,18.333333333333332
9,Ca_EEG2-1,1.5mA,PostAversive,4.0,wake,81.66666666666667
10,Ca_EEG2-1,1.5mA,PostAversive,5.0,sleep,39.33333333333333
11,Ca_EEG2-1,1.5mA,PostAversive,5.0,wake,60.66666666666667
12,Ca_EEG2-1,1.5mA,PostAversive,6.0,sleep,9.833333333333334
13,Ca_EEG2-1,1.5mA,PostAversive,6.0,wake,90.16666666666666
14,Ca_EEG2-1,1.5mA,PostAversive,7.0,sleep,78.0
15,Ca_EEG2-1,1.5mA,PostAversive,7.0,wake,22.0
16,Ca_EEG2-1,1.5mA,PostAversive,8.0,sleep,40.49999999999999
17,Ca_EEG2-1,1.5mA,PostAversive,8.0,wake,59.5
18,Ca_EEG2-1,1.5mA,PostAversive,9.0,sleep,16.0
19,Ca_EEG2-1,1.5mA,PostAversive,9.0,wake,84.0
20,Ca_EEG2-1,1.5mA,PostAversive,10.0,sleep,10.833333333333334
21,Ca_EEG2-1,1.5mA,PostAversive,10.0,wake,89.16666666666667
22,Ca_EEG2-1,1.5mA,PostAversive,11.0,sleep,7.166666666666668
23,Ca_EEG2-1,1.5mA,PostAversive,11.0,wake,92.83333333333333
24,Ca_EEG2-1,1.5mA,PostAversive,12.0,sleep,2.0
25,Ca_EEG2-1,1.5mA,PostAversive,12.0,wake,98.0
26,Ca_EEG2-1,1.5mA,PostAversive,13.0,sleep,5.666666666666667
27,Ca_EEG2-1,1.5mA,PostAversive,13.0,wake,94.33333333333334
28,Ca_EEG2-1,1.5mA,PostAversive,14.0,sleep,22.666666666666664
29,Ca_EEG2-1,1.5mA,PostAversive,14.0,wake,77.33333333333333
30,Ca_EEG2-1,1.5mA,PostAversive,15.0,sleep,78.83333333333333
31,Ca_EEG2-1,1.5mA,PostAversive,15.0,wake,21.166666666666668
32,Ca_EEG2-1,1.5mA,PostAversive,16.0,sleep,0.16666666666666669
33,Ca_EEG2-1,1.5mA,PostAversive,16.0,wake,99.83333333333333
34,Ca_EEG2-1,1.5mA,PostAversive,17.0,sleep,79.66666666666667
35,Ca_EEG2-1,1.5mA,PostAversive,17.0,wake,20.333333333333332
36,Ca_EEG2-1,1.5mA,PostAversive,18.0,sleep,85.66666666666667
37,Ca_EEG2-1,1.5mA,PostAversive,18.0,wake,14.333333333333334
38,Ca_EEG2-1,1.5mA,PostAversive,19.0,sleep,51.5
39,Ca_EEG2-1,1.5mA,PostAversive,19.0,wake,48.5
40,Ca_EEG2-1,1.5mA,PostAversive,20.0,sleep,15.966386554621849
41,Ca_EEG2-1,1.5mA,PostAversive,20.0,wake,84.03361344537815
42,Ca_EEG2-1,1.5mA,PostAversive,21.0,sleep,65.33333333333333
43,Ca_EEG2-1,1.5mA,PostAversive,21.0,wake,34.66666666666667
44,Ca_EEG2-1,1.5mA,PostAversive,22.0,sleep,90.33333333333333
45,Ca_EEG2-1,1.5mA,PostAversive,22.0,wake,9.666666666666666
46,Ca_EEG2-1,1.5mA,PostAversive,23.0,sleep,12.0
47,Ca_EEG2-1,1.5mA,PostAversive,23.0,wake,88.0
48,Ca_EEG2-1,1.5mA,PostNeutral,0.0,sleep,31.297709923664122
49,Ca_EEG2-1,1.5mA,PostNeutral,0.0,wake,68.70229007633588
50,Ca_EEG2-1,1.5mA,PostNeutral,1.0,sleep,95.33333333333333
51,Ca_EEG2-1,1.5mA,PostNeutral,1.0,wake,4.666666666666667
52,Ca_EEG2-1,1.5mA,PostNeutral,2.0,sleep,47.0
53,Ca_EEG2-1,1.5mA,PostNeutral,2.0,wake,53.0
54,Ca_EEG2-1,1.5mA,PostNeutral,3.0,sleep,65.0
55,Ca_EEG2-1,1.5mA,PostNeutral,3.0,wake,35.0
56,Ca_EEG2-1,1.5mA,PostNeutral,4.0,sleep,57.666666666666664
57,Ca_EEG2-1,1.5mA,PostNeutral,4.0,wake,42.333333333333336
58,Ca_EEG2-1,1.5mA,PostNeutral,5.0,sleep,31.16666666666667
59,Ca_EEG2-1,1.5mA,PostNeutral,5.0,wake,68.83333333333333
60,Ca_EEG2-1,1.5mA,PostNeutral,6.0,sleep,17.333333333333332
61,Ca_EEG2-1,1.5mA,PostNeutral,6.0,wake,82.66666666666667
62,Ca_EEG2-1,1.5mA,PostNeutral,7.0,sleep,29.333333333333332
63,Ca_EEG2-1,1.5mA,PostNeutral,7.0,wake,70.66666666666667
64,Ca_EEG2-1,1.5mA,PostNeutral,8.0,sleep,49.166666666666664
65,Ca_EEG2-1,1.5mA,PostNeutral,8.0,wake,50.83333333333333
66,Ca_EEG2-1,1.5mA,PostNeutral,9.0,sleep,42.833333333333336
67,Ca_EEG2-1,1.5mA,PostNeutral,9.0,wake,57.166666666666664
68,Ca_EEG2-1,1.5mA,PostNeutral,10.0,sleep,0.0
69,Ca_EEG2-1,1.5mA,PostNeutral,10.0,wake,100.0
70,Ca_EEG2-1,1.5mA,PostNeutral,11.0,sleep,1.3333333333333335
71,Ca_EEG2-1,1.5mA,PostNeutral,11.0,wake,98.66666666666667
72,Ca_EEG2-1,1.5mA,PostNeutral,12.0,sleep,0.0
73,Ca_EEG2-1,1.5mA,PostNeutral,12.0,wake,100.0
74,Ca_EEG2-1,1.5mA,PostNeutral,13.0,sleep,0.0
75,Ca_EEG2-1,1.5mA,PostNeutral,13.0,wake,100.0
76,Ca_EEG2-1,1.5mA,PostNeutral,14.0,sleep,0.0
77,Ca_EEG2-1,1.5mA,PostNeutral,14.0,wake,100.0
78,Ca_EEG2-1,1.5mA,PostNeutral,15.0,sleep,19.5
79,Ca_EEG2-1,1.5mA,PostNeutral,15.0,wake,80.5
80,Ca_EEG2-1,1.5mA,PostNeutral,16.0,sleep,75.5
81,Ca_EEG2-1,1.5mA,PostNeutral,16.0,wake,24.5
