,Mouse,Amplitude,Day,TimeBin,Sleep,Proportion
0,Ca_EEG2-1,1.5mA,PostAversive,0.0,sleep,0.0
1,Ca_EEG2-1,1.5mA,PostAversive,0.0,wake,100.0
2,Ca_EEG2-1,1.5mA,PostAversive,0.08333333333333333,sleep,0.0
3,Ca_EEG2-1,1.5mA,PostAversive,0.08333333333333333,wake,100.0
4,Ca_EEG2-1,1.5mA,PostAversive,0.16666666666666666,sleep,60.0
5,Ca_EEG2-1,1.5mA,PostAversive,0.16666666666666666,wake,40.0
6,Ca_EEG2-1,1.5mA,PostAversive,0.25,sleep,44.0
7,Ca_EEG2-1,1.5mA,PostAversive,0.25,wake,56.00000000000001
8,Ca_EEG2-1,1.5mA,PostAversive,0.3333333333333333,sleep,0.0
9,Ca_EEG2-1,1.5mA,PostAversive,0.3333333333333333,wake,100.0
10,Ca_EEG2-1,1.5mA,PostAversive,0.4166666666666667,sleep,34.0
11,Ca_EEG2-1,1.5mA,PostAversive,0.4166666666666667,wake,66.0
12,Ca_EEG2-1,1.5mA,PostAversive,0.5,sleep,70.0
13,Ca_EEG2-1,1.5mA,PostAversive,0.5,wake,30.0
14,Ca_EEG2-1,1.5mA,PostAversive,0.5833333333333334,sleep,98.0
15,Ca_EEG2-1,1.5mA,PostAversive,0.5833333333333334,wake,2.0
16,Ca_EEG2-1,1.5mA,PostAversive,0.6666666666666666,sleep,70.0
17,Ca_EEG2-1,1.5mA,PostAversive,0.6666666666666666,wake,30.0
18,Ca_EEG2-1,1.5mA,PostAversive,0.75,sleep,84.00000000000001
19,Ca_EEG2-1,1.5mA,PostAversive,0.75,wake,16.0
20,Ca_EEG2-1,1.5mA,PostAversive,0.8333333333333334,sleep,36.0
21,Ca_EEG2-1,1.5mA,PostAversive,0.8333333333333334,wake,64.0
22,Ca_EEG2-1,1.5mA,PostAversive,0.9166666666666666,sleep,80.0
23,Ca_EEG2-1,1.5mA,PostAversive,0.9166666666666666,wake,20.0
24,Ca_EEG2-1,1.5mA,PostAversive,1.0,sleep,86.0
25,Ca_EEG2-1,1.5mA,PostAversive,1.0,wake,14.000000000000002
26,Ca_EEG2-1,1.5mA,PostAversive,1.0833333333333333,sleep,96.0
27,Ca_EEG2-1,1.5mA,PostAversive,1.0833333333333333,wake,4.0
28,Ca_EEG2-1,1.5mA,PostAversive,1.1666666666666667,sleep,90.0
29,Ca_EEG2-1,1.5mA,PostAversive,1.1666666666666667,wake,10.0
30,Ca_EEG2-1,1.5mA,PostAversive,1.25,sleep,84.0
31,Ca_EEG2-1,1.5mA,PostAversive,1.25,wake,16.0
32,Ca_EEG2-1,1.5mA,PostAversive,1.3333333333333333,sleep,96.0
33,Ca_EEG2-1,1.5mA,PostAversive,1.3333333333333333,wake,4.0
34,Ca_EEG2-1,1.5mA,PostAversive,1.4166666666666667,sleep,98.0
35,Ca_EEG2-1,1.5mA,PostAversive,1.4166666666666667,wake,2.0
36,Ca_EEG2-1,1.5mA,PostAversive,1.5,sleep,36.0
37,Ca_EEG2-1,1.5mA,PostAversive,1.5,wake,64.0
38,Ca_EEG2-1,1.5mA,PostAversive,1.5833333333333333,sleep,0.0
39,Ca_EEG2-1,1.5mA,PostAversive,1.5833333333333333,wake,100.0
40,Ca_EEG2-1,1.5mA,PostAversive,1.6666666666666667,sleep,0.0
41,Ca_EEG2-1,1.5mA,PostAversive,1.6666666666666667,wake,100.0
42,Ca_EEG2-1,1.5mA,PostAversive,1.75,sleep,0.0
43,Ca_EEG2-1,1.5mA,PostAversive,1.75,wake,100.0
44,Ca_EEG2-1,1.5mA,PostAversive,1.8333333333333333,sleep,0.0
45,Ca_EEG2-1,1.5mA,PostAversive,1.8333333333333333,wake,100.0
46,Ca_EEG2-1,1.5mA,PostAversive,1.9166666666666667,sleep,0.0
47,Ca_EEG2-1,1.5mA,PostAversive,1.9166666666666667,wake,100.0
48,Ca_EEG2-1,1.5mA,PostNeutral,0.0,sleep,22.0
49,Ca_EEG2-1,1.5mA,PostNeutral,0.0,wake,78.0
50,Ca_EEG2-1,1.5mA,PostNeutral,0.08333333333333333,sleep,98.0
51,Ca_EEG2-1,1.5mA,PostNeutral,0.08333333333333333,wake,2.0
52,Ca_EEG2-1,1.5mA,PostNeutral,0.16666666666666666,sleep,100.0
53,Ca_EEG2-1,1.5mA,PostNeutral,0.16666666666666666,wake,0.0
54,Ca_EEG2-1,1.5mA,PostNeutral,0.25,sleep,56.25
55,Ca_EEG2-1,1.5mA,PostNeutral,0.25,wake,43.75
56,Ca_EEG2-1,1.5mA,PostNeutral,0.3333333333333333,sleep,0.0
57,Ca_EEG2-1,1.5mA,PostNeutral,0.3333333333333333,wake,0.0
58,Ca_EEG2-1,1.5mA,PostNeutral,0.4166666666666667,sleep,0.0
59,Ca_EEG2-1,1.5mA,PostNeutral,0.4166666666666667,wake,0.0
60,Ca_EEG2-1,1.5mA,PostNeutral,0.5,sleep,0.0
61,Ca_EEG2-1,1.5mA,PostNeutral,0.5,wake,0.0
62,Ca_EEG2-1,1.5mA,PostNeutral,0.5833333333333334,sleep,0.0
63,Ca_EEG2-1,1.5mA,PostNeutral,0.5833333333333334,wake,100.0
64,Ca_EEG2-1,1.5mA,PostNeutral,0.6666666666666666,sleep,0.0
65,Ca_EEG2-1,1.5mA,PostNeutral,0.6666666666666666,wake,100.0
66,Ca_EEG2-1,1.5mA,PostNeutral,0.75,sleep,0.0
67,Ca_EEG2-1,1.5mA,PostNeutral,0.75,wake,100.0
68,Ca_EEG2-1,1.5mA,PostNeutral,0.8333333333333334,sleep,0.0
69,Ca_EEG2-1,1.5mA,PostNeutral,0.8333333333333334,wake,100.0
70,Ca_EEG2-1,1.5mA,PostNeutral,0.9166666666666666,sleep,8.0
71,Ca_EEG2-1,1.5mA,PostNeutral,0.9166666666666666,wake,92.0
72,Ca_EEG2-1,1.5mA,PostNeutral,1.0,sleep,96.0
73,Ca_EEG2-1,1.5mA,PostNeutral,1.0,wake,4.0
