,Mouse,Amplitude,Day,TimeBin,SleepState,Proportion,Sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,2.0,wake,66.15384615384615,wake
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,2.0,nrem,33.33333333333333,sleep
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,2.0,rem,0.5128205128205128,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,3.0,nrem,73.16666666666667,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,3.0,wake,20.5,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,3.0,rem,6.333333333333334,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,4.0,nrem,65.7762938230384,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,4.0,wake,25.542570951585976,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,4.0,rem,8.681135225375627,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,5.0,nrem,67.2787979966611,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,5.0,wake,27.545909849749584,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,5.0,rem,5.175292153589315,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,6.0,wake,63.683304647160064,wake
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,6.0,nrem,35.28399311531842,sleep
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,6.0,rem,1.0327022375215147,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,7.0,wake,93.16666666666666,wake
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,7.0,nrem,6.666666666666667,sleep
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,7.0,rem,0.16666666666666669,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,8.0,wake,62.54180602006689,wake
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,8.0,nrem,35.28428093645485,sleep
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,8.0,rem,2.1739130434782608,sleep
