,Mouse,Amplitude,Day,TimeBin,SleepState,StateLength
sws,Ca_EEG2-1,1.5mA,PreNeutral,0.0,nrem,33.0
rem,Ca_EEG3-4,0.25mA,PostNeutral,0.0,rem,8.727272727272727
sws,Ca_EEG3-1,0.25mA,PostNeutral,0.0,nrem,34.58181818181818
wake,Ca_EEG3-1,0.25mA,PostNeutral,0.0,wake,32.93877551020408
sws,Ca_EEG3-4,0.25mA,PostNeutral,0.0,nrem,18.923076923076923
wake,Ca_EEG3-4,0.25mA,PostNeutral,0.0,wake,82.83870967741936
wake,Ca_EEG2-2,1.5mA,PostNeutral,0.0,wake,67.89473684210526
sws,Ca_EEG2-2,1.5mA,PostNeutral,0.0,nrem,85.92
rem,Ca_EEG2-2,1.5mA,PostNeutral,0.0,rem,23.142857142857142
wake,Ca_EEG2-3,1.5mA,PostAversive,0.0,wake,41.21739130434783
sws,Ca_EEG2-2,1.5mA,PostAversive,0.0,nrem,79.55555555555556
rem,Ca_EEG2-3,1.5mA,PostAversive,0.0,rem,8.0
wake,Ca_EEG3-4,0.25mA,PreNeutral,0.0,wake,38.34146341463415
sws,Ca_EEG3-4,0.25mA,PreNeutral,0.0,nrem,22.64
rem,Ca_EEG3-4,0.25mA,PreNeutral,0.0,rem,8.048780487804878
wake,Ca_EEG2-2,1.5mA,PreNeutral,0.0,wake,106.125
sws,Ca_EEG2-2,1.5mA,PreNeutral,0.0,nrem,62.28571428571429
rem,Ca_EEG2-2,1.5mA,PreNeutral,0.0,rem,19.714285714285715
rem,Ca_EEG3-3,0.25mA,PostAversive,0.0,rem,18.0
sws,Ca_EEG3-3,0.25mA,PostAversive,0.0,nrem,49.28571428571428
rem,Ca_EEG2-1,1.5mA,PostNeutral,0.0,rem,6.0
wake,Ca_EEG_Pilot1,1.5mA,PostNeutral,0.0,wake,29.42857142857143
sws,Ca_EEG_Pilot1,1.5mA,PostNeutral,0.0,nrem,38.14285714285714
rem,Ca_EEG_Pilot1,1.5mA,PostNeutral,0.0,rem,12.333333333333332
wake,Ca_EEG2-3,1.5mA,PreNeutral,0.0,wake,87.375
sws,Ca_EEG2-3,1.5mA,PreNeutral,0.0,nrem,57.45454545454545
rem,Ca_EEG2-3,1.5mA,PreNeutral,0.0,rem,16.105263157894736
rem,Ca_EEG_Pilot2,1.5mA,PostAversive,0.0,rem,12.0
rem,Ca_EEG2-2,1.5mA,PostAversive,0.0,rem,12.0
rem,Ca_EEG3-4,0.25mA,PostAversive,0.0,rem,9.333333333333334
sws,Ca_EEG3-4,0.25mA,PostAversive,0.0,nrem,30.82352941176471
wake,Ca_EEG3-4,0.25mA,PostAversive,0.0,wake,63.42857142857143
wake,Ca_EEG3-2,0.25mA,PostAversive,0.0,wake,29.785714285714285
sws,Ca_EEG3-2,0.25mA,PostAversive,0.0,nrem,80.8125
rem,Ca_EEG3-2,0.25mA,PostAversive,0.0,rem,36.0
rem,Ca_EEG3-1,0.25mA,PreNeutral,0.0,rem,12.375
sws,Ca_EEG3-1,0.25mA,PreNeutral,0.0,nrem,28.941176470588232
wake,Ca_EEG3-1,0.25mA,PreNeutral,0.0,wake,115.14285714285714
rem,Ca_EEG3-3,0.25mA,PostNeutral,0.0,rem,20.25
wake,Ca_EEG3-2,0.25mA,PostNeutral,0.0,wake,38.53846153846154
sws,Ca_EEG3-3,0.25mA,PostNeutral,0.0,nrem,91.28571428571428
rem,Ca_EEG_Pilot2,1.5mA,PreNeutral,0.0,rem,18.461538461538463
sws,Ca_EEG_Pilot2,1.5mA,PreNeutral,0.0,nrem,89.5
wake,Ca_EEG_Pilot2,1.5mA,PreNeutral,0.0,wake,121.19999999999999
rem,Ca_EEG3-1,0.25mA,PostNeutral,0.0,rem,7.636363636363637
rem,Ca_EEG2-1,1.5mA,PreNeutral,0.0,rem,8.88888888888889
wake,Ca_EEG2-1,1.5mA,PreNeutral,0.0,wake,145.71428571428572
wake,Ca_EEG_Pilot1,1.5mA,PostAversive,0.0,wake,30.255319148936174
sws,Ca_EEG_Pilot1,1.5mA,PostAversive,0.0,nrem,45.125
rem,Ca_EEG_Pilot1,1.5mA,PostAversive,0.0,rem,6.0
wake,Ca_EEG_Pilot2,1.5mA,PostAversive,0.0,wake,27.771428571428572
sws,Ca_EEG_Pilot2,1.5mA,PostAversive,0.0,nrem,67.57894736842105
wake,Ca_EEG3-3,0.25mA,PostNeutral,0.0,wake,36.75
rem,Ca_EEG3-1,0.25mA,PostAversive,0.0,rem,12.0
sws,Ca_EEG2-3,1.5mA,PostAversive,0.0,nrem,35.0
wake,Ca_EEG3-1,0.25mA,PostAversive,0.0,wake,102.25
rem,Ca_EEG2-3,1.5mA,PostNeutral,0.0,rem,25.5
wake,Ca_EEG3-3,0.25mA,PostAversive,0.0,wake,37.421052631578945
sws,Ca_EEG3-2,0.25mA,PostNeutral,0.0,nrem,81.6
rem,Ca_EEG3-2,0.25mA,PostNeutral,0.0,rem,30.0
rem,Ca_EEG3-2,0.25mA,PreNeutral,0.0,rem,18.0
sws,Ca_EEG3-2,0.25mA,PreNeutral,0.0,nrem,43.96363636363636
wake,Ca_EEG3-2,0.25mA,PreNeutral,0.0,wake,20.816326530612244
sws,Ca_EEG2-3,1.5mA,PostNeutral,0.0,nrem,28.59375
sws,Ca_EEG3-1,0.25mA,PostAversive,0.0,nrem,36.62068965517241
wake,Ca_EEG3-3,0.25mA,PreNeutral,0.0,wake,10.421052631578949
rem,Ca_EEG_Pilot2,1.5mA,PostNeutral,0.0,rem,39.0
sws,Ca_EEG_Pilot2,1.5mA,PostNeutral,0.0,nrem,144.0
wake,Ca_EEG_Pilot2,1.5mA,PostNeutral,0.0,wake,116.72727272727272
wake,Ca_EEG2-1,1.5mA,PostAversive,0.0,wake,58.5
sws,Ca_EEG2-1,1.5mA,PostAversive,0.0,nrem,41.69230769230769
rem,Ca_EEG2-1,1.5mA,PostAversive,0.0,rem,12.75
sws,Ca_EEG3-3,0.25mA,PreNeutral,0.0,nrem,78.78947368421052
