,Mouse,Amplitude,Day,Previous,Next,Transition,Probability
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,nrem,nrem,nrem to nrem,0.8901337188290568
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,nrem,rem,nrem to rem,0.034875316226960607
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,nrem,wake,nrem to wake,0.07499096494398265
3,Ca_EEG_Pilot1,1.5mA,PreNeutral,rem,nrem,rem to nrem,0.30505050505050507
4,Ca_EEG_Pilot1,1.5mA,PreNeutral,rem,rem,rem to rem,0.6101010101010101
5,Ca_EEG_Pilot1,1.5mA,PreNeutral,rem,wake,rem to wake,0.08484848484848485
6,Ca_EEG_Pilot1,1.5mA,PreNeutral,wake,nrem,wake to nrem,0.069888362134883
7,Ca_EEG_Pilot1,1.5mA,PreNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG_Pilot1,1.5mA,PreNeutral,wake,wake,wake to wake,0.930111637865117
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,nrem,nrem,nrem to nrem,0.8864245311104495
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,nrem,rem,nrem to rem,0.0361714796070259
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,nrem,wake,nrem to wake,0.07740398928252457
3,Ca_EEG_Pilot1,1.5mA,PostNeutral,rem,nrem,rem to nrem,0.31794871794871793
4,Ca_EEG_Pilot1,1.5mA,PostNeutral,rem,rem,rem to rem,0.5846153846153846
5,Ca_EEG_Pilot1,1.5mA,PostNeutral,rem,wake,rem to wake,0.09743589743589744
6,Ca_EEG_Pilot1,1.5mA,PostNeutral,wake,nrem,wake to nrem,0.08221715588486748
7,Ca_EEG_Pilot1,1.5mA,PostNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG_Pilot1,1.5mA,PostNeutral,wake,wake,wake to wake,0.9177828441151326
0,Ca_EEG_Pilot1,1.5mA,PostAversive,nrem,nrem,nrem to nrem,0.8794992175273866
1,Ca_EEG_Pilot1,1.5mA,PostAversive,nrem,rem,nrem to rem,0.0297339593114241
2,Ca_EEG_Pilot1,1.5mA,PostAversive,nrem,wake,nrem to wake,0.09076682316118936
3,Ca_EEG_Pilot1,1.5mA,PostAversive,rem,nrem,rem to nrem,0.27835051546391754
4,Ca_EEG_Pilot1,1.5mA,PostAversive,rem,rem,rem to rem,0.6082474226804123
5,Ca_EEG_Pilot1,1.5mA,PostAversive,rem,wake,rem to wake,0.1134020618556701
6,Ca_EEG_Pilot1,1.5mA,PostAversive,wake,nrem,wake to nrem,0.08643653166621365
7,Ca_EEG_Pilot1,1.5mA,PostAversive,wake,rem,wake to rem,0.0
8,Ca_EEG_Pilot1,1.5mA,PostAversive,wake,wake,wake to wake,0.9135634683337863
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,nrem,nrem,nrem to nrem,0.9256678281068524
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,nrem,rem,nrem to rem,0.041957026713124276
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,nrem,wake,nrem to wake,0.032375145180023226
3,Ca_EEG_Pilot2,1.5mA,PreNeutral,rem,nrem,rem to nrem,0.41203703703703703
4,Ca_EEG_Pilot2,1.5mA,PreNeutral,rem,rem,rem to rem,0.5540123456790124
5,Ca_EEG_Pilot2,1.5mA,PreNeutral,rem,wake,rem to wake,0.033950617283950615
6,Ca_EEG_Pilot2,1.5mA,PreNeutral,wake,nrem,wake to nrem,0.03654883163571001
7,Ca_EEG_Pilot2,1.5mA,PreNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG_Pilot2,1.5mA,PreNeutral,wake,wake,wake to wake,0.96345116836429
0,Ca_EEG_Pilot2,1.5mA,PostNeutral,nrem,nrem,nrem to nrem,0.9305494505494506
1,Ca_EEG_Pilot2,1.5mA,PostNeutral,nrem,rem,nrem to rem,0.03238095238095238
2,Ca_EEG_Pilot2,1.5mA,PostNeutral,nrem,wake,nrem to wake,0.03706959706959707
3,Ca_EEG_Pilot2,1.5mA,PostNeutral,rem,nrem,rem to nrem,0.3542757417102967
4,Ca_EEG_Pilot2,1.5mA,PostNeutral,rem,rem,rem to rem,0.6143106457242583
5,Ca_EEG_Pilot2,1.5mA,PostNeutral,rem,wake,rem to wake,0.031413612565445025
6,Ca_EEG_Pilot2,1.5mA,PostNeutral,wake,nrem,wake to nrem,0.038851592629624336
7,Ca_EEG_Pilot2,1.5mA,PostNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG_Pilot2,1.5mA,PostNeutral,wake,wake,wake to wake,0.9611484073703757
0,Ca_EEG_Pilot2,1.5mA,PostAversive,nrem,nrem,nrem to nrem,0.9225753871230644
1,Ca_EEG_Pilot2,1.5mA,PostAversive,nrem,rem,nrem to rem,0.03450149415919587
2,Ca_EEG_Pilot2,1.5mA,PostAversive,nrem,wake,nrem to wake,0.042923118717739746
3,Ca_EEG_Pilot2,1.5mA,PostAversive,rem,nrem,rem to nrem,0.36348684210526316
4,Ca_EEG_Pilot2,1.5mA,PostAversive,rem,rem,rem to rem,0.5822368421052632
5,Ca_EEG_Pilot2,1.5mA,PostAversive,rem,wake,rem to wake,0.054276315789473686
6,Ca_EEG_Pilot2,1.5mA,PostAversive,wake,nrem,wake to nrem,0.05553792446842272
