,Mouse,Drug,Motion
0,RL23_1,Saline,171.578
1,RL23_10,Cocaine,348.937
2,RL23_11,Saline,216.71300000000002
3,RL23_12,Cocaine,271.216
4,RL23_13,Cocaine,264.486
5,RL23_14,Saline,300.1
6,RL23_15,Cocaine,190.7
7,RL23_16,Saline,224.21999999999997
8,RL23_17,Cocaine,293.108
9,RL23_18,Saline,261.709
10,RL23_19,Cocaine,256.023
11,RL23_2,Cocaine,250.68400000000003
12,RL23_20,Saline,209.565
13,RL23_21,Cocaine,296.09900000000005
14,RL23_22,Saline,360.488
15,RL23_23,Cocaine,238.98899999999998
16,RL23_24,Saline,295.856
17,RL23_3,Saline,225.72200000000004
18,RL23_4,Cocaine,264.411
19,RL23_5,Saline,251.281
20,RL23_6,Cocaine,238.38400000000001
21,RL23_7,Saline,221.05100000000002
22,RL23_8,Cocaine,247.683
23,RL23_9,Saline,238.31199999999998
24,RL24_1,Saline,243.179
25,RL24_10,Cocaine,274.663
26,RL24_11,Saline,219.714
27,RL24_12,Cocaine,306.35299999999995
28,RL24_13,Saline,351.35699999999997
29,RL24_14,Cocaine,302.15700000000004
30,RL24_15,Saline,240.112
31,RL24_16,Cocaine,215.98200000000003
32,RL24_17,Cocaine,304.081
33,RL24_18,Saline,261.61
34,RL24_19,Cocaine,279.14700000000005
35,RL24_2,Cocaine,249.321
36,RL24_20,Saline,348.364
37,RL24_21,Cocaine,289.18
38,RL24_22,Saline,209.837
39,RL24_23,Cocaine,203.93
40,RL24_24,Saline,211.231
41,RL24_25,Cocaine,315.88800000000003
42,RL24_26,Saline,253.89499999999998
43,RL24_27,Cocaine,218.74499999999998
44,RL24_28,Saline,217.744
45,RL24_29,Cocaine,334.62399999999997
46,RL24_3,Saline,207.33
47,RL24_30,Saline,223.942
48,RL24_31,Cocaine,341.23
49,RL24_32,Saline,260.46
50,RL24_4,Cocaine,295.95799999999997
51,RL24_5,Saline,281.485
52,RL24_6,Cocaine,266.671
53,RL24_7,Saline,233.292
54,RL24_8,Cocaine,246.70999999999998
55,RL24_9,Saline,229.99099999999999
