,Mouse,Drug,Motion
0,RL23_1,Saline,98.238
2,RL23_10,Cocaine,243.72599999999997
4,RL23_11,Saline,85.124
6,RL23_12,Cocaine,179.808
8,RL23_13,Cocaine,134.512
10,RL23_14,Saline,182.80599999999998
12,RL23_15,Cocaine,119.74000000000001
14,RL23_16,Saline,132.13
16,RL23_17,Cocaine,125.904
18,RL23_18,Saline,99.842
20,RL23_19,Cocaine,182.692
22,RL23_2,Cocaine,157.018
24,RL23_20,Saline,173.88
26,RL23_21,Cocaine,259.122
28,RL23_22,Saline,185.94
30,RL23_23,Cocaine,163.954
32,RL23_24,Saline,167.128
34,RL23_3,Saline,82.00800000000001
36,RL23_4,Cocaine,208.37199999999999
38,RL23_5,Saline,141.856
40,RL23_6,Cocaine,110.88199999999999
42,RL23_7,Saline,85.15799999999999
44,RL23_8,Cocaine,103.46399999999998
46,RL23_9,Saline,75.42999999999999
48,RL24_1,Saline,189.38600000000002
50,RL24_10,Cocaine,218.45
52,RL24_11,Saline,203.65
54,RL24_12,Cocaine,201.584
56,RL24_13,Saline,185.356
58,RL24_14,Cocaine,233.51
60,RL24_15,Saline,88.85799999999999
62,RL24_16,Cocaine,169.762
64,RL24_17,Cocaine,165.698
66,RL24_18,Saline,131.374
68,RL24_19,Cocaine,204.304
70,RL24_2,Cocaine,256.812
72,RL24_20,Saline,191.788
74,RL24_21,Cocaine,238.76399999999998
76,RL24_22,Saline,86.89200000000001
78,RL24_23,Cocaine,74.66
80,RL24_24,Saline,79.93199999999999
82,RL24_25,Cocaine,156.07999999999998
84,RL24_26,Saline,156.69400000000002
86,RL24_27,Cocaine,141.046
88,RL24_28,Saline,158.252
90,RL24_29,Cocaine,221.83800000000002
92,RL24_3,Saline,134.73000000000002
94,RL24_30,Saline,132.142
96,RL24_31,Cocaine,149.872
98,RL24_32,Saline,183.198
100,RL24_4,Cocaine,182.48600000000002
102,RL24_5,Saline,228.31199999999998
104,RL24_6,Cocaine,202.638
106,RL24_7,Saline,156.06
108,RL24_8,Cocaine,121.12
110,RL24_9,Saline,102.93199999999999
