,Mouse,Drug,Motion
1,RL23_1,Saline,287.65999999999997
3,RL23_10,Cocaine,298.682
5,RL23_11,Saline,272.23400000000004
7,RL23_12,Cocaine,324.45
9,RL23_13,Cocaine,296.456
11,RL23_14,Saline,266.824
13,RL23_15,Cocaine,250.186
15,RL23_16,Saline,262.442
17,RL23_17,Cocaine,320.946
19,RL23_18,Saline,343.68
21,RL23_19,Cocaine,231.45
23,RL23_2,Cocaine,326.014
25,RL23_20,Saline,258.254
27,RL23_21,Cocaine,447.13800000000003
29,RL23_22,Saline,258.572
31,RL23_23,Cocaine,291.106
33,RL23_24,Saline,302.584
35,RL23_3,Saline,246.31800000000004
37,RL23_4,Cocaine,365.032
39,RL23_5,Saline,354.026
41,RL23_6,Cocaine,151.01
43,RL23_7,Saline,224.754
45,RL23_8,Cocaine,294.822
47,RL23_9,Saline,311.856
49,RL24_1,Saline,286.87199999999996
51,RL24_10,Cocaine,407.238
53,RL24_11,Saline,243.97199999999998
55,RL24_12,Cocaine,444.588
57,RL24_13,Saline,400.71999999999997
59,RL24_14,Cocaine,370.228
61,RL24_15,Saline,262.34000000000003
63,RL24_16,Cocaine,256.168
65,RL24_17,Cocaine,302.906
67,RL24_18,Saline,268.558
69,RL24_19,Cocaine,285.22400000000005
71,RL24_2,Cocaine,350.476
73,RL24_20,Saline,339.506
75,RL24_21,Cocaine,427.034
77,RL24_22,Saline,346.096
79,RL24_23,Cocaine,211.83800000000002
81,RL24_24,Saline,228.342
83,RL24_25,Cocaine,366.978
85,RL24_26,Saline,395.06399999999996
87,RL24_27,Cocaine,277.79
89,RL24_28,Saline,223.352
91,RL24_29,Cocaine,461.822
93,RL24_3,Saline,200.918
95,RL24_30,Saline,274.0
97,RL24_31,Cocaine,369.87600000000003
99,RL24_32,Saline,376.61199999999997
101,RL24_4,Cocaine,324.502
103,RL24_5,Saline,374.194
105,RL24_6,Cocaine,291.11199999999997
107,RL24_7,Saline,290.938
109,RL24_8,Cocaine,279.248
111,RL24_9,Saline,225.408
