,Mouse,Amplitude,Time,Freezing
0,RLI9-1,1.5mA,PreShock1,0.0
1,RLI9-2,1.5mA,PreShock1,0.0
2,RLI9-3,1.5mA,PreShock1,0.0
3,RLI9-4,1.5mA,PreShock1,0.0
4,RLI9-5,1.5mA,PreShock1,16.22222222222222
5,RLI9-6,1.5mA,PreShock1,0.0
6,RLI9-7,1.5mA,PreShock1,3.888888888888889
7,RLI9-8,1.5mA,PreShock1,0.0
8,RLI9-1,1.5mA,PreShock2,2.6666666666666665
9,RLI9-2,1.5mA,PreShock2,1.8888888888888888
10,RLI9-3,1.5mA,PreShock2,12.333333333333334
11,RLI9-4,1.5mA,PreShock2,0.0
12,RLI9-5,1.5mA,PreShock2,22.88888888888889
13,RLI9-6,1.5mA,PreShock2,0.0
14,RLI9-7,1.5mA,PreShock2,3.0
15,RLI9-8,1.5mA,PreShock2,2.2222222222222223
16,RLI9-1,1.5mA,PreShock3,2.5555555555555554
17,RLI9-2,1.5mA,PreShock3,5.222222222222222
18,RLI9-3,1.5mA,PreShock3,0.0
19,RLI9-4,1.5mA,PreShock3,0.0
20,RLI9-5,1.5mA,PreShock3,47.111111111111114
21,RLI9-6,1.5mA,PreShock3,11.777777777777779
22,RLI9-7,1.5mA,PreShock3,8.222222222222221
23,RLI9-8,1.5mA,PreShock3,2.6666666666666665
24,RLI9-1,1.5mA,PreShock4,3.0
25,RLI9-2,1.5mA,PreShock4,6.888888888888889
26,RLI9-3,1.5mA,PreShock4,2.2222222222222223
27,RLI9-4,1.5mA,PreShock4,4.0
28,RLI9-5,1.5mA,PreShock4,28.333333333333332
29,RLI9-6,1.5mA,PreShock4,23.88888888888889
30,RLI9-7,1.5mA,PreShock4,18.77777777777778
31,RLI9-8,1.5mA,PreShock4,25.444444444444443
32,RLI9-1,1.5mA,PostShock1_1,20.238095238095237
33,RLI9-2,1.5mA,PostShock1_1,39.76190476190476
34,RLI9-3,1.5mA,PostShock1_1,7.976190476190476
35,RLI9-4,1.5mA,PostShock1_1,18.095238095238095
36,RLI9-5,1.5mA,PostShock1_1,35.95238095238095
37,RLI9-6,1.5mA,PostShock1_1,0.0
38,RLI9-7,1.5mA,PostShock1_1,32.5
39,RLI9-8,1.5mA,PostShock1_1,2.380952380952381
40,RLI9-1,1.5mA,PostShock1_2,16.333333333333332
41,RLI9-2,1.5mA,PostShock1_2,44.333333333333336
42,RLI9-3,1.5mA,PostShock1_2,14.555555555555555
43,RLI9-4,1.5mA,PostShock1_2,30.666666666666668
44,RLI9-5,1.5mA,PostShock1_2,80.88888888888889
45,RLI9-6,1.5mA,PostShock1_2,4.888888888888889
46,RLI9-7,1.5mA,PostShock1_2,58.666666666666664
47,RLI9-8,1.5mA,PostShock1_2,17.77777777777778
48,RLI9-1,1.5mA,PostShock2_1,2.0238095238095237
49,RLI9-2,1.5mA,PostShock2_1,65.71428571428571
50,RLI9-3,1.5mA,PostShock2_1,24.166666666666668
51,RLI9-4,1.5mA,PostShock2_1,10.714285714285714
52,RLI9-5,1.5mA,PostShock2_1,59.88095238095238
53,RLI9-6,1.5mA,PostShock2_1,16.071428571428573
54,RLI9-7,1.5mA,PostShock2_1,58.214285714285715
55,RLI9-8,1.5mA,PostShock2_1,39.166666666666664
56,RLI9-1,1.5mA,PostShock2_2,41.55555555555556
57,RLI9-2,1.5mA,PostShock2_2,71.77777777777777
58,RLI9-3,1.5mA,PostShock2_2,40.77777777777778
59,RLI9-4,1.5mA,PostShock2_2,10.666666666666666
60,RLI9-5,1.5mA,PostShock2_2,69.55555555555556
61,RLI9-6,1.5mA,PostShock2_2,23.333333333333332
62,RLI9-7,1.5mA,PostShock2_2,53.111111111111114
63,RLI9-8,1.5mA,PostShock2_2,57.888888888888886
64,RLI9-1,1.5mA,PostShock3_1,62.65690376569037
65,RLI9-2,1.5mA,PostShock3_1,52.5
66,RLI9-3,1.5mA,PostShock3_1,40.543364681295714
67,RLI9-4,1.5mA,PostShock3_1,54.54545454545455
68,RLI9-5,1.5mA,PostShock3_1,64.57680250783699
69,RLI9-6,1.5mA,PostShock3_1,48.95615866388309
70,RLI9-7,1.5mA,PostShock3_1,30.208333333333332
71,RLI9-8,1.5mA,PostShock3_1,16.37122002085506
