,Mouse,Amplitude,TimeBin,Motion
0,RLI9-1,1.5mA,1,3.3903245446819565
1,RLI9-2,1.5mA,1,2.1959778743747265
2,RLI9-3,1.5mA,1,2.5403216921604264
3,RLI9-4,1.5mA,1,2.2113747100875
4,RLI9-5,1.5mA,1,2.301056114248748
5,RLI9-6,1.5mA,1,3.2316069111563293
6,RLI9-7,1.5mA,1,2.5232616058434068
7,RLI9-8,1.5mA,1,3.0661423799927756
8,RLI9-1,1.5mA,2,3.0652858969997463
9,RLI9-2,1.5mA,2,2.2733554683361112
10,RLI9-3,1.5mA,2,2.8065290018815916
11,RLI9-4,1.5mA,2,1.718222460617094
12,RLI9-5,1.5mA,2,2.6549503239256502
13,RLI9-6,1.5mA,2,3.0084820375183527
14,RLI9-7,1.5mA,2,2.747230763202742
15,RLI9-8,1.5mA,2,2.6930089935806985
16,RLI9-1,1.5mA,3,3.133224240006498
17,RLI9-2,1.5mA,3,0.6344689261943042
18,RLI9-3,1.5mA,3,2.754694427020465
19,RLI9-4,1.5mA,3,2.0812735571739642
20,RLI9-5,1.5mA,3,2.184417345636065
21,RLI9-6,1.5mA,3,3.2686572200251316
22,RLI9-7,1.5mA,3,2.3177704968881443
23,RLI9-8,1.5mA,3,2.3651818873888284
24,RLI9-1,1.5mA,4,3.0412194083486845
25,RLI9-2,1.5mA,4,1.8804157957471939
26,RLI9-3,1.5mA,4,2.869401961575009
27,RLI9-4,1.5mA,4,1.1297191124058614
28,RLI9-5,1.5mA,4,2.014339336977572
29,RLI9-6,1.5mA,4,3.3040201001140055
30,RLI9-7,1.5mA,4,2.4823638030431807
31,RLI9-8,1.5mA,4,1.4919275257991527
32,RLI9-1,1.5mA,5,3.235639263323509
33,RLI9-2,1.5mA,5,2.5521236795215367
34,RLI9-3,1.5mA,5,1.598109077947515
35,RLI9-4,1.5mA,5,0.5343874990663404
36,RLI9-5,1.5mA,5,2.480279034075628
37,RLI9-6,1.5mA,5,2.763029996861761
38,RLI9-7,1.5mA,5,2.675337540482226
39,RLI9-8,1.5mA,5,2.14769188144044
40,RLI9-1,1.5mA,6,3.09633778046651
41,RLI9-2,1.5mA,6,2.0616032639910213
42,RLI9-3,1.5mA,6,2.826233366669887
43,RLI9-4,1.5mA,6,1.6592810012649768
44,RLI9-5,1.5mA,6,2.54812163348149
45,RLI9-6,1.5mA,6,2.866666246431399
46,RLI9-7,1.5mA,6,1.7360082255075333
47,RLI9-8,1.5mA,6,1.8512581861569897
48,RLI9-1,1.5mA,7,3.0720055034239317
49,RLI9-2,1.5mA,7,2.1618103746005013
50,RLI9-3,1.5mA,7,2.908186996420162
51,RLI9-4,1.5mA,7,2.0377053749120195
52,RLI9-5,1.5mA,7,2.338359478799282
53,RLI9-6,1.5mA,7,2.9966804169153067
54,RLI9-7,1.5mA,7,2.4867449220982305
55,RLI9-8,1.5mA,7,1.8109385624246
56,RLI9-1,1.5mA,8,3.3022920885482856
57,RLI9-2,1.5mA,8,2.3666993491391586
58,RLI9-3,1.5mA,8,2.9127601088695463
59,RLI9-4,1.5mA,8,2.2151147649163128
60,RLI9-5,1.5mA,8,2.6568846939001816
61,RLI9-6,1.5mA,8,2.7896752043967616
62,RLI9-7,1.5mA,8,1.5137320158117693
63,RLI9-8,1.5mA,8,1.699789873089456
64,RLI9-1,1.5mA,9,2.3070643997319444
65,RLI9-2,1.5mA,9,2.616829520659357
66,RLI9-3,1.5mA,9,2.8319376502673137
67,RLI9-4,1.5mA,9,2.2864873346123002
68,RLI9-5,1.5mA,9,2.4296961685635585
69,RLI9-6,1.5mA,9,2.8512441141602523
70,RLI9-7,1.5mA,9,1.9499230819209117
