,Mouse,Amplitude,Freezing,Context
0,RLI9-1,1.5mA,51.17209198977891,Aversive
1,RLI9-2,1.5mA,71.76666666666667,Aversive
2,RLI9-3,1.5mA,63.903089575461216,Aversive
3,RLI9-4,1.5mA,74.54989997777284,Aversive
4,RLI9-5,1.5mA,85.1728353895743,Aversive
5,RLI9-6,1.5mA,63.50300066681485,Aversive
6,RLI9-7,1.5mA,68.59651072341372,Aversive
7,RLI9-8,1.5mA,78.34593152512228,Aversive
0,RLI9-1,1.5mA,34.41111111111111,Novel
1,RLI9-2,1.5mA,46.26583685263392,Novel
2,RLI9-3,1.5mA,42.02044898866415,Novel
3,RLI9-4,1.5mA,42.56501444765503,Novel
4,RLI9-5,1.5mA,49.644365414536566,Novel
5,RLI9-6,1.5mA,34.685485663480776,Novel
6,RLI9-7,1.5mA,37.074905534563236,Novel
7,RLI9-8,1.5mA,51.41713904634878,Novel
