,Mouse,Amplitude,Ensemble,FractionReactivated
0,RLI9-1,1.5mA,OfflineReactivated,60.14492753623188
1,RLI9-1,1.5mA,NotReactivated,19.863013698630137
0,RLI9-2,1.5mA,OfflineReactivated,66.66666666666666
1,RLI9-2,1.5mA,NotReactivated,19.056603773584907
0,RLI9-3,1.5mA,OfflineReactivated,58.536585365853654
1,RLI9-3,1.5mA,NotReactivated,26.027397260273972
0,RLI9-4,1.5mA,OfflineReactivated,54.20560747663551
1,RLI9-4,1.5mA,NotReactivated,12.931034482758621
0,RLI9-5,1.5mA,OfflineReactivated,41.34615384615385
1,RLI9-5,1.5mA,NotReactivated,6.297709923664121
0,RLI9-6,1.5mA,OfflineReactivated,59.154929577464785
1,RLI9-6,1.5mA,NotReactivated,12.933753943217665
0,RLI9-7,1.5mA,OfflineReactivated,65.18105849582173
1,RLI9-7,1.5mA,NotReactivated,16.857610474631752
0,RLI9-8,1.5mA,OfflineReactivated,59.199999999999996
1,RLI9-8,1.5mA,NotReactivated,11.04868913857678
