,Mouse,Amplitude,RecallSession,FractionReactivated
0,RLI9-1,1.5mA,Aversive,51.272727272727266
1,RLI9-1,1.5mA,Novel,38.205128205128204
0,RLI9-2,1.5mA,Aversive,58.74035989717223
1,RLI9-2,1.5mA,Novel,55.58223289315727
0,RLI9-3,1.5mA,Aversive,53.21739130434783
1,RLI9-3,1.5mA,Novel,47.792998477929984
0,RLI9-4,1.5mA,Aversive,50.8695652173913
1,RLI9-4,1.5mA,Novel,42.40400667779633
0,RLI9-5,1.5mA,Aversive,23.52941176470588
1,RLI9-5,1.5mA,Novel,13.295880149812733
0,RLI9-6,1.5mA,Aversive,50.08576329331046
1,RLI9-6,1.5mA,Novel,39.83548766157462
0,RLI9-7,1.5mA,Aversive,46.354883081155435
1,RLI9-7,1.5mA,Novel,38.71331828442438
0,RLI9-8,1.5mA,Aversive,34.38538205980066
1,RLI9-8,1.5mA,Novel,29.195088676671215
