,Mouse,Amplitude,Ensemble,Activity
0,RLI9-1,1.5mA,Aversive,0.007464079482997501
1,RLI9-1,1.5mA,Remaining,-0.004724967746117454
2,RLI9-2,1.5mA,Aversive,0.019600908903042457
3,RLI9-2,1.5mA,Remaining,-0.023627280709310337
4,RLI9-3,1.5mA,Aversive,0.015378359124064453
5,RLI9-3,1.5mA,Remaining,-0.011896466492200717
6,RLI9-4,1.5mA,Aversive,0.02053501182856374
7,RLI9-4,1.5mA,Remaining,-0.014583492913647758
8,RLI9-5,1.5mA,Aversive,0.031048539691639485
9,RLI9-5,1.5mA,Remaining,-0.007615679547006038
10,RLI9-6,1.5mA,Aversive,0.024733017100419374
11,RLI9-6,1.5mA,Remaining,-0.02004616682796505
12,RLI9-7,1.5mA,Aversive,0.016379543038146833
13,RLI9-7,1.5mA,Remaining,-0.01164407118949455
14,RLI9-8,1.5mA,Aversive,0.03170023724172769
15,RLI9-8,1.5mA,Remaining,-0.013409575821374432
