,Mouse,Amplitude,Ensemble,CellProportion
0,RLI9-1,1.5mA,Aversive,38.764044943820224
1,RLI9-1,1.5mA,Remaining,61.23595505617978
2,RLI9-2,1.5mA,Aversive,54.65711361310133
3,RLI9-2,1.5mA,Remaining,45.34288638689867
4,RLI9-3,1.5mA,Aversive,43.61702127659575
5,RLI9-3,1.5mA,Remaining,56.38297872340425
6,RLI9-4,1.5mA,Aversive,41.52652005174644
7,RLI9-4,1.5mA,Remaining,58.47347994825356
8,RLI9-5,1.5mA,Aversive,19.696969696969695
9,RLI9-5,1.5mA,Remaining,80.3030303030303
10,RLI9-6,1.5mA,Aversive,44.76670870113493
11,RLI9-6,1.5mA,Remaining,55.23329129886507
12,RLI9-7,1.5mA,Aversive,41.550925925925924
13,RLI9-7,1.5mA,Remaining,58.44907407407407
14,RLI9-8,1.5mA,Aversive,29.72651605231867
15,RLI9-8,1.5mA,Remaining,70.27348394768134
