,Mouse,Amplitude,BehavioralState,Ensemble,FiringRate,CellIndex
0,RLI9-1,1.5mA,Quiet Rest,Remaining,0.055901482029442784,0.0
1,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.0410297536282582,1.0
2,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.037388980026829305,2.0
3,RLI9-1,1.5mA,Quiet Rest,Fear,-0.003013676351368802,3.0
4,RLI9-1,1.5mA,Quiet Rest,Fear,-0.03312061083383436,4.0
5,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.002416667725890415,5.0
6,RLI9-1,1.5mA,Quiet Rest,Remaining,0.013912405065804424,6.0
7,RLI9-1,1.5mA,Quiet Rest,Fear,0.030924923944411944,7.0
8,RLI9-1,1.5mA,Quiet Rest,Fear,0.017302431521329716,8.0
9,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.044158472748161204,9.0
10,RLI9-1,1.5mA,Quiet Rest,Fear,-0.04085991614783791,10.0
11,RLI9-1,1.5mA,Quiet Rest,Fear,-0.05055562259860823,11.0
12,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.035031252700700705,12.0
13,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.030575130700329283,13.0
14,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04675128267477123,14.0
15,RLI9-1,1.5mA,Quiet Rest,Fear,0.29126073386111695,15.0
16,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04873960639067791,16.0
17,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.03420562103908084,17.0
18,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04752683671886465,18.0
19,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.02808177948296124,19.0
20,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.03951361080942282,20.0
21,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04980622431342356,21.0
22,RLI9-1,1.5mA,Quiet Rest,Fear,-0.04695193612995516,22.0
23,RLI9-1,1.5mA,Quiet Rest,Fear,-0.04600292387126559,23.0
24,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.050915740100569304,24.0
25,RLI9-1,1.5mA,Quiet Rest,Remaining,0.005522165927762924,25.0
26,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.05131144078120714,26.0
27,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04716111390902318,27.0
28,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.009026030640001457,28.0
29,RLI9-1,1.5mA,Quiet Rest,Remaining,0.034385357612936866,29.0
30,RLI9-1,1.5mA,Quiet Rest,Remaining,0.04523463633086814,30.0
31,RLI9-1,1.5mA,Quiet Rest,Remaining,0.05141797346040486,31.0
32,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.026159723234457904,32.0
33,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04141209196305488,33.0
34,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.051838443221554446,34.0
35,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.018991067841744227,35.0
36,RLI9-1,1.5mA,Quiet Rest,Fear,-0.040635094244188985,36.0
37,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04891451884330824,37.0
38,RLI9-1,1.5mA,Quiet Rest,Fear,-0.03262466113649934,38.0
39,RLI9-1,1.5mA,Quiet Rest,Fear,-0.04738195865152012,39.0
40,RLI9-1,1.5mA,Quiet Rest,Fear,-0.0405357266938343,40.0
41,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.030849190380118647,41.0
42,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.01844978605753053,42.0
43,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.0468890675595073,43.0
44,RLI9-1,1.5mA,Quiet Rest,Remaining,0.004525739710539455,44.0
45,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.02578939798973179,45.0
46,RLI9-1,1.5mA,Quiet Rest,Fear,-0.042565476883012425,46.0
47,RLI9-1,1.5mA,Quiet Rest,Fear,-0.03517624585380482,47.0
48,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.048675154117690925,48.0
49,RLI9-1,1.5mA,Quiet Rest,Remaining,0.019476030562728043,49.0
50,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.05043565011991787,50.0
51,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.051384534295808235,51.0
52,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.048418094398709005,52.0
53,RLI9-1,1.5mA,Quiet Rest,Fear,-0.04007439485458323,53.0
54,RLI9-1,1.5mA,Quiet Rest,Remaining,0.017735110458774364,54.0
55,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04847479566585909,55.0
56,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.05172134495822827,56.0
57,RLI9-1,1.5mA,Quiet Rest,Fear,-0.042316069225574376,57.0
58,RLI9-1,1.5mA,Quiet Rest,Fear,-0.02928240819537126,58.0
59,RLI9-1,1.5mA,Quiet Rest,Fear,-0.010898528667725511,59.0
60,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.002158926930466271,60.0
61,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04349766447664856,61.0
62,RLI9-1,1.5mA,Quiet Rest,Fear,-0.04094098644376578,62.0
63,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.0442117161270829,63.0
64,RLI9-1,1.5mA,Quiet Rest,Fear,0.10226941555292256,64.0
65,RLI9-1,1.5mA,Quiet Rest,Fear,-0.04840188472756554,65.0
66,RLI9-1,1.5mA,Quiet Rest,Fear,-0.044438612839772705,66.0
67,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.017560762079192736,67.0
68,RLI9-1,1.5mA,Quiet Rest,Fear,-0.038679920253769005,68.0
69,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.0426429946975691,69.0
70,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.0420550281223207,70.0
71,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04254367417604364,71.0
72,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.03257537309526383,72.0
73,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.029519603087389372,73.0
74,RLI9-1,1.5mA,Quiet Rest,Fear,-0.03869834860782543,74.0
75,RLI9-1,1.5mA,Quiet Rest,Fear,-0.029037145267564537,75.0
76,RLI9-1,1.5mA,Quiet Rest,Fear,-0.0207368713918704,76.0
77,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.003953728270773006,77.0
78,RLI9-1,1.5mA,Quiet Rest,Remaining,0.0443188304651107,78.0
79,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04332300733227641,79.0
80,RLI9-1,1.5mA,Quiet Rest,Remaining,0.03820144834680687,80.0
81,RLI9-1,1.5mA,Quiet Rest,Fear,0.5761840359454904,81.0
82,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.03822763405537004,82.0
83,RLI9-1,1.5mA,Quiet Rest,Fear,-0.04564002227756181,83.0
84,RLI9-1,1.5mA,Quiet Rest,Fear,-0.04155109017299102,84.0
85,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.049018847534935135,85.0
86,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.02566269805238169,86.0
87,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.03436702676904735,87.0
88,RLI9-1,1.5mA,Quiet Rest,Remaining,0.011777736704008784,88.0
89,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.02996611117141302,89.0
90,RLI9-1,1.5mA,Quiet Rest,Fear,-0.003713270621613213,90.0
91,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04430284924557638,91.0
92,RLI9-1,1.5mA,Quiet Rest,Fear,0.14382810031581136,92.0
93,RLI9-1,1.5mA,Quiet Rest,Remaining,0.11281424731381177,93.0
94,RLI9-1,1.5mA,Quiet Rest,Fear,-0.023465850178864774,94.0
95,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04176937849549678,95.0
96,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.040469166169961504,96.0
97,RLI9-1,1.5mA,Quiet Rest,Fear,-0.03591285665829253,97.0
98,RLI9-1,1.5mA,Quiet Rest,Fear,-0.046618379008780055,98.0
99,RLI9-1,1.5mA,Quiet Rest,Remaining,0.053247843869654636,99.0
100,RLI9-1,1.5mA,Quiet Rest,Fear,-0.03909196355223895,100.0
101,RLI9-1,1.5mA,Quiet Rest,Fear,-0.04918648336171827,101.0
102,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.026441699659120244,102.0
103,RLI9-1,1.5mA,Quiet Rest,Fear,-0.046731001384084994,103.0
104,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.023201931908674416,104.0
105,RLI9-1,1.5mA,Quiet Rest,Remaining,0.03506881505039262,105.0
106,RLI9-1,1.5mA,Quiet Rest,Fear,-0.002037548766762619,106.0
107,RLI9-1,1.5mA,Quiet Rest,Fear,-0.05056006877912299,107.0
108,RLI9-1,1.5mA,Quiet Rest,Fear,-0.0473668451928255,108.0
109,RLI9-1,1.5mA,Quiet Rest,Fear,-0.04016631525937613,109.0
110,RLI9-1,1.5mA,Quiet Rest,Remaining,0.0018724261025251075,110.0
111,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.047895401734688134,111.0
112,RLI9-1,1.5mA,Quiet Rest,Fear,-0.042864953620570974,112.0
113,RLI9-1,1.5mA,Quiet Rest,Remaining,0.023080539554711375,113.0
114,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.012482151371104632,114.0
115,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.050533845684888515,115.0
116,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.05095926704713876,116.0
117,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04191148549361916,117.0
118,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.051838443221554446,118.0
119,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04863828647742627,119.0
120,RLI9-1,1.5mA,Quiet Rest,Fear,-0.05027028079642676,120.0
121,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04302392642449696,121.0
122,RLI9-1,1.5mA,Quiet Rest,Fear,-0.05099560914888014,122.0
123,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04929014572750419,123.0
124,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04384786761699571,124.0
125,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04934567437968993,125.0
126,RLI9-1,1.5mA,Quiet Rest,Fear,-0.05078948557543029,126.0
127,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04773632958788941,127.0
128,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04740973102017978,128.0
129,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04955770330877989,129.0
130,RLI9-1,1.5mA,Quiet Rest,Fear,-0.034243921032038736,130.0
131,RLI9-1,1.5mA,Quiet Rest,Fear,-0.011503969708037052,131.0
132,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04825771791081441,132.0
133,RLI9-1,1.5mA,Quiet Rest,Fear,-0.004416635250583136,133.0
134,RLI9-1,1.5mA,Quiet Rest,Fear,-0.03519087310296176,134.0
135,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.02719471693266257,135.0
136,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04550526092481931,136.0
137,RLI9-1,1.5mA,Quiet Rest,Fear,-0.049216218879069795,137.0
138,RLI9-1,1.5mA,Quiet Rest,Remaining,0.07916971491500292,138.0
139,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.051838443221554446,139.0
140,RLI9-1,1.5mA,Quiet Rest,Fear,0.0270874746321561,140.0
141,RLI9-1,1.5mA,Quiet Rest,Fear,-0.03989903718782996,141.0
142,RLI9-1,1.5mA,Quiet Rest,Remaining,0.08612685119836053,142.0
143,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.007610176088388095,143.0
144,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.0027893737879800674,144.0
145,RLI9-1,1.5mA,Quiet Rest,Fear,0.025061441773553607,145.0
146,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.049749095698262295,146.0
147,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.048497853853841255,147.0
148,RLI9-1,1.5mA,Quiet Rest,Fear,0.10676395219294181,148.0
149,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04548205569291665,149.0
150,RLI9-1,1.5mA,Quiet Rest,Fear,-0.05024119850249085,150.0
151,RLI9-1,1.5mA,Quiet Rest,Fear,-0.01847812664477396,151.0
152,RLI9-1,1.5mA,Quiet Rest,Remaining,0.018671264266974307,152.0
153,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.03794224626385598,153.0
154,RLI9-1,1.5mA,Quiet Rest,Fear,-0.042671118985883036,154.0
155,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.01885518902621747,155.0
156,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.05083060449852351,156.0
157,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.03810557466144066,157.0
158,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.018321673034815238,158.0
159,RLI9-1,1.5mA,Quiet Rest,Fear,-0.031500757936359564,159.0
160,RLI9-1,1.5mA,Quiet Rest,Fear,-0.04449265930443902,160.0
161,RLI9-1,1.5mA,Quiet Rest,Fear,-0.03463060831152628,161.0
162,RLI9-1,1.5mA,Quiet Rest,Remaining,-0.04992198740044528,162.0
