,Mouse,Amplitude,EncodingActivityBin,FractionReactivated
0,RLI9-1,1.5mA,10,11.627906976744185
1,RLI9-2,1.5mA,10,14.953271028037381
2,RLI9-3,1.5mA,10,12.987012987012985
3,RLI9-4,1.5mA,10,3.79746835443038
4,RLI9-5,1.5mA,10,1.5873015873015872
5,RLI9-6,1.5mA,10,4.040404040404041
6,RLI9-7,1.5mA,10,5.154639175257731
7,RLI9-8,1.5mA,10,6.329113924050633
8,RLI9-1,1.5mA,20,13.953488372093023
9,RLI9-2,1.5mA,20,26.168224299065418
10,RLI9-3,1.5mA,20,19.480519480519483
11,RLI9-4,1.5mA,20,24.050632911392405
12,RLI9-5,1.5mA,20,9.523809523809524
13,RLI9-6,1.5mA,20,11.11111111111111
14,RLI9-7,1.5mA,20,14.432989690721648
15,RLI9-8,1.5mA,20,15.18987341772152
16,RLI9-1,1.5mA,30,16.27906976744186
17,RLI9-2,1.5mA,30,30.8411214953271
18,RLI9-3,1.5mA,30,28.57142857142857
19,RLI9-4,1.5mA,30,31.645569620253166
20,RLI9-5,1.5mA,30,6.349206349206349
21,RLI9-6,1.5mA,30,18.181818181818183
22,RLI9-7,1.5mA,30,28.865979381443296
23,RLI9-8,1.5mA,30,15.18987341772152
24,RLI9-1,1.5mA,40,11.627906976744185
25,RLI9-2,1.5mA,40,51.4018691588785
26,RLI9-3,1.5mA,40,31.16883116883117
27,RLI9-4,1.5mA,40,34.177215189873415
28,RLI9-5,1.5mA,40,9.523809523809524
29,RLI9-6,1.5mA,40,25.252525252525253
30,RLI9-7,1.5mA,40,28.865979381443296
31,RLI9-8,1.5mA,40,21.518987341772153
32,RLI9-1,1.5mA,50,30.23255813953488
33,RLI9-2,1.5mA,50,44.339622641509436
34,RLI9-3,1.5mA,50,42.857142857142854
35,RLI9-4,1.5mA,50,41.77215189873418
36,RLI9-5,1.5mA,50,14.285714285714285
37,RLI9-6,1.5mA,50,32.323232323232325
38,RLI9-7,1.5mA,50,36.08247422680412
39,RLI9-8,1.5mA,50,30.76923076923077
40,RLI9-1,1.5mA,60,27.906976744186046
41,RLI9-2,1.5mA,60,49.056603773584904
42,RLI9-3,1.5mA,60,51.94805194805194
43,RLI9-4,1.5mA,60,39.743589743589745
44,RLI9-5,1.5mA,60,11.11111111111111
45,RLI9-6,1.5mA,60,37.37373737373738
46,RLI9-7,1.5mA,60,42.2680412371134
47,RLI9-8,1.5mA,60,29.48717948717949
48,RLI9-1,1.5mA,70,37.2093023255814
49,RLI9-2,1.5mA,70,59.43396226415094
50,RLI9-3,1.5mA,70,48.68421052631579
51,RLI9-4,1.5mA,70,47.43589743589743
52,RLI9-5,1.5mA,70,15.873015873015872
53,RLI9-6,1.5mA,70,45.45454545454545
54,RLI9-7,1.5mA,70,50.51546391752577
55,RLI9-8,1.5mA,70,42.30769230769231
56,RLI9-1,1.5mA,80,46.51162790697674
57,RLI9-2,1.5mA,80,68.86792452830188
58,RLI9-3,1.5mA,80,57.89473684210527
59,RLI9-4,1.5mA,80,52.56410256410257
60,RLI9-5,1.5mA,80,23.809523809523807
61,RLI9-6,1.5mA,80,44.44444444444444
62,RLI9-7,1.5mA,80,53.608247422680414
63,RLI9-8,1.5mA,80,39.743589743589745
64,RLI9-1,1.5mA,90,55.81395348837209
65,RLI9-2,1.5mA,90,75.47169811320755
66,RLI9-3,1.5mA,90,59.210526315789465
67,RLI9-4,1.5mA,90,67.94871794871796
68,RLI9-5,1.5mA,90,33.87096774193548
69,RLI9-6,1.5mA,90,60.60606060606061
70,RLI9-7,1.5mA,90,48.45360824742268
71,RLI9-8,1.5mA,90,60.256410256410255
72,RLI9-1,1.5mA,100,69.76744186046511
73,RLI9-2,1.5mA,100,82.0754716981132
74,RLI9-3,1.5mA,100,76.31578947368422
75,RLI9-4,1.5mA,100,66.66666666666666
76,RLI9-5,1.5mA,100,40.32258064516129
77,RLI9-6,1.5mA,100,80.61224489795919
78,RLI9-7,1.5mA,100,61.855670103092784
79,RLI9-8,1.5mA,100,58.97435897435898
