,Cell,EncodingActivity,OfflineActivity
0,0,-0.09105516537973765,-0.06466184462107556
1,1,-0.09014713399033962,-0.06505035820277082
2,2,-0.09001805715231545,-0.06125323917352524
3,3,-0.08996228552503369,-0.030308868394157588
4,4,-0.08860157674621343,-0.06442214104287981
5,5,-0.0881582382805484,-0.05638976099202061
6,6,-0.08763258403175107,-0.061564504098379255
7,7,-0.08757384263810349,-0.06771909670446241
8,8,-0.08756379930999336,-0.06170758846192694
9,9,-0.08742995774447578,-0.05187573189507027
10,10,-0.08647918798229971,-0.055426291150754314
11,11,-0.08633512689459755,-0.06530452357615237
12,12,-0.08572137583859096,-0.0439437115302466
13,13,-0.08517327823837763,-0.044598992705882474
14,14,-0.08462584358552462,-0.040780552662599785
15,15,-0.08386466721385383,-0.0668592715087547
16,16,-0.0830920728059202,-0.05949592111091809
17,17,-0.08286124115169721,0.01367701489913397
18,18,-0.0827533279385029,-0.06299701884825437
19,19,-0.08224976362365373,-0.06732448796974573
20,20,-0.08145340698739933,-0.06626205574281507
21,21,-0.08135927334238684,-0.062222581255902645
22,22,-0.08122778657976079,-0.047926334600554676
23,23,-0.08109628830033432,-0.06832397164576681
24,24,-0.08108399041073021,-0.06214715321379465
25,25,-0.0799947469792795,-0.06725519366885166
26,26,-0.0799553878890232,-0.06514619849352694
27,27,-0.07971091413174246,-0.047305353022497235
28,28,-0.07898414479686156,-0.03752285975526984
29,29,-0.07883508982532281,-0.05765904334407354
30,30,-0.078795663549736,-0.04925152528759125
31,31,-0.07834989853521569,-0.05000687396592143
32,32,-0.07781451092373134,-0.06198984765020964
33,33,-0.0772172076293581,-0.06142342453722444
34,34,-0.07709657802339152,-0.05061262455590233
35,35,-0.07706487537439541,-0.055299758851837875
36,36,-0.07674352244537455,-0.05783832324399786
37,37,-0.07663626564397924,-0.0029968843321346306
38,38,-0.07625170959602176,-0.04221340283422145
39,39,-0.0758296736954673,-0.06608425884422744
40,40,-0.07578210138234136,-0.017279375964955435
41,41,-0.07576904259093639,-0.06535297158555502
42,42,-0.07565077522306288,-0.04048960249801175
43,43,-0.07550890372431665,-0.049191221384863835
44,44,-0.07482274051868724,-0.04231323128831563
45,45,-0.07469176563654267,-0.050123862471692746
46,46,-0.07448641795643098,-0.05841486944867394
47,47,-0.07372825361436947,-0.05086828618824304
48,48,-0.07353231354402585,-0.06592233742881665
49,49,-0.07322394078465125,-0.008555897539430042
50,50,-0.07266780355060874,-0.06423355165903658
51,51,-0.07263719581358913,-0.058905244959762716
52,52,-0.07230957086361749,-0.03009300589665327
53,53,-0.07176244873133791,-0.06189228861736043
54,54,-0.07150429820252197,-0.05151087021774724
