,Mouse,Amplitude,Ensemble,TimeBin,Activity
0,RLI9-1,1.5mA,Aversive,1,0.005100674734070201
1,RLI9-1,1.5mA,Novel,1,0.03759348308898937
2,RLI9-1,1.5mA,Overlap,1,0.07353462274964362
3,RLI9-1,1.5mA,Remaining,1,0.028784089597607247
4,RLI9-2,1.5mA,Aversive,1,0.009265278905089385
5,RLI9-2,1.5mA,Novel,1,0.004733642220149018
6,RLI9-2,1.5mA,Overlap,1,0.043580967170511166
7,RLI9-2,1.5mA,Remaining,1,-0.013009511556027658
8,RLI9-3,1.5mA,Aversive,1,0.01924220302887283
9,RLI9-3,1.5mA,Novel,1,0.02563615359026658
10,RLI9-3,1.5mA,Overlap,1,0.02996256781765275
11,RLI9-3,1.5mA,Remaining,1,-0.0065030473657031514
12,RLI9-4,1.5mA,Aversive,1,0.06818427408686432
13,RLI9-4,1.5mA,Novel,1,0.014385413007679364
14,RLI9-4,1.5mA,Overlap,1,0.05354493055306399
15,RLI9-4,1.5mA,Remaining,1,-0.005135202164215209
16,RLI9-5,1.5mA,Aversive,1,0.029304067916853176
17,RLI9-5,1.5mA,Novel,1,0.024334446105487552
18,RLI9-5,1.5mA,Overlap,1,0.051512465117253485
19,RLI9-5,1.5mA,Remaining,1,0.001376145221946123
20,RLI9-6,1.5mA,Aversive,1,0.0252803022264708
21,RLI9-6,1.5mA,Novel,1,0.003554094991124647
22,RLI9-6,1.5mA,Overlap,1,0.03432272857202343
23,RLI9-6,1.5mA,Remaining,1,-0.019113565052375558
24,RLI9-7,1.5mA,Aversive,1,0.018861749335492197
25,RLI9-7,1.5mA,Novel,1,0.01286560060152928
26,RLI9-7,1.5mA,Overlap,1,0.036972751646697985
27,RLI9-7,1.5mA,Remaining,1,-0.009559748142354706
28,RLI9-8,1.5mA,Aversive,1,0.04905271416312776
29,RLI9-8,1.5mA,Novel,1,0.0417112514106734
30,RLI9-8,1.5mA,Overlap,1,0.05149395545313771
31,RLI9-8,1.5mA,Remaining,1,-0.00651338983840203
32,RLI9-1,1.5mA,Aversive,2,-0.006923495110047515
