,Mouse,Amplitude,Ensemble,CellProportion
0,RLI9-1,1.5mA,Aversive,9.550561797752808
1,RLI9-1,1.5mA,Novel,17.415730337078653
2,RLI9-1,1.5mA,Overlap,21.34831460674157
3,RLI9-1,1.5mA,Remaining,51.68539325842697
4,RLI9-2,1.5mA,Aversive,11.156601842374616
5,RLI9-2,1.5mA,Novel,12.384851586489253
6,RLI9-2,1.5mA,Overlap,32.03684749232344
7,RLI9-2,1.5mA,Remaining,44.42169907881269
8,RLI9-3,1.5mA,Aversive,10.638297872340425
9,RLI9-3,1.5mA,Novel,17.95212765957447
10,RLI9-3,1.5mA,Overlap,22.47340425531915
11,RLI9-3,1.5mA,Remaining,48.93617021276596
12,RLI9-4,1.5mA,Aversive,8.15006468305304
13,RLI9-4,1.5mA,Novel,12.677878395860285
14,RLI9-4,1.5mA,Overlap,19.534282018111256
15,RLI9-4,1.5mA,Remaining,59.637774902975416
16,RLI9-5,1.5mA,Aversive,5.303030303030303
17,RLI9-5,1.5mA,Novel,7.954545454545454
18,RLI9-5,1.5mA,Overlap,7.575757575757576
19,RLI9-5,1.5mA,Remaining,79.16666666666666
20,RLI9-6,1.5mA,Aversive,11.097099621689786
21,RLI9-6,1.5mA,Novel,16.51954602774275
22,RLI9-6,1.5mA,Overlap,22.44640605296343
23,RLI9-6,1.5mA,Remaining,49.93694829760403
24,RLI9-7,1.5mA,Aversive,12.268518518518519
25,RLI9-7,1.5mA,Novel,9.25925925925926
26,RLI9-7,1.5mA,Overlap,24.305555555555554
27,RLI9-7,1.5mA,Remaining,54.166666666666664
28,RLI9-8,1.5mA,Aversive,8.323424494649228
29,RLI9-8,1.5mA,Novel,9.512485136741974
30,RLI9-8,1.5mA,Overlap,16.527942925089178
31,RLI9-8,1.5mA,Remaining,65.63614744351962
