,Mouse,Group,Freq
0,RLI9-1,True,4.919444444444444
1,RLI9-1,Shuffle,4.386292592592592
0,RLI9-2,True,4.697222222222222
1,RLI9-2,Shuffle,3.3849037037037037
0,RLI9-3,True,4.6722222222222225
1,RLI9-3,Shuffle,3.9321990740740738
0,RLI9-4,True,4.830555555555556
1,RLI9-4,Shuffle,3.7002333333333337
0,RLI9-5,True,4.591666666666667
1,RLI9-5,Shuffle,4.3861888888888885
0,RLI9-6,True,4.514814814814814
1,RLI9-6,Shuffle,3.852189814814815
0,RLI9-7,True,4.772222222222222
1,RLI9-7,Shuffle,3.452167592592593
0,RLI9-8,True,4.782407407407407
1,RLI9-8,Shuffle,3.701167592592593
