,Mouse,Amplitude,Ensemble,BurstParticipation
0,RLI9-1,1.5mA,Aversive,2.7081509123097027
1,RLI9-1,1.5mA,Remaining,2.747458630984758
2,RLI9-2,1.5mA,Aversive,3.784779670001499
3,RLI9-2,1.5mA,Remaining,3.281836874632621
4,RLI9-3,1.5mA,Aversive,2.5140657173515852
5,RLI9-3,1.5mA,Remaining,2.3178269355888097
6,RLI9-4,1.5mA,Aversive,3.3419977941751653
7,RLI9-4,1.5mA,Remaining,3.296447454798048
8,RLI9-5,1.5mA,Aversive,1.6566615477686257
9,RLI9-5,1.5mA,Remaining,1.4498129948597367
10,RLI9-6,1.5mA,Aversive,2.479809125466499
11,RLI9-6,1.5mA,Remaining,1.9932218563760247
12,RLI9-7,1.5mA,Aversive,4.115796152594788
13,RLI9-7,1.5mA,Remaining,3.6688220626486396
14,RLI9-8,1.5mA,Aversive,2.7134172313649563
15,RLI9-8,1.5mA,Remaining,2.450438408984067
