,Mouse,Amplitude,BurstThreshold,ParticipationRatio
0,RLI9-1,1.5mA,0.0,1.0714997973642024
1,RLI9-1,1.5mA,1.0,1.0392599008000085
2,RLI9-1,1.5mA,2.0,0.985693062588183
3,RLI9-1,1.5mA,3.0,0.9403606614989556
4,RLI9-1,1.5mA,4.0,0.917320677751302
5,RLI9-1,1.5mA,5.0,0.8621757343949209
6,RLI9-1,1.5mA,6.0,0.8058975291326856
7,RLI9-1,1.5mA,7.0,0.6920634920634917
8,RLI9-1,1.5mA,8.0,0.7068140746252789
9,RLI9-1,1.5mA,9.0,0.7032956124677388
10,RLI9-2,1.5mA,0.0,1.1662454599574796
11,RLI9-2,1.5mA,1.0,1.1686608130447984
12,RLI9-2,1.5mA,2.0,1.1532503943923718
13,RLI9-2,1.5mA,3.0,1.1052782555184308
14,RLI9-2,1.5mA,4.0,1.0534257677022925
15,RLI9-2,1.5mA,5.0,1.0448449608711958
16,RLI9-2,1.5mA,6.0,1.0275737261196614
17,RLI9-2,1.5mA,7.0,1.0385511233934925
18,RLI9-2,1.5mA,8.0,0.9668789892915546
19,RLI9-2,1.5mA,9.0,0.9404546160617204
20,RLI9-3,1.5mA,0.0,1.1507080448187952
21,RLI9-3,1.5mA,1.0,1.1231786404029984
22,RLI9-3,1.5mA,2.0,1.08466498458088
23,RLI9-3,1.5mA,3.0,1.033595491153207
24,RLI9-3,1.5mA,4.0,0.9655160964542145
25,RLI9-3,1.5mA,5.0,0.8844333748443337
26,RLI9-3,1.5mA,6.0,0.8048499007782921
27,RLI9-3,1.5mA,7.0,0.7130832449628844
28,RLI9-3,1.5mA,8.0,0.6639050901378579
29,RLI9-3,1.5mA,9.0,0.5623535896375913
30,RLI9-4,1.5mA,0.0,1.0625710649365343
31,RLI9-4,1.5mA,1.0,1.0368046576818524
32,RLI9-4,1.5mA,2.0,1.0138180086295074
33,RLI9-4,1.5mA,3.0,0.9900868287529451
34,RLI9-4,1.5mA,4.0,0.9393180061011313
35,RLI9-4,1.5mA,5.0,0.8874031624747958
36,RLI9-4,1.5mA,6.0,0.846992528082882
37,RLI9-4,1.5mA,7.0,0.7407689971107864
38,RLI9-4,1.5mA,8.0,0.5882609284549111
39,RLI9-4,1.5mA,9.0,0.33988613170050486
40,RLI9-5,1.5mA,0.0,1.418019348131633
41,RLI9-5,1.5mA,1.0,1.2479946904835393
42,RLI9-5,1.5mA,2.0,1.1426725747681001
43,RLI9-5,1.5mA,3.0,1.0883739310949017
44,RLI9-5,1.5mA,4.0,1.0121679992647734
45,RLI9-5,1.5mA,5.0,0.9405631374335119
46,RLI9-5,1.5mA,6.0,0.8927253987197568
47,RLI9-5,1.5mA,7.0,0.8660693561116012
48,RLI9-5,1.5mA,8.0,0.9034606818571184
49,RLI9-5,1.5mA,9.0,0.9137931034482758
50,RLI9-6,1.5mA,0.0,1.350516706647554
51,RLI9-6,1.5mA,1.0,1.2875231766724635
52,RLI9-6,1.5mA,2.0,1.2441209780707312
53,RLI9-6,1.5mA,3.0,1.1823133179117364
54,RLI9-6,1.5mA,4.0,1.1089158560590135
55,RLI9-6,1.5mA,5.0,1.0319275229584892
56,RLI9-6,1.5mA,6.0,0.9274096977254673
57,RLI9-6,1.5mA,7.0,0.8456012575734835
58,RLI9-6,1.5mA,8.0,0.8559942707089998
59,RLI9-6,1.5mA,9.0,0.889991802667859
60,RLI9-7,1.5mA,0.0,1.1274850173073223
61,RLI9-7,1.5mA,1.0,1.1243637451598867
62,RLI9-7,1.5mA,2.0,1.1218304083200654
63,RLI9-7,1.5mA,3.0,1.1180503366268688
64,RLI9-7,1.5mA,4.0,1.106590450474952
65,RLI9-7,1.5mA,5.0,1.059641711139607
66,RLI9-7,1.5mA,6.0,1.0173240033416553
67,RLI9-7,1.5mA,7.0,0.946766486812655
68,RLI9-7,1.5mA,8.0,0.8567131989542944
69,RLI9-7,1.5mA,9.0,0.7898085916536762
70,RLI9-8,1.5mA,0.0,1.161038558183866
71,RLI9-8,1.5mA,1.0,1.1309915232468533
72,RLI9-8,1.5mA,2.0,1.1073190909090909
73,RLI9-8,1.5mA,3.0,1.0693850907686366
74,RLI9-8,1.5mA,4.0,1.0459372432479677
75,RLI9-8,1.5mA,5.0,1.0873657770800627
76,RLI9-8,1.5mA,6.0,1.1927721623860814
77,RLI9-8,1.5mA,7.0,1.322469565217391
78,RLI9-8,1.5mA,8.0,1.7237500000000001
79,RLI9-8,1.5mA,9.0,1.4930526315789474
