,Mouse,Amplitude,BinSize,ParticipationRatio
0,RLI9-1,1.5mA,0,0.985693062588183
1,RLI9-2,1.5mA,0,1.1532503943923718
2,RLI9-3,1.5mA,0,1.08466498458088
3,RLI9-4,1.5mA,0,1.0138180086295074
4,RLI9-5,1.5mA,0,1.1426725747681001
5,RLI9-6,1.5mA,0,1.2441209780707312
6,RLI9-7,1.5mA,0,1.1218304083200654
7,RLI9-8,1.5mA,0,1.1073190909090909
8,RLI9-1,1.5mA,0.05,0.9904449648711944
9,RLI9-2,1.5mA,0.05,1.1346551411803865
10,RLI9-3,1.5mA,0.05,1.0604505218701759
11,RLI9-4,1.5mA,0.05,1.0092477019986323
12,RLI9-5,1.5mA,0.05,1.1302517408004886
13,RLI9-6,1.5mA,0.05,1.2075080532735931
14,RLI9-7,1.5mA,0.05,1.1031129938492497
15,RLI9-8,1.5mA,0.05,1.0779074600147875
16,RLI9-1,1.5mA,0.1,0.9950192830058083
17,RLI9-2,1.5mA,0.1,1.1105848566311562
18,RLI9-3,1.5mA,0.1,1.032724202019564
19,RLI9-4,1.5mA,0.1,0.9865914471821012
20,RLI9-5,1.5mA,0.1,1.075646399968412
21,RLI9-6,1.5mA,0.1,1.164777866895146
22,RLI9-7,1.5mA,0.1,1.0774784810995817
23,RLI9-8,1.5mA,0.1,1.0463520338166041
24,RLI9-1,1.5mA,0.15000000000000002,0.9719707014891745
25,RLI9-2,1.5mA,0.15000000000000002,1.0854973421306828
26,RLI9-3,1.5mA,0.15000000000000002,1.012058619786685
27,RLI9-4,1.5mA,0.15000000000000002,0.9760891705477239
28,RLI9-5,1.5mA,0.15000000000000002,1.0726708641299387
29,RLI9-6,1.5mA,0.15000000000000002,1.132844154964608
30,RLI9-7,1.5mA,0.15000000000000002,1.0679242797852733
31,RLI9-8,1.5mA,0.15000000000000002,1.030730824814002
32,RLI9-1,1.5mA,0.2,0.9601562180773391
33,RLI9-2,1.5mA,0.2,1.0849344383631496
34,RLI9-3,1.5mA,0.2,1.0044402081288135
35,RLI9-4,1.5mA,0.2,0.9657387180956809
36,RLI9-5,1.5mA,0.2,1.0443085034473434
37,RLI9-6,1.5mA,0.2,1.1081388964538967
38,RLI9-7,1.5mA,0.2,1.0641657530528565
39,RLI9-8,1.5mA,0.2,1.027246233230134
40,RLI9-1,1.5mA,0.25,0.9857209499907482
41,RLI9-2,1.5mA,0.25,1.0827424296900507
42,RLI9-3,1.5mA,0.25,1.0023452712350895
43,RLI9-4,1.5mA,0.25,0.9692307342842928
44,RLI9-5,1.5mA,0.25,1.0093485584960011
45,RLI9-6,1.5mA,0.25,1.101965015901863
46,RLI9-7,1.5mA,0.25,1.0557288387577357
47,RLI9-8,1.5mA,0.25,1.0379406538139144
48,RLI9-1,1.5mA,0.3,1.001759560228034
49,RLI9-2,1.5mA,0.3,1.0594637858846345
50,RLI9-3,1.5mA,0.3,0.9937763741075929
51,RLI9-4,1.5mA,0.3,0.9583174487688262
52,RLI9-5,1.5mA,0.3,1.041566852985538
53,RLI9-6,1.5mA,0.3,1.0847740928724834
54,RLI9-7,1.5mA,0.3,1.0459676373951095
55,RLI9-8,1.5mA,0.3,1.0515420505783182
56,RLI9-1,1.5mA,0.35000000000000003,0.9813242449912334
57,RLI9-2,1.5mA,0.35000000000000003,1.0611884628750146
58,RLI9-3,1.5mA,0.35000000000000003,0.9953804273104738
59,RLI9-4,1.5mA,0.35000000000000003,0.9528361585226137
60,RLI9-5,1.5mA,0.35000000000000003,1.016071343411703
61,RLI9-6,1.5mA,0.35000000000000003,1.0790965388589537
62,RLI9-7,1.5mA,0.35000000000000003,1.0443606194218633
