,Mouse,Amplitude,Time,Freezing
0,RLI5-1,0.25mA,PreShock1,0.0
1,RLI5-2,1.5mA,PreShock1,0.0
2,RLI5-3,0.25mA,PreShock1,0.0
3,RLI5-4,1.5mA,PreShock1,0.0
4,RLI5-5,0.25mA,PreShock1,0.0
5,RLI5-6,1.5mA,PreShock1,0.0
6,RLI5-7,0.25mA,PreShock1,0.0
7,RLI5-8,1.5mA,PreShock1,0.0
8,RLI5-9,0.25mA,PreShock1,0.0
9,RLI5-10,1.5mA,PreShock1,0.0
10,RLI6-1,0.25mA,PreShock1,0.0
11,RLI6-2,1.5mA,PreShock1,0.0
12,RLI6-3,0.25mA,PreShock1,0.0
13,RLI6-4,1.5mA,PreShock1,0.0
14,RLI6-6,1.5mA,PreShock1,0.0
15,RLI6-8,0.25mA,PreShock1,0.0
16,RLI6-9,1.5mA,PreShock1,0.0
17,RLI6-10,0.25mA,PreShock1,0.0
18,RLI6-11,1.5mA,PreShock1,0.0
19,RLI6-12,0.25mA,PreShock1,0.0
20,RLI8-3,1.5mA,PreShock1,0.0
21,RLI8-6,1.5mA,PreShock1,0.0
22,RLI5-1,0.25mA,PreShock2,0.0
23,RLI5-2,1.5mA,PreShock2,0.0
24,RLI5-3,0.25mA,PreShock2,0.0
25,RLI5-4,1.5mA,PreShock2,4.222222222222222
26,RLI5-5,0.25mA,PreShock2,0.0
27,RLI5-6,1.5mA,PreShock2,11.666666666666666
28,RLI5-7,0.25mA,PreShock2,0.0
29,RLI5-8,1.5mA,PreShock2,12.666666666666666
30,RLI5-9,0.25mA,PreShock2,0.0
31,RLI5-10,1.5mA,PreShock2,0.0
32,RLI6-1,0.25mA,PreShock2,4.0
33,RLI6-2,1.5mA,PreShock2,7.333333333333333
34,RLI6-3,0.25mA,PreShock2,0.0
35,RLI6-4,1.5mA,PreShock2,0.0
36,RLI6-6,1.5mA,PreShock2,0.0
37,RLI6-8,0.25mA,PreShock2,0.0
38,RLI6-9,1.5mA,PreShock2,0.0
39,RLI6-10,0.25mA,PreShock2,0.0
40,RLI6-11,1.5mA,PreShock2,0.0
41,RLI6-12,0.25mA,PreShock2,3.0
42,RLI8-3,1.5mA,PreShock2,6.222222222222222
43,RLI8-6,1.5mA,PreShock2,0.0
44,RLI5-1,0.25mA,PreShock3,2.3333333333333335
45,RLI5-2,1.5mA,PreShock3,0.0
46,RLI5-3,0.25mA,PreShock3,0.0
47,RLI5-4,1.5mA,PreShock3,2.0
48,RLI5-5,0.25mA,PreShock3,6.555555555555555
49,RLI5-6,1.5mA,PreShock3,34.666666666666664
50,RLI5-7,0.25mA,PreShock3,2.5555555555555554
51,RLI5-8,1.5mA,PreShock3,3.4444444444444446
52,RLI5-9,0.25mA,PreShock3,1.8888888888888888
53,RLI5-10,1.5mA,PreShock3,4.666666666666667
54,RLI6-1,0.25mA,PreShock3,0.0
55,RLI6-2,1.5mA,PreShock3,8.88888888888889
56,RLI6-3,0.25mA,PreShock3,1.6666666666666667
57,RLI6-4,1.5mA,PreShock3,0.0
58,RLI6-6,1.5mA,PreShock3,5.888888888888889
59,RLI6-8,0.25mA,PreShock3,0.0
60,RLI6-9,1.5mA,PreShock3,1.8888888888888888
61,RLI6-10,0.25mA,PreShock3,1.6666666666666667
62,RLI6-11,1.5mA,PreShock3,32.333333333333336
63,RLI6-12,0.25mA,PreShock3,2.7777777777777777
64,RLI8-3,1.5mA,PreShock3,8.777777777777779
65,RLI8-6,1.5mA,PreShock3,0.0
66,RLI5-1,0.25mA,PreShock4,6.444444444444445
67,RLI5-2,1.5mA,PreShock4,0.0
68,RLI5-3,0.25mA,PreShock4,3.2222222222222223
69,RLI5-4,1.5mA,PreShock4,17.11111111111111
70,RLI5-5,0.25mA,PreShock4,14.88888888888889
71,RLI5-6,1.5mA,PreShock4,22.444444444444443
72,RLI5-7,0.25mA,PreShock4,1.7777777777777777
73,RLI5-8,1.5mA,PreShock4,8.777777777777779
74,RLI5-9,0.25mA,PreShock4,9.777777777777779
75,RLI5-10,1.5mA,PreShock4,0.0
76,RLI6-1,0.25mA,PreShock4,0.0
77,RLI6-2,1.5mA,PreShock4,16.77777777777778
78,RLI6-3,0.25mA,PreShock4,7.777777777777778
79,RLI6-4,1.5mA,PreShock4,9.11111111111111
80,RLI6-6,1.5mA,PreShock4,8.444444444444445
81,RLI6-8,0.25mA,PreShock4,0.0
82,RLI6-9,1.5mA,PreShock4,11.222222222222221
83,RLI6-10,0.25mA,PreShock4,7.555555555555555
84,RLI6-11,1.5mA,PreShock4,1.8888888888888888
85,RLI6-12,0.25mA,PreShock4,23.0
86,RLI8-3,1.5mA,PreShock4,8.666666666666666
87,RLI8-6,1.5mA,PreShock4,0.0
88,RLI5-1,0.25mA,PostShock1_1,0.0
89,RLI5-2,1.5mA,PostShock1_1,2.619047619047619
90,RLI5-3,0.25mA,PostShock1_1,7.857142857142857
91,RLI5-4,1.5mA,PostShock1_1,4.880952380952381
92,RLI5-5,0.25mA,PostShock1_1,2.857142857142857
93,RLI5-6,1.5mA,PostShock1_1,5.714285714285714
94,RLI5-7,0.25mA,PostShock1_1,5.357142857142857
95,RLI5-8,1.5mA,PostShock1_1,11.30952380952381
96,RLI5-9,0.25mA,PostShock1_1,2.857142857142857
97,RLI5-10,1.5mA,PostShock1_1,5.238095238095238
98,RLI6-1,0.25mA,PostShock1_1,1.9047619047619047
99,RLI6-2,1.5mA,PostShock1_1,18.928571428571427
100,RLI6-3,0.25mA,PostShock1_1,0.0
101,RLI6-4,1.5mA,PostShock1_1,0.0
102,RLI6-6,1.5mA,PostShock1_1,17.38095238095238
103,RLI6-8,0.25mA,PostShock1_1,9.047619047619047
104,RLI6-9,1.5mA,PostShock1_1,17.976190476190474
105,RLI6-10,0.25mA,PostShock1_1,1.9047619047619047
106,RLI6-11,1.5mA,PostShock1_1,17.738095238095237
107,RLI6-12,0.25mA,PostShock1_1,0.0
108,RLI8-3,1.5mA,PostShock1_1,0.0
109,RLI8-6,1.5mA,PostShock1_1,8.571428571428571
110,RLI5-1,0.25mA,PostShock1_2,3.7777777777777777
111,RLI5-2,1.5mA,PostShock1_2,14.88888888888889
112,RLI5-3,0.25mA,PostShock1_2,21.0
113,RLI5-4,1.5mA,PostShock1_2,29.77777777777778
114,RLI5-5,0.25mA,PostShock1_2,7.0
115,RLI5-6,1.5mA,PostShock1_2,12.555555555555555
