,Mouse,Amplitude,Time,Motion
0,RLI5-1,0.25mA,PreShock1,508.9166666666667
1,RLI5-2,1.5mA,PreShock1,638.45
2,RLI5-3,0.25mA,PreShock1,473.31666666666666
3,RLI5-4,1.5mA,PreShock1,1353.85
4,RLI5-5,0.25mA,PreShock1,2549.1
5,RLI5-6,1.5mA,PreShock1,825.2333333333333
6,RLI5-7,0.25mA,PreShock1,795.0333333333333
7,RLI5-8,1.5mA,PreShock1,661.65
8,RLI5-9,0.25mA,PreShock1,619.5166666666667
9,RLI5-10,1.5mA,PreShock1,1106.9166666666667
10,RLI6-1,0.25mA,PreShock1,533.2833333333333
11,RLI6-2,1.5mA,PreShock1,206.91666666666666
12,RLI6-3,0.25mA,PreShock1,1122.4166666666667
13,RLI6-4,1.5mA,PreShock1,1354.3
14,RLI6-6,1.5mA,PreShock1,725.35
15,RLI6-8,0.25mA,PreShock1,1108.4166666666667
16,RLI6-9,1.5mA,PreShock1,111.95
17,RLI6-10,0.25mA,PreShock1,377.71666666666664
18,RLI6-11,1.5mA,PreShock1,406.3666666666667
19,RLI6-12,0.25mA,PreShock1,765.3333333333334
20,RLI8-3,1.5mA,PreShock1,376.5
21,RLI8-6,1.5mA,PreShock1,1459.5166666666667
22,RLI5-1,0.25mA,Shock1,1620.7833333333333
23,RLI5-2,1.5mA,Shock1,3524.4333333333334
24,RLI5-3,0.25mA,Shock1,2799.233333333333
25,RLI5-4,1.5mA,Shock1,4029.116666666667
26,RLI5-5,0.25mA,Shock1,2436.1833333333334
27,RLI5-6,1.5mA,Shock1,3488.85
28,RLI5-7,0.25mA,Shock1,2542.483333333333
29,RLI5-8,1.5mA,Shock1,4083.25
30,RLI5-9,0.25mA,Shock1,2569.983333333333
31,RLI5-10,1.5mA,Shock1,3765.0333333333333
32,RLI6-1,0.25mA,Shock1,2357.0666666666666
33,RLI6-2,1.5mA,Shock1,4152.083333333333
34,RLI6-3,0.25mA,Shock1,2837.5
35,RLI6-4,1.5mA,Shock1,3980.2833333333333
36,RLI6-6,1.5mA,Shock1,3824.7166666666667
37,RLI6-8,0.25mA,Shock1,3197.55
38,RLI6-9,1.5mA,Shock1,3964.9166666666665
39,RLI6-10,0.25mA,Shock1,2387.15
40,RLI6-11,1.5mA,Shock1,4056.5333333333333
41,RLI6-12,0.25mA,Shock1,2328.1666666666665
42,RLI8-3,1.5mA,Shock1,3875.5666666666666
43,RLI8-6,1.5mA,Shock1,4790.016666666666
44,RLI5-1,0.25mA,PreShock2,1091.25
45,RLI5-2,1.5mA,PreShock2,162.73333333333332
46,RLI5-3,0.25mA,PreShock2,1133.9666666666667
47,RLI5-4,1.5mA,PreShock2,306.85
48,RLI5-5,0.25mA,PreShock2,518.5833333333334
49,RLI5-6,1.5mA,PreShock2,251.71666666666667
50,RLI5-7,0.25mA,PreShock2,575.35
51,RLI5-8,1.5mA,PreShock2,299.15
52,RLI5-9,0.25mA,PreShock2,660.6333333333333
53,RLI5-10,1.5mA,PreShock2,1575.3166666666666
54,RLI6-1,0.25mA,PreShock2,848.4833333333333
55,RLI6-2,1.5mA,PreShock2,5.766666666666667
56,RLI6-3,0.25mA,PreShock2,835.1
57,RLI6-4,1.5mA,PreShock2,1386.15
58,RLI6-6,1.5mA,PreShock2,81.25
59,RLI6-8,0.25mA,PreShock2,837.3333333333334
60,RLI6-9,1.5mA,PreShock2,225.31666666666666
61,RLI6-10,0.25mA,PreShock2,821.6166666666667
62,RLI6-11,1.5mA,PreShock2,290.23333333333335
63,RLI6-12,0.25mA,PreShock2,431.8
64,RLI8-3,1.5mA,PreShock2,583.55
65,RLI8-6,1.5mA,PreShock2,229.6
66,RLI5-1,0.25mA,Shock2,2094.2
67,RLI5-2,1.5mA,Shock2,3802.4
68,RLI5-3,0.25mA,Shock2,2887.9166666666665
69,RLI5-4,1.5mA,Shock2,3558.2166666666667
70,RLI5-5,0.25mA,Shock2,1734.7333333333333
71,RLI5-6,1.5mA,Shock2,3903.6
72,RLI5-7,0.25mA,Shock2,1938.55
73,RLI5-8,1.5mA,Shock2,3870.5833333333335
74,RLI5-9,0.25mA,Shock2,2206.5
75,RLI5-10,1.5mA,Shock2,3483.2833333333333
76,RLI6-1,0.25mA,Shock2,2058.95
77,RLI6-2,1.5mA,Shock2,4328.95
78,RLI6-3,0.25mA,Shock2,1784.4666666666667
79,RLI6-4,1.5mA,Shock2,3488.233333333333
80,RLI6-6,1.5mA,Shock2,3857.3166666666666
81,RLI6-8,0.25mA,Shock2,2391.0333333333333
82,RLI6-9,1.5mA,Shock2,3320.8333333333335
83,RLI6-10,0.25mA,Shock2,2656.733333333333
84,RLI6-11,1.5mA,Shock2,3129.766666666667
85,RLI6-12,0.25mA,Shock2,2695.9166666666665
86,RLI8-3,1.5mA,Shock2,3406.266666666667
87,RLI8-6,1.5mA,Shock2,4307.45
88,RLI5-1,0.25mA,PreShock3,522.25
89,RLI5-2,1.5mA,PreShock3,9.216666666666667
90,RLI5-3,0.25mA,PreShock3,688.95
91,RLI5-4,1.5mA,PreShock3,12.133333333333333
92,RLI5-5,0.25mA,PreShock3,295.01666666666665
93,RLI5-6,1.5mA,PreShock3,54.43333333333333
94,RLI5-7,0.25mA,PreShock3,861.8833333333333
95,RLI5-8,1.5mA,PreShock3,336.68333333333334
96,RLI5-9,0.25mA,PreShock3,285.8333333333333
97,RLI5-10,1.5mA,PreShock3,25.083333333333332
98,RLI6-1,0.25mA,PreShock3,543.5
99,RLI6-2,1.5mA,PreShock3,122.9
100,RLI6-3,0.25mA,PreShock3,972.5833333333334
101,RLI6-4,1.5mA,PreShock3,438.6666666666667
102,RLI6-6,1.5mA,PreShock3,736.0333333333333
103,RLI6-8,0.25mA,PreShock3,326.3333333333333
104,RLI6-9,1.5mA,PreShock3,5.8
105,RLI6-10,0.25mA,PreShock3,480.71666666666664
106,RLI6-11,1.5mA,PreShock3,85.91666666666667
107,RLI6-12,0.25mA,PreShock3,445.95
108,RLI8-3,1.5mA,PreShock3,1137.5833333333333
109,RLI8-6,1.5mA,PreShock3,217.8
110,RLI5-1,0.25mA,Shock3,1653.0
111,RLI5-2,1.5mA,Shock3,4100.183333333333
112,RLI5-3,0.25mA,Shock3,3465.65
113,RLI5-4,1.5mA,Shock3,3581.766666666667
114,RLI5-5,0.25mA,Shock3,2086.4666666666667
115,RLI5-6,1.5mA,Shock3,3243.4166666666665
116,RLI5-7,0.25mA,Shock3,1718.8
117,RLI5-8,1.5mA,Shock3,3917.9166666666665
118,RLI5-9,0.25mA,Shock3,2157.766666666667
119,RLI5-10,1.5mA,Shock3,3552.4
120,RLI6-1,0.25mA,Shock3,2587.4333333333334
121,RLI6-2,1.5mA,Shock3,3701.4333333333334
122,RLI6-3,0.25mA,Shock3,2693.516666666667
123,RLI6-4,1.5mA,Shock3,3419.0
124,RLI6-6,1.5mA,Shock3,3330.0666666666666
125,RLI6-8,0.25mA,Shock3,1709.45
126,RLI6-9,1.5mA,Shock3,3437.6666666666665
127,RLI6-10,0.25mA,Shock3,1993.1
128,RLI6-11,1.5mA,Shock3,3347.133333333333
129,RLI6-12,0.25mA,Shock3,2697.5
130,RLI8-3,1.5mA,Shock3,4085.4666666666667
131,RLI8-6,1.5mA,Shock3,3636.9666666666667
