,Mouse,Amplitude,Session,Fraction
0,RLI5-1,0.25mA,NeutralLearning,100.0
1,RLI5-2,1.5mA,NeutralLearning,100.0
2,RLI5-3,0.25mA,NeutralLearning,100.0
3,RLI5-4,1.5mA,NeutralLearning,100.0
4,RLI5-5,0.25mA,NeutralLearning,100.0
5,RLI5-6,1.5mA,NeutralLearning,100.0
6,RLI5-7,0.25mA,NeutralLearning,100.0
7,RLI5-8,1.5mA,NeutralLearning,100.0
8,RLI5-9,0.25mA,NeutralLearning,100.0
9,RLI5-10,1.5mA,NeutralLearning,100.0
10,RLI6-1,0.25mA,NeutralLearning,100.0
11,RLI6-2,1.5mA,NeutralLearning,100.0
12,RLI6-4,1.5mA,NeutralLearning,100.0
13,RLI6-6,1.5mA,NeutralLearning,100.0
14,RLI6-9,1.5mA,NeutralLearning,100.0
15,RLI6-10,0.25mA,NeutralLearning,100.0
16,RLI6-11,1.5mA,NeutralLearning,100.0
17,RLI6-12,0.25mA,NeutralLearning,100.0
18,RLI5-1,0.25mA,OfflineDay1,137.406015037594
19,RLI5-2,1.5mA,OfflineDay1,155.26315789473685
20,RLI5-3,0.25mA,OfflineDay1,144.73067915690868
21,RLI5-4,1.5mA,OfflineDay1,140.159767610748
22,RLI5-5,0.25mA,OfflineDay1,122.33400402414487
23,RLI5-6,1.5mA,OfflineDay1,91.82389937106919
24,RLI5-7,0.25mA,OfflineDay1,61.60990712074303
25,RLI5-8,1.5mA,OfflineDay1,130.2149178255373
26,RLI5-9,0.25mA,OfflineDay1,89.69359331476323
27,RLI5-10,1.5mA,OfflineDay1,55.02742230347349
28,RLI6-1,0.25mA,OfflineDay1,108.50202429149797
29,RLI6-2,1.5mA,OfflineDay1,93.82113821138212
30,RLI6-4,1.5mA,OfflineDay1,136.70886075949366
31,RLI6-6,1.5mA,OfflineDay1,147.23320158102766
32,RLI6-9,1.5mA,OfflineDay1,125.47065337763013
33,RLI6-10,0.25mA,OfflineDay1,86.54970760233918
34,RLI6-11,1.5mA,OfflineDay1,89.83833718244803
35,RLI6-12,0.25mA,OfflineDay1,73.07692307692307
36,RLI5-1,0.25mA,AversiveLearning,96.80451127819549
37,RLI5-2,1.5mA,AversiveLearning,96.88995215311004
38,RLI5-3,0.25mA,AversiveLearning,96.95550351288055
39,RLI5-4,1.5mA,AversiveLearning,76.5432098765432
40,RLI5-5,0.25mA,AversiveLearning,83.29979879275655
41,RLI5-6,1.5mA,AversiveLearning,94.9685534591195
42,RLI5-7,0.25mA,AversiveLearning,78.0185758513932
43,RLI5-8,1.5mA,AversiveLearning,78.12895069532237
44,RLI5-9,0.25mA,AversiveLearning,72.42339832869081
45,RLI5-10,1.5mA,AversiveLearning,70.20109689213893
46,RLI6-1,0.25mA,AversiveLearning,93.11740890688259
47,RLI6-2,1.5mA,AversiveLearning,81.30081300813008
48,RLI6-4,1.5mA,AversiveLearning,82.27848101265823
49,RLI6-6,1.5mA,AversiveLearning,68.08300395256917
50,RLI6-9,1.5mA,AversiveLearning,116.8327796234773
51,RLI6-10,0.25mA,AversiveLearning,57.69980506822612
52,RLI6-11,1.5mA,AversiveLearning,65.58891454965358
53,RLI6-12,0.25mA,AversiveLearning,41.124260355029584
54,RLI5-1,0.25mA,OfflineDay2,147.74436090225564
