,Mouse,Amplitude,Ensemble,TimeBin,Activity
0,RLI5-1,0.25mA,Neutral,1,0.023541619394340612
1,RLI5-1,0.25mA,Remaining,1,0.001432388244657158
2,RLI5-2,1.5mA,Neutral,1,0.022175255189298866
3,RLI5-2,1.5mA,Remaining,1,0.001240138499023777
4,RLI5-3,0.25mA,Neutral,1,0.019717849641117502
5,RLI5-3,0.25mA,Remaining,1,-0.005675693659857984
6,RLI5-4,1.5mA,Neutral,1,0.019648268004055263
7,RLI5-4,1.5mA,Remaining,1,-0.007887372534417368
8,RLI5-5,0.25mA,Neutral,1,0.028961658687900644
9,RLI5-5,0.25mA,Remaining,1,-0.0007587388905235604
10,RLI5-6,1.5mA,Neutral,1,0.0362638790821297
11,RLI5-6,1.5mA,Remaining,1,0.0040322633074232755
12,RLI5-7,0.25mA,Neutral,1,0.06083423466234546
13,RLI5-7,0.25mA,Remaining,1,-0.022123873814812307
14,RLI5-8,1.5mA,Neutral,1,0.04448276179087054
15,RLI5-8,1.5mA,Remaining,1,-0.0013156223891375542
16,RLI5-9,0.25mA,Neutral,1,0.03721044111620725
17,RLI5-9,0.25mA,Remaining,1,0.008672419462725373
18,RLI6-1,0.25mA,Neutral,1,0.03680858531341503
19,RLI6-1,0.25mA,Remaining,1,0.005047889042393412
20,RLI6-2,1.5mA,Neutral,1,0.013665013664213485
21,RLI6-2,1.5mA,Remaining,1,-0.002580308170123906
22,RLI6-4,1.5mA,Neutral,1,0.03749399607718159
23,RLI6-4,1.5mA,Remaining,1,-0.0015027549079436923
24,RLI6-6,1.5mA,Neutral,1,0.026016711443017742
25,RLI6-6,1.5mA,Remaining,1,-0.0034371968938094076
26,RLI6-10,0.25mA,Neutral,1,0.005095842144747449
27,RLI6-10,0.25mA,Remaining,1,0.01213527281021089
28,RLI6-11,1.5mA,Neutral,1,0.031014451042907735
29,RLI6-11,1.5mA,Remaining,1,-0.005073285155659367
30,RLI5-1,0.25mA,Neutral,2,0.01550563939645985
31,RLI5-1,0.25mA,Remaining,2,-0.007524757179230521
32,RLI5-2,1.5mA,Neutral,2,0.013675166691767259
33,RLI5-2,1.5mA,Remaining,2,-0.006198800919160529
34,RLI5-3,0.25mA,Neutral,2,0.014846125282979199
35,RLI5-3,0.25mA,Remaining,2,-0.008243048031114135
36,RLI5-4,1.5mA,Neutral,2,0.023862938448558108
37,RLI5-4,1.5mA,Remaining,2,-0.00597013103836499
38,RLI5-5,0.25mA,Neutral,2,0.031820630704594136
39,RLI5-5,0.25mA,Remaining,2,-0.0021303616411240166
40,RLI5-6,1.5mA,Neutral,2,0.029581565132485
41,RLI5-6,1.5mA,Remaining,2,0.0038187060346346665
42,RLI5-7,0.25mA,Neutral,2,0.03824222127979411
43,RLI5-7,0.25mA,Remaining,2,-0.02575791691940003
44,RLI5-8,1.5mA,Neutral,2,0.04070258532400135
45,RLI5-8,1.5mA,Remaining,2,-0.006001943303495747
46,RLI5-9,0.25mA,Neutral,2,0.03031327012785625
47,RLI5-9,0.25mA,Remaining,2,-0.002904869624666921
48,RLI6-1,0.25mA,Neutral,2,0.03416545128072754
49,RLI6-1,0.25mA,Remaining,2,-0.0022888986584043013
50,RLI6-2,1.5mA,Neutral,2,0.011364746485023275
51,RLI6-2,1.5mA,Remaining,2,-0.009424522133468905
52,RLI6-4,1.5mA,Neutral,2,0.04438565289682677
53,RLI6-4,1.5mA,Remaining,2,-0.007269124406337216
54,RLI6-6,1.5mA,Neutral,2,0.023928320704142757
55,RLI6-6,1.5mA,Remaining,2,-0.004628599266154576
56,RLI6-10,0.25mA,Neutral,2,0.0007692465288525636
57,RLI6-10,0.25mA,Remaining,2,0.0008423256854670376
58,RLI6-11,1.5mA,Neutral,2,0.025195166899052785
59,RLI6-11,1.5mA,Remaining,2,-0.006679603536192476
60,RLI5-1,0.25mA,Neutral,3,0.013230588062933564
61,RLI5-1,0.25mA,Remaining,3,-0.00645550395759026
62,RLI5-2,1.5mA,Neutral,3,0.012112990088939382
63,RLI5-2,1.5mA,Remaining,3,-0.007527218122251506
64,RLI5-3,0.25mA,Neutral,3,0.01766752795674543
65,RLI5-3,0.25mA,Remaining,3,-0.007554054526179304
66,RLI5-4,1.5mA,Neutral,3,0.02064250084371263
67,RLI5-4,1.5mA,Remaining,3,-0.005233405717761977
68,RLI5-5,0.25mA,Neutral,3,0.0195582620162689
69,RLI5-5,0.25mA,Remaining,3,-0.008016879993784545
70,RLI5-6,1.5mA,Neutral,3,0.022033714319933336
71,RLI5-6,1.5mA,Remaining,3,-0.007195239061829664
72,RLI5-7,0.25mA,Neutral,3,0.04144452177034259
73,RLI5-7,0.25mA,Remaining,3,-0.02387789737775237
74,RLI5-8,1.5mA,Neutral,3,0.032924748150779434
75,RLI5-8,1.5mA,Remaining,3,-0.007973512569644165
76,RLI5-9,0.25mA,Neutral,3,0.031115660946029005
77,RLI5-9,0.25mA,Remaining,3,-0.010665429804676874
78,RLI6-1,0.25mA,Neutral,3,0.03992957160767412
79,RLI6-1,0.25mA,Remaining,3,0.001631907619020015
80,RLI6-2,1.5mA,Neutral,3,0.008981035833987462
81,RLI6-2,1.5mA,Remaining,3,-0.007537651138277054
82,RLI6-4,1.5mA,Neutral,3,0.029203933467226082
83,RLI6-4,1.5mA,Remaining,3,-0.011547138198191495
84,RLI6-6,1.5mA,Neutral,3,0.026379027544458953
85,RLI6-6,1.5mA,Remaining,3,-0.0025662765978957435
86,RLI6-10,0.25mA,Neutral,3,0.0014284242334464616
87,RLI6-10,0.25mA,Remaining,3,-0.002844707257035917
88,RLI6-11,1.5mA,Neutral,3,0.02498511623565796
89,RLI6-11,1.5mA,Remaining,3,-0.010063377448901694
90,RLI5-1,0.25mA,Neutral,4,0.009085041437527912
91,RLI5-1,0.25mA,Remaining,4,-0.010245465457733064
92,RLI5-2,1.5mA,Neutral,4,0.005622357544203506
93,RLI5-2,1.5mA,Remaining,4,-0.010959911494666259
94,RLI5-3,0.25mA,Neutral,4,0.008041157371298652
95,RLI5-3,0.25mA,Remaining,4,-0.01109217985532454
96,RLI5-4,1.5mA,Neutral,4,0.018196880008276614
97,RLI5-4,1.5mA,Remaining,4,-0.00843898414131464
98,RLI5-5,0.25mA,Neutral,4,0.018568112653813376
99,RLI5-5,0.25mA,Remaining,4,-0.003077429040670899
100,RLI5-6,1.5mA,Neutral,4,0.003942149623023809
