,Mouse,Amplitude,Ensemble,CellProportion
0,RLI5-1,0.25mA,Neutral,27.359781121751027
1,RLI5-1,0.25mA,Remaining,72.64021887824897
2,RLI5-2,1.5mA,Neutral,38.366718027734976
3,RLI5-2,1.5mA,Remaining,61.63328197226502
4,RLI5-3,0.25mA,Neutral,38.996763754045304
5,RLI5-3,0.25mA,Remaining,61.003236245954696
6,RLI5-4,1.5mA,Neutral,27.56476683937824
7,RLI5-4,1.5mA,Remaining,72.43523316062176
8,RLI5-5,0.25mA,Neutral,22.532894736842106
9,RLI5-5,0.25mA,Remaining,77.4671052631579
10,RLI5-6,1.5mA,Neutral,16.095890410958905
11,RLI5-6,1.5mA,Remaining,83.9041095890411
12,RLI5-7,0.25mA,Neutral,41.70854271356784
13,RLI5-7,0.25mA,Remaining,58.291457286432156
14,RLI5-8,1.5mA,Neutral,23.495145631067963
15,RLI5-8,1.5mA,Remaining,76.50485436893204
16,RLI5-9,0.25mA,Neutral,16.149068322981368
17,RLI5-9,0.25mA,Remaining,83.85093167701864
18,RLI6-1,0.25mA,Neutral,7.835820895522389
19,RLI6-1,0.25mA,Remaining,92.16417910447761
20,RLI6-2,1.5mA,Neutral,43.84748700173311
21,RLI6-2,1.5mA,Remaining,56.1525129982669
22,RLI6-4,1.5mA,Neutral,28.549382716049383
23,RLI6-4,1.5mA,Remaining,71.4506172839506
24,RLI6-6,1.5mA,Neutral,26.97986577181208
25,RLI6-6,1.5mA,Remaining,73.02013422818791
26,RLI6-10,0.25mA,Neutral,25.675675675675674
27,RLI6-10,0.25mA,Remaining,74.32432432432432
28,RLI6-11,1.5mA,Neutral,26.735218508997427
29,RLI6-11,1.5mA,Remaining,73.26478149100257
