,Mouse,Amplitude,Ensemble,TimeBin,Activity
0,RLI5-1,0.25mA,Neutral Only,1,0.027757899857553673
1,RLI5-1,0.25mA,Aversive Only,1,0.024277822169441132
2,RLI5-1,0.25mA,Overlap,1,0.019040389871141195
3,RLI5-1,0.25mA,Remaining,1,-0.002872781345955717
4,RLI5-2,1.5mA,Neutral Only,1,0.018211384638301662
5,RLI5-2,1.5mA,Aversive Only,1,-0.00037729704533863564
6,RLI5-2,1.5mA,Overlap,1,0.019713897932645597
7,RLI5-2,1.5mA,Remaining,1,-0.0031491130906844715
8,RLI5-3,0.25mA,Neutral Only,1,0.01213712350757592
9,RLI5-3,0.25mA,Aversive Only,1,0.002295098138819452
10,RLI5-3,0.25mA,Overlap,1,0.029275027688534128
11,RLI5-3,0.25mA,Remaining,1,-0.005958176766747408
12,RLI5-4,1.5mA,Neutral Only,1,0.017526368342441985
13,RLI5-4,1.5mA,Aversive Only,1,0.009808245536392118
14,RLI5-4,1.5mA,Overlap,1,0.020708958944853306
15,RLI5-4,1.5mA,Remaining,1,-0.008060434800816895
16,RLI5-5,0.25mA,Neutral Only,1,0.02335902327188145
17,RLI5-5,0.25mA,Aversive Only,1,0.0727219389218277
18,RLI5-5,0.25mA,Overlap,1,0.047684872683026874
19,RLI5-5,0.25mA,Remaining,1,0.0015012163119253596
20,RLI5-6,1.5mA,Neutral Only,1,0.042786877173021674
21,RLI5-6,1.5mA,Aversive Only,1,0.008302152804841945
22,RLI5-6,1.5mA,Overlap,1,0.009727125187094161
23,RLI5-6,1.5mA,Remaining,1,0.0038893778557417082
24,RLI5-7,0.25mA,Neutral Only,1,0.0326484461235264
25,RLI5-7,0.25mA,Aversive Only,1,0.04814051048035823
26,RLI5-7,0.25mA,Overlap,1,0.07077344578342966
27,RLI5-7,0.25mA,Remaining,1,-0.010115168058317291
28,RLI5-8,1.5mA,Neutral Only,1,0.02402391294229599
29,RLI5-8,1.5mA,Aversive Only,1,0.033243376261453746
30,RLI5-8,1.5mA,Overlap,1,0.05009025942961877
31,RLI5-8,1.5mA,Remaining,1,-0.007874135196061704
32,RLI5-9,0.25mA,Neutral Only,1,0.013855077335528682
33,RLI5-9,0.25mA,Aversive Only,1,0.03731133273030225
34,RLI5-9,0.25mA,Overlap,1,0.06825179135955721
35,RLI5-9,0.25mA,Remaining,1,-0.005483477542670855
36,RLI6-1,0.25mA,Neutral Only,1,-0.003111741812604039
37,RLI6-1,0.25mA,Aversive Only,1,0.077563464338278
38,RLI6-1,0.25mA,Overlap,1,0.046479762874100695
39,RLI6-1,0.25mA,Remaining,1,-0.003584947879549585
40,RLI6-2,1.5mA,Neutral Only,1,0.03818918746852256
41,RLI6-2,1.5mA,Aversive Only,1,0.012029326876889106
42,RLI6-2,1.5mA,Overlap,1,0.022129764737948972
43,RLI6-2,1.5mA,Remaining,1,-0.0015230111914181779
44,RLI6-4,1.5mA,Neutral Only,1,0.022434731052152795
45,RLI6-4,1.5mA,Aversive Only,1,0.06520070971679433
46,RLI6-4,1.5mA,Overlap,1,0.031569078002681335
47,RLI6-4,1.5mA,Remaining,1,0.0010948678280713812
48,RLI6-6,1.5mA,Neutral Only,1,0.034407288352081226
49,RLI6-6,1.5mA,Aversive Only,1,0.03990083985326256
50,RLI6-6,1.5mA,Overlap,1,0.03181884539019092
51,RLI6-6,1.5mA,Remaining,1,0.004322959613958334
52,RLI6-10,0.25mA,Neutral Only,1,0.012549525434114778
53,RLI6-10,0.25mA,Aversive Only,1,0.03843092430622791
54,RLI6-10,0.25mA,Overlap,1,0.040039178762931976
55,RLI6-10,0.25mA,Remaining,1,-0.0011387383289566777
56,RLI6-11,1.5mA,Neutral Only,1,0.0008385617568560149
57,RLI6-11,1.5mA,Aversive Only,1,-0.012566113731666939
58,RLI6-11,1.5mA,Overlap,1,0.04664294129086125
59,RLI6-11,1.5mA,Remaining,1,-0.01066050451193456
60,RLI5-1,0.25mA,Neutral Only,2,0.0296785832634222
61,RLI5-1,0.25mA,Aversive Only,2,0.020522655636346504
62,RLI5-1,0.25mA,Overlap,2,0.015426858013534732
63,RLI5-1,0.25mA,Remaining,2,-0.004565978479071752
64,RLI5-2,1.5mA,Neutral Only,2,0.012900609516172216
65,RLI5-2,1.5mA,Aversive Only,2,-0.005542095471396385
66,RLI5-2,1.5mA,Overlap,2,0.012498307086739376
67,RLI5-2,1.5mA,Remaining,2,-0.00710801837880626
68,RLI5-3,0.25mA,Neutral Only,2,0.01715983473101668
69,RLI5-3,0.25mA,Aversive Only,2,0.0003607863704603714
70,RLI5-3,0.25mA,Overlap,2,0.02927241392777357
71,RLI5-3,0.25mA,Remaining,2,-0.0030110661300229487
72,RLI5-4,1.5mA,Neutral Only,2,0.017891031302469614
73,RLI5-4,1.5mA,Aversive Only,2,0.01224264264993791
74,RLI5-4,1.5mA,Overlap,2,0.021807652129514122
75,RLI5-4,1.5mA,Remaining,2,-0.006709860010027473
76,RLI5-5,0.25mA,Neutral Only,2,0.021099115483580698
77,RLI5-5,0.25mA,Aversive Only,2,0.06276418533921725
78,RLI5-5,0.25mA,Overlap,2,0.04695167124754642
79,RLI5-5,0.25mA,Remaining,2,-0.00030272186118970553
80,RLI5-6,1.5mA,Neutral Only,2,0.022462919318189962
81,RLI5-6,1.5mA,Aversive Only,2,-0.0002096602998527787
82,RLI5-6,1.5mA,Overlap,2,0.009074940525928263
83,RLI5-6,1.5mA,Remaining,2,-0.0034595443822721533
84,RLI5-7,0.25mA,Neutral Only,2,0.007366576067677634
85,RLI5-7,0.25mA,Aversive Only,2,0.027635230963363625
86,RLI5-7,0.25mA,Overlap,2,0.07063065369273418
87,RLI5-7,0.25mA,Remaining,2,-0.01603673981182048
88,RLI5-8,1.5mA,Neutral Only,2,0.026226750231622062
89,RLI5-8,1.5mA,Aversive Only,2,0.03804760343740834
90,RLI5-8,1.5mA,Overlap,2,0.05234750312471945
91,RLI5-8,1.5mA,Remaining,2,-0.006055602033679481
92,RLI5-9,0.25mA,Neutral Only,2,0.009341771831734059
93,RLI5-9,0.25mA,Aversive Only,2,0.021361486551528617
94,RLI5-9,0.25mA,Overlap,2,0.05005540952196147
95,RLI5-9,0.25mA,Remaining,2,-0.0037529603876719376
96,RLI6-1,0.25mA,Neutral Only,2,0.0008034658422569136
97,RLI6-1,0.25mA,Aversive Only,2,0.11332736968384266
98,RLI6-1,0.25mA,Overlap,2,0.05114408533124907
99,RLI6-1,0.25mA,Remaining,2,-8.075154006310158e-05
100,RLI6-2,1.5mA,Neutral Only,2,0.02692987749564534
101,RLI6-2,1.5mA,Aversive Only,2,0.00868235729015209
102,RLI6-2,1.5mA,Overlap,2,0.004258003103434313
103,RLI6-2,1.5mA,Remaining,2,-0.00927420588212952
104,RLI6-4,1.5mA,Neutral Only,2,0.02920705713936803
105,RLI6-4,1.5mA,Aversive Only,2,0.042886474544190055
106,RLI6-4,1.5mA,Overlap,2,0.03845343541462272
107,RLI6-4,1.5mA,Remaining,2,-0.0019108387570000466
108,RLI6-6,1.5mA,Neutral Only,2,0.024826252630208944
109,RLI6-6,1.5mA,Aversive Only,2,0.02946327274466405
110,RLI6-6,1.5mA,Overlap,2,0.023524106992966785
111,RLI6-6,1.5mA,Remaining,2,-0.0034864407906473162
112,RLI6-10,0.25mA,Neutral Only,2,0.005532140135882865
113,RLI6-10,0.25mA,Aversive Only,2,0.02248586702359074
114,RLI6-10,0.25mA,Overlap,2,0.02646475648191464
115,RLI6-10,0.25mA,Remaining,2,-0.006634281781928355
116,RLI6-11,1.5mA,Neutral Only,2,-0.007396700966454432
117,RLI6-11,1.5mA,Aversive Only,2,-0.01310493960391694
118,RLI6-11,1.5mA,Overlap,2,0.045490713527158604
119,RLI6-11,1.5mA,Remaining,2,-0.009134897350561463
120,RLI5-1,0.25mA,Neutral Only,3,0.010461861150664442
121,RLI5-1,0.25mA,Aversive Only,3,0.016333668616235038
122,RLI5-1,0.25mA,Overlap,3,0.007943496616279399
123,RLI5-1,0.25mA,Remaining,3,-0.009475585459258013
124,RLI5-2,1.5mA,Neutral Only,3,0.02603619198628154
125,RLI5-2,1.5mA,Aversive Only,3,-0.004945460708527881
126,RLI5-2,1.5mA,Overlap,3,0.022794414406965505
127,RLI5-2,1.5mA,Remaining,3,-0.00034947205215152705
128,RLI5-3,0.25mA,Neutral Only,3,0.007830113275803496
129,RLI5-3,0.25mA,Aversive Only,3,-0.011022706710584832
130,RLI5-3,0.25mA,Overlap,3,0.01095259500902001
131,RLI5-3,0.25mA,Remaining,3,-0.010429040973753924
132,RLI5-4,1.5mA,Neutral Only,3,0.0234179003646007
133,RLI5-4,1.5mA,Aversive Only,3,0.008306846766841378
134,RLI5-4,1.5mA,Overlap,3,0.028530896296440865
135,RLI5-4,1.5mA,Remaining,3,-0.004143864924329975
136,RLI5-5,0.25mA,Neutral Only,3,0.0034554038668274025
137,RLI5-5,0.25mA,Aversive Only,3,0.02897832134207893
138,RLI5-5,0.25mA,Overlap,3,0.03887257089958192
139,RLI5-5,0.25mA,Remaining,3,-0.009277056912434939
140,RLI5-6,1.5mA,Neutral Only,3,0.01948074845959106
141,RLI5-6,1.5mA,Aversive Only,3,0.003436817627112852
142,RLI5-6,1.5mA,Overlap,3,0.008978311540185139
143,RLI5-6,1.5mA,Remaining,3,-0.0012846550200114727
144,RLI5-7,0.25mA,Neutral Only,3,-0.0004113663177050444
145,RLI5-7,0.25mA,Aversive Only,3,0.021635122699457974
146,RLI5-7,0.25mA,Overlap,3,0.0512592632147628
147,RLI5-7,0.25mA,Remaining,3,-0.018725785503228412
148,RLI5-8,1.5mA,Neutral Only,3,0.013263555772056958
149,RLI5-8,1.5mA,Aversive Only,3,0.021202356563118294
150,RLI5-8,1.5mA,Overlap,3,0.049610114727680836
151,RLI5-8,1.5mA,Remaining,3,-0.012066266597176025
152,RLI5-9,0.25mA,Neutral Only,3,0.022421344070843036
153,RLI5-9,0.25mA,Aversive Only,3,0.034148571785857916
154,RLI5-9,0.25mA,Overlap,3,0.04160662495817504
155,RLI5-9,0.25mA,Remaining,3,-0.0029760716195170174
156,RLI6-1,0.25mA,Neutral Only,3,0.00019255427683541763
157,RLI6-1,0.25mA,Aversive Only,3,0.10291331703738829
158,RLI6-1,0.25mA,Overlap,3,0.06500636460617272
159,RLI6-1,0.25mA,Remaining,3,-0.002247841602529342
160,RLI6-2,1.5mA,Neutral Only,3,0.02955895664294456
161,RLI6-2,1.5mA,Aversive Only,3,0.007552068562418652
162,RLI6-2,1.5mA,Overlap,3,0.004203982866564636
163,RLI6-2,1.5mA,Remaining,3,-0.007794815791013581
164,RLI6-4,1.5mA,Neutral Only,3,0.0023735362250088855
165,RLI6-4,1.5mA,Aversive Only,3,0.031046271428817232
166,RLI6-4,1.5mA,Overlap,3,0.027087455769830047
167,RLI6-4,1.5mA,Remaining,3,-0.010511485207636574
168,RLI6-6,1.5mA,Neutral Only,3,0.0066545259115291435
169,RLI6-6,1.5mA,Aversive Only,3,0.016940440578012996
170,RLI6-6,1.5mA,Overlap,3,0.009768905395456573
171,RLI6-6,1.5mA,Remaining,3,-0.01106641042367535
172,RLI6-10,0.25mA,Neutral Only,3,0.004861227697220613
173,RLI6-10,0.25mA,Aversive Only,3,0.023197947414664376
174,RLI6-10,0.25mA,Overlap,3,0.022707824991589087
175,RLI6-10,0.25mA,Remaining,3,-0.009197792175480697
176,RLI6-11,1.5mA,Neutral Only,3,-0.003850290233921425
177,RLI6-11,1.5mA,Aversive Only,3,-0.011540133542854554
178,RLI6-11,1.5mA,Overlap,3,0.053093860831034824
179,RLI6-11,1.5mA,Remaining,3,-0.012379239222769584
180,RLI5-1,0.25mA,Neutral Only,4,0.012142962680980736
181,RLI5-1,0.25mA,Aversive Only,4,0.00028965363906639807
182,RLI5-1,0.25mA,Overlap,4,0.015635013168922584
183,RLI5-1,0.25mA,Remaining,4,-0.012832796047259266
184,RLI5-2,1.5mA,Neutral Only,4,0.008279249406938268
185,RLI5-2,1.5mA,Aversive Only,4,-0.012552220511231666
186,RLI5-2,1.5mA,Overlap,4,0.006399422574137409
187,RLI5-2,1.5mA,Remaining,4,-0.00743420031169679
188,RLI5-3,0.25mA,Neutral Only,4,0.004837885191394155
189,RLI5-3,0.25mA,Aversive Only,4,-0.008804463448847348
190,RLI5-3,0.25mA,Overlap,4,0.013707917855629076
191,RLI5-3,0.25mA,Remaining,4,-0.014120346786511454
192,RLI5-4,1.5mA,Neutral Only,4,0.014673546028028322
193,RLI5-4,1.5mA,Aversive Only,4,0.0045957704079209166
194,RLI5-4,1.5mA,Overlap,4,0.017586172081166168
195,RLI5-4,1.5mA,Remaining,4,-0.008105413341389534
196,RLI5-5,0.25mA,Neutral Only,4,0.0033495998866277426
197,RLI5-5,0.25mA,Aversive Only,4,0.04034575500530871
198,RLI5-5,0.25mA,Overlap,4,0.04047499867176197
199,RLI5-5,0.25mA,Remaining,4,-0.008412070314819955
200,RLI5-6,1.5mA,Neutral Only,4,0.021454860998512754
201,RLI5-6,1.5mA,Aversive Only,4,0.006156205719630719
202,RLI5-6,1.5mA,Overlap,4,0.020917337015967354
203,RLI5-6,1.5mA,Remaining,4,0.004775542423416966
204,RLI5-7,0.25mA,Neutral Only,4,-0.004017685003384899
205,RLI5-7,0.25mA,Aversive Only,4,0.0019209059560715543
206,RLI5-7,0.25mA,Overlap,4,0.05096799083324857
207,RLI5-7,0.25mA,Remaining,4,-0.021051568713561
208,RLI5-8,1.5mA,Neutral Only,4,0.00878653570606259
209,RLI5-8,1.5mA,Aversive Only,4,0.01846814191856129
210,RLI5-8,1.5mA,Overlap,4,0.045209806156914015
211,RLI5-8,1.5mA,Remaining,4,-0.013873349257950196
212,RLI5-9,0.25mA,Neutral Only,4,-0.0030039046031467213
213,RLI5-9,0.25mA,Aversive Only,4,0.03445197606648177
214,RLI5-9,0.25mA,Overlap,4,0.019415046429633088
215,RLI5-9,0.25mA,Remaining,4,-0.004452401738071273
216,RLI6-1,0.25mA,Neutral Only,4,-0.01061154247732762
217,RLI6-1,0.25mA,Aversive Only,4,0.09221116356135102
218,RLI6-1,0.25mA,Overlap,4,0.06110816394577305
219,RLI6-1,0.25mA,Remaining,4,-0.00817875831213238
220,RLI6-2,1.5mA,Neutral Only,4,0.0156471639699787
221,RLI6-2,1.5mA,Aversive Only,4,0.002673448411128631
222,RLI6-2,1.5mA,Overlap,4,-0.0006603720139170348
223,RLI6-2,1.5mA,Remaining,4,-0.011009942818626474
224,RLI6-4,1.5mA,Neutral Only,4,0.00796666463388977
225,RLI6-4,1.5mA,Aversive Only,4,0.013314396999635481
226,RLI6-4,1.5mA,Overlap,4,0.010748608003951787
227,RLI6-4,1.5mA,Remaining,4,-0.018139476752054084
228,RLI6-6,1.5mA,Neutral Only,4,0.018072887601825946
229,RLI6-6,1.5mA,Aversive Only,4,0.02305727236915234
230,RLI6-6,1.5mA,Overlap,4,0.01336557373907392
231,RLI6-6,1.5mA,Remaining,4,-0.008399546782684491
232,RLI6-10,0.25mA,Neutral Only,4,-0.003809338310588394
233,RLI6-10,0.25mA,Aversive Only,4,0.018713095921191365
234,RLI6-10,0.25mA,Overlap,4,0.017223910934644496
235,RLI6-10,0.25mA,Remaining,4,-0.009091505858247582
236,RLI6-11,1.5mA,Neutral Only,4,0.007484256533463094
237,RLI6-11,1.5mA,Aversive Only,4,-0.009445583143669879
238,RLI6-11,1.5mA,Overlap,4,0.04802040691445714
239,RLI6-11,1.5mA,Remaining,4,-0.008264613379039781
240,RLI5-1,0.25mA,Neutral Only,5,0.020127341469399075
241,RLI5-1,0.25mA,Aversive Only,5,0.012142576076779295
242,RLI5-1,0.25mA,Overlap,5,0.032363676914122126
243,RLI5-1,0.25mA,Remaining,5,-0.008411596008414889
244,RLI5-2,1.5mA,Neutral Only,5,0.0020115390451402046
245,RLI5-2,1.5mA,Aversive Only,5,-0.011645550794622709
246,RLI5-2,1.5mA,Overlap,5,-7.2567135728899e-05
247,RLI5-2,1.5mA,Remaining,5,-0.006961732336445307
248,RLI5-3,0.25mA,Neutral Only,5,0.0010672992955019303
249,RLI5-3,0.25mA,Aversive Only,5,-0.004067684460781362
250,RLI5-3,0.25mA,Overlap,5,0.010964106988922456
251,RLI5-3,0.25mA,Remaining,5,-0.008002795278625153
252,RLI5-4,1.5mA,Neutral Only,5,0.012353956917958457
253,RLI5-4,1.5mA,Aversive Only,5,0.0032015933117654793
254,RLI5-4,1.5mA,Overlap,5,0.014208476722422392
255,RLI5-4,1.5mA,Remaining,5,-0.0122919841150485
256,RLI5-5,0.25mA,Neutral Only,5,-0.006444070141363991
257,RLI5-5,0.25mA,Aversive Only,5,0.028649753301482204
258,RLI5-5,0.25mA,Overlap,5,0.017309648424056096
259,RLI5-5,0.25mA,Remaining,5,-0.015648797745263118
260,RLI5-6,1.5mA,Neutral Only,5,0.007035969242597563
261,RLI5-6,1.5mA,Aversive Only,5,0.002484063403010833
262,RLI5-6,1.5mA,Overlap,5,-0.004412554177502056
263,RLI5-6,1.5mA,Remaining,5,-0.004383991094480535
264,RLI5-7,0.25mA,Neutral Only,5,-0.009413545299478918
265,RLI5-7,0.25mA,Aversive Only,5,0.004428276888622633
266,RLI5-7,0.25mA,Overlap,5,0.02595088050937631
267,RLI5-7,0.25mA,Remaining,5,-0.021236322785184277
268,RLI5-8,1.5mA,Neutral Only,5,0.006175928421361675
269,RLI5-8,1.5mA,Aversive Only,5,0.01324273333371197
270,RLI5-8,1.5mA,Overlap,5,0.03835589751709791
271,RLI5-8,1.5mA,Remaining,5,-0.01749373681628343
272,RLI5-9,0.25mA,Neutral Only,5,-0.003066362901285651
273,RLI5-9,0.25mA,Aversive Only,5,0.037924956193668515
274,RLI5-9,0.25mA,Overlap,5,0.03886543057796094
275,RLI5-9,0.25mA,Remaining,5,-0.003464105091757184
276,RLI6-1,0.25mA,Neutral Only,5,0.013776645885474515
277,RLI6-1,0.25mA,Aversive Only,5,0.09873500687562616
278,RLI6-1,0.25mA,Overlap,5,0.0630665499594646
279,RLI6-1,0.25mA,Remaining,5,0.0019624408229747766
280,RLI6-2,1.5mA,Neutral Only,5,0.01790939861329193
281,RLI6-2,1.5mA,Aversive Only,5,0.008550906489154226
282,RLI6-2,1.5mA,Overlap,5,0.0026478826162343967
283,RLI6-2,1.5mA,Remaining,5,-0.008622054279498357
284,RLI6-4,1.5mA,Neutral Only,5,-0.006946039361030923
285,RLI6-4,1.5mA,Aversive Only,5,0.014322790012337301
286,RLI6-4,1.5mA,Overlap,5,0.00769969154561068
287,RLI6-4,1.5mA,Remaining,5,-0.018800514381818574
288,RLI6-6,1.5mA,Neutral Only,5,0.01027866376979249
289,RLI6-6,1.5mA,Aversive Only,5,0.015188437779344663
290,RLI6-6,1.5mA,Overlap,5,0.007930673095719204
291,RLI6-6,1.5mA,Remaining,5,-0.013188437730776346
292,RLI6-10,0.25mA,Neutral Only,5,0.0002773903494035768
293,RLI6-10,0.25mA,Aversive Only,5,0.019992865722121805
294,RLI6-10,0.25mA,Overlap,5,0.0170780125861789
295,RLI6-10,0.25mA,Remaining,5,-0.010228356391519169
296,RLI6-11,1.5mA,Neutral Only,5,-0.01421697425183391
297,RLI6-11,1.5mA,Aversive Only,5,-0.0051732166789158875
298,RLI6-11,1.5mA,Overlap,5,0.030196550862298974
299,RLI6-11,1.5mA,Remaining,5,-0.013282535521361468
300,RLI5-1,0.25mA,Neutral Only,6,0.019310757453154765
301,RLI5-1,0.25mA,Aversive Only,6,0.007191923297963805
302,RLI5-1,0.25mA,Overlap,6,0.018457245140126394
303,RLI5-1,0.25mA,Remaining,6,-0.010844557304048942
304,RLI5-2,1.5mA,Neutral Only,6,0.026178081143957272
305,RLI5-2,1.5mA,Aversive Only,6,-0.011267098601386265
306,RLI5-2,1.5mA,Overlap,6,0.005843965875338027
307,RLI5-2,1.5mA,Remaining,6,-0.006520686844265361
308,RLI5-3,0.25mA,Neutral Only,6,0.006098109004991456
309,RLI5-3,0.25mA,Aversive Only,6,-0.011508201231190718
310,RLI5-3,0.25mA,Overlap,6,0.007208683868560455
311,RLI5-3,0.25mA,Remaining,6,-0.008532996752858625
312,RLI5-4,1.5mA,Neutral Only,6,0.014417947708350467
313,RLI5-4,1.5mA,Aversive Only,6,0.005598850136683321
314,RLI5-4,1.5mA,Overlap,6,0.02279045091906575
