,Mouse,Amplitude,Ensemble,TimeBin,Activity
0,RLI5-1,0.25mA,Aversive,1,0.020504618255612127
1,RLI5-1,0.25mA,Remaining,1,0.0003434401804127327
2,RLI5-2,1.5mA,Aversive,1,0.013695798054447558
3,RLI5-2,1.5mA,Remaining,1,-2.0784344802457e-06
4,RLI5-3,0.25mA,Aversive,1,0.020391392348993974
5,RLI5-3,0.25mA,Remaining,1,-0.0030894096500863884
6,RLI5-4,1.5mA,Aversive,1,0.01758050307874785
7,RLI5-4,1.5mA,Remaining,1,-0.004888250899481457
8,RLI5-5,0.25mA,Aversive,1,0.054242199555093754
9,RLI5-5,0.25mA,Remaining,1,0.0037478431514925835
10,RLI5-6,1.5mA,Aversive,1,0.009269098349941664
11,RLI5-6,1.5mA,Remaining,1,0.0048256415154574305
12,RLI5-7,0.25mA,Aversive,1,0.06269025460376126
13,RLI5-7,0.25mA,Remaining,1,-0.007558647645272292
14,RLI5-8,1.5mA,Aversive,1,0.04410789683520913
15,RLI5-8,1.5mA,Remaining,1,-0.004366446053699373
16,RLI5-9,0.25mA,Aversive,1,0.060352099794641074
17,RLI5-9,0.25mA,Remaining,1,-0.004400518469491675
18,RLI6-1,0.25mA,Aversive,1,0.06476429314714618
19,RLI6-1,0.25mA,Remaining,1,-0.0035596258157665466
20,RLI6-2,1.5mA,Aversive,1,0.019750334664910815
21,RLI6-2,1.5mA,Remaining,1,0.004586557833188092
22,RLI6-4,1.5mA,Aversive,1,0.04089549688138491
23,RLI6-4,1.5mA,Remaining,1,0.003034855393896969
24,RLI6-6,1.5mA,Aversive,1,0.033924902579264955
25,RLI6-6,1.5mA,Remaining,1,0.008744732007388468
26,RLI6-10,0.25mA,Aversive,1,0.03960056391110358
27,RLI6-10,0.25mA,Remaining,1,5.50056038693239e-05
28,RLI6-11,1.5mA,Aversive,1,0.031691159719515784
29,RLI6-11,1.5mA,Remaining,1,-0.00960030691268437
30,RLI5-1,0.25mA,Aversive,2,0.016851489607008968
31,RLI5-1,0.25mA,Remaining,2,-0.0009702994961098979
32,RLI5-2,1.5mA,Aversive,2,0.0070944998688646085
33,RLI5-2,1.5mA,Remaining,2,-0.004160154232216431
34,RLI5-3,0.25mA,Aversive,2,0.019752731683292425
35,RLI5-3,0.25mA,Remaining,2,0.0001867596162394265
36,RLI5-4,1.5mA,Aversive,2,0.019062537301294914
37,RLI5-4,1.5mA,Remaining,2,-0.00365990683912633
38,RLI5-5,0.25mA,Aversive,2,0.051093043985841136
39,RLI5-5,0.25mA,Remaining,2,0.0018970387224269637
40,RLI5-6,1.5mA,Aversive,2,0.006090604546212927
41,RLI5-6,1.5mA,Remaining,2,-0.0028355901137708766
42,RLI5-7,0.25mA,Aversive,2,0.05527514557510179
43,RLI5-7,0.25mA,Remaining,2,-0.014637628536415698
44,RLI5-8,1.5mA,Aversive,2,0.047269579562286494
45,RLI5-8,1.5mA,Remaining,2,-0.002505652643680706
46,RLI5-9,0.25mA,Aversive,2,0.04272930152951052
47,RLI5-9,0.25mA,Remaining,2,-0.003019655383385188
48,RLI6-1,0.25mA,Aversive,2,0.08772248789159826
49,RLI6-1,0.25mA,Remaining,2,-3.3435559738284884e-05
50,RLI6-2,1.5mA,Aversive,2,0.005300278849343788
51,RLI6-2,1.5mA,Remaining,2,-0.003704346900933395
52,RLI6-4,1.5mA,Aversive,2,0.03968276559341028
53,RLI6-4,1.5mA,Remaining,2,0.0009180608699424894
54,RLI6-6,1.5mA,Aversive,2,0.025071772335428608
55,RLI6-6,1.5mA,Remaining,2,0.00067493795380676
56,RLI6-10,0.25mA,Aversive,2,0.025379604811462658
57,RLI6-10,0.25mA,Remaining,2,-0.005573256614677384
58,RLI6-11,1.5mA,Aversive,2,0.030693831423351647
59,RLI6-11,1.5mA,Remaining,2,-0.008974638109473583
60,RLI5-1,0.25mA,Aversive,3,0.010289136100137935
61,RLI5-1,0.25mA,Remaining,3,-0.007382153565216152
62,RLI5-2,1.5mA,Aversive,3,0.01448523522490528
63,RLI5-2,1.5mA,Remaining,3,0.003537918598078024
64,RLI5-3,0.25mA,Aversive,3,0.0037168249306135013
65,RLI5-3,0.25mA,Remaining,3,-0.007534297007360691
66,RLI5-4,1.5mA,Aversive,3,0.022726684772250916
67,RLI5-4,1.5mA,Remaining,3,-0.0007268304611963325
68,RLI5-5,0.25mA,Aversive,3,0.03628121982499782
69,RLI5-5,0.25mA,Remaining,3,-0.007968367153538606
70,RLI5-6,1.5mA,Aversive,3,0.00719711706812619
71,RLI5-6,1.5mA,Remaining,3,-0.0007848313038722424
72,RLI5-7,0.25mA,Aversive,3,0.04067921303072531
73,RLI5-7,0.25mA,Remaining,3,-0.01763090174757213
74,RLI5-8,1.5mA,Aversive,3,0.03952246182842807
75,RLI5-8,1.5mA,Remaining,3,-0.009280856577191637
76,RLI5-9,0.25mA,Aversive,3,0.03970244116949832
77,RLI5-9,0.25mA,Remaining,3,-0.0015538163408568401
78,RLI6-1,0.25mA,Aversive,3,0.08730457191865244
79,RLI6-1,0.25mA,Remaining,3,-0.0021172518564763734
