,Mouse,Amplitude,Ensemble,CellProportion
0,RLI5-1,0.25mA,Aversive,23.66412213740458
1,RLI5-1,0.25mA,Remaining,76.33587786259542
2,RLI5-2,1.5mA,Aversive,28.55263157894737
3,RLI5-2,1.5mA,Remaining,71.44736842105263
4,RLI5-3,0.25mA,Aversive,37.5
5,RLI5-3,0.25mA,Remaining,62.5
6,RLI5-4,1.5mA,Aversive,21.916461916461916
7,RLI5-4,1.5mA,Remaining,78.08353808353809
8,RLI5-5,0.25mA,Aversive,21.247892074198987
9,RLI5-5,0.25mA,Remaining,78.75210792580101
10,RLI5-6,1.5mA,Aversive,5.77319587628866
11,RLI5-6,1.5mA,Remaining,94.22680412371133
12,RLI5-7,0.25mA,Aversive,31.343283582089555
13,RLI5-7,0.25mA,Remaining,68.65671641791045
14,RLI5-8,1.5mA,Aversive,21.914132379248656
15,RLI5-8,1.5mA,Remaining,78.08586762075134
16,RLI5-9,0.25mA,Aversive,11.137440758293838
17,RLI5-9,0.25mA,Remaining,88.86255924170617
18,RLI6-1,0.25mA,Aversive,5.379746835443038
19,RLI6-1,0.25mA,Remaining,94.62025316455697
20,RLI6-2,1.5mA,Aversive,36.36363636363637
21,RLI6-2,1.5mA,Remaining,63.63636363636363
22,RLI6-4,1.5mA,Aversive,22.623574144486692
23,RLI6-4,1.5mA,Remaining,77.3764258555133
24,RLI6-6,1.5mA,Aversive,21.680790960451976
25,RLI6-6,1.5mA,Remaining,78.31920903954803
26,RLI6-10,0.25mA,Aversive,22.34762979683973
27,RLI6-10,0.25mA,Remaining,77.65237020316027
28,RLI6-11,1.5mA,Aversive,25.984251968503933
29,RLI6-11,1.5mA,Remaining,74.01574803149606
