,Mouse,Amplitude,Bin,EventFrequency
0,RLI5-1,0.25mA,5.0,5.8999999999999995
1,RLI5-1,0.25mA,10.0,5.022222222222222
2,RLI5-1,0.25mA,15.0,5.033333333333333
3,RLI5-1,0.25mA,20.0,2.833333333333333
4,RLI5-1,0.25mA,25.0,4.066666666666666
5,RLI5-1,0.25mA,30.0,3.166666666666667
6,RLI5-1,0.25mA,35.0,2.522222222222222
7,RLI5-1,0.25mA,40.0,3.8666666666666667
8,RLI5-1,0.25mA,45.0,7.3
9,RLI5-1,0.25mA,50.0,5.622222222222222
10,RLI5-1,0.25mA,55.0,3.166666666666667
11,RLI5-1,0.25mA,60.0,3.0555555555555554
0,RLI5-2,1.5mA,5.0,5.611111111111111
1,RLI5-2,1.5mA,10.0,6.800000000000001
2,RLI5-2,1.5mA,15.0,4.055555555555555
3,RLI5-2,1.5mA,20.0,4.266666666666667
4,RLI5-2,1.5mA,25.0,4.2555555555555555
5,RLI5-2,1.5mA,30.0,5.322222222222222
6,RLI5-2,1.5mA,35.0,3.6888888888888887
7,RLI5-2,1.5mA,40.0,3.4111111111111114
8,RLI5-2,1.5mA,45.0,4.366666666666666
9,RLI5-2,1.5mA,50.0,4.322222222222223
10,RLI5-2,1.5mA,55.0,4.2
11,RLI5-2,1.5mA,60.0,3.711111111111111
0,RLI5-3,0.25mA,5.0,5.9222222222222225
1,RLI5-3,0.25mA,10.0,4.833333333333333
2,RLI5-3,0.25mA,15.0,4.588888888888889
3,RLI5-3,0.25mA,20.0,4.711111111111111
4,RLI5-3,0.25mA,25.0,4.211111111111111
5,RLI5-3,0.25mA,30.0,5.466666666666667
6,RLI5-3,0.25mA,35.0,2.1777777777777776
7,RLI5-3,0.25mA,40.0,4.211111111111111
8,RLI5-3,0.25mA,45.0,4.144444444444444
9,RLI5-3,0.25mA,50.0,4.611111111111111
10,RLI5-3,0.25mA,55.0,3.8777777777777778
11,RLI5-3,0.25mA,60.0,3.7444444444444445
0,RLI5-4,1.5mA,5.0,3.6888888888888887
1,RLI5-4,1.5mA,10.0,4.355555555555555
2,RLI5-4,1.5mA,15.0,4.8
3,RLI5-4,1.5mA,20.0,4.522222222222222
4,RLI5-4,1.5mA,25.0,4.6
5,RLI5-4,1.5mA,30.0,5.977777777777778
6,RLI5-4,1.5mA,35.0,3.7888888888888888
