,Mouse,Amplitude,Bin,EventFrequency
0,RLI5-1,0.25mA,5.0,6.377777777777778
1,RLI5-1,0.25mA,10.0,3.822222222222222
2,RLI5-1,0.25mA,15.0,5.0777777777777775
3,RLI5-1,0.25mA,20.0,4.0
4,RLI5-1,0.25mA,25.0,3.022222222222222
5,RLI5-1,0.25mA,30.0,4.6
6,RLI5-1,0.25mA,35.0,2.988888888888889
7,RLI5-1,0.25mA,40.0,4.688888888888889
8,RLI5-1,0.25mA,45.0,3.933333333333333
9,RLI5-1,0.25mA,50.0,7.622222222222222
10,RLI5-1,0.25mA,55.0,3.911111111111111
11,RLI5-1,0.25mA,60.0,4.822222222222222
0,RLI5-2,1.5mA,5.0,4.177777777777777
1,RLI5-2,1.5mA,10.0,5.666666666666666
2,RLI5-2,1.5mA,15.0,3.2
3,RLI5-2,1.5mA,20.0,3.911111111111111
4,RLI5-2,1.5mA,25.0,4.866666666666666
5,RLI5-2,1.5mA,30.0,6.6000000000000005
6,RLI5-2,1.5mA,35.0,4.633333333333333
7,RLI5-2,1.5mA,40.0,3.7777777777777777
8,RLI5-2,1.5mA,45.0,5.5888888888888895
9,RLI5-2,1.5mA,50.0,2.822222222222222
10,RLI5-2,1.5mA,55.0,3.077777777777778
11,RLI5-2,1.5mA,60.0,3.7444444444444445
0,RLI5-3,0.25mA,5.0,5.377777777777778
1,RLI5-3,0.25mA,10.0,5.266666666666667
2,RLI5-3,0.25mA,15.0,6.866666666666667
3,RLI5-3,0.25mA,20.0,5.2555555555555555
4,RLI5-3,0.25mA,25.0,3.8555555555555556
5,RLI5-3,0.25mA,30.0,3.5888888888888886
6,RLI5-3,0.25mA,35.0,3.5555555555555554
7,RLI5-3,0.25mA,40.0,3.1222222222222222
8,RLI5-3,0.25mA,45.0,3.833333333333333
9,RLI5-3,0.25mA,50.0,3.6777777777777776
10,RLI5-3,0.25mA,55.0,4.555555555555555
11,RLI5-3,0.25mA,60.0,4.7555555555555555
0,RLI5-4,1.5mA,5.0,3.6111111111111107
1,RLI5-4,1.5mA,10.0,4.0
2,RLI5-4,1.5mA,15.0,3.4222222222222225
3,RLI5-4,1.5mA,20.0,3.4444444444444446
4,RLI5-4,1.5mA,25.0,3.811111111111111
5,RLI5-4,1.5mA,30.0,5.611111111111111
6,RLI5-4,1.5mA,35.0,3.988888888888889
7,RLI5-4,1.5mA,40.0,5.7444444444444445
8,RLI5-4,1.5mA,45.0,5.0777777777777775
9,RLI5-4,1.5mA,50.0,2.3333333333333335
10,RLI5-4,1.5mA,55.0,6.4222222222222225
11,RLI5-4,1.5mA,60.0,3.6666666666666665
0,RLI5-5,0.25mA,5.0,6.022222222222222
1,RLI5-5,0.25mA,10.0,7.055555555555555
2,RLI5-5,0.25mA,15.0,6.844444444444445
3,RLI5-5,0.25mA,20.0,4.655555555555556
4,RLI5-5,0.25mA,25.0,5.088888888888889
5,RLI5-5,0.25mA,30.0,3.266666666666666
6,RLI5-5,0.25mA,35.0,5.144444444444445
7,RLI5-5,0.25mA,40.0,5.566666666666667
8,RLI5-5,0.25mA,45.0,6.866666666666667
9,RLI5-5,0.25mA,50.0,2.0888888888888886
10,RLI5-5,0.25mA,55.0,2.8000000000000003
11,RLI5-5,0.25mA,60.0,2.166666666666667
0,RLI5-6,1.5mA,5.0,4.944444444444445
1,RLI5-6,1.5mA,10.0,5.677777777777778
2,RLI5-6,1.5mA,15.0,3.6666666666666665
3,RLI5-6,1.5mA,20.0,1.633333333333333
4,RLI5-6,1.5mA,25.0,4.077777777777778
5,RLI5-6,1.5mA,30.0,3.2222222222222223
6,RLI5-6,1.5mA,35.0,4.288888888888889
7,RLI5-6,1.5mA,40.0,3.5555555555555554
8,RLI5-6,1.5mA,45.0,2.1777777777777776
9,RLI5-6,1.5mA,50.0,1.6222222222222222
10,RLI5-6,1.5mA,55.0,1.6777777777777776
11,RLI5-6,1.5mA,60.0,1.9555555555555555
0,RLI5-7,0.25mA,5.0,5.7555555555555555
1,RLI5-7,0.25mA,10.0,4.855555555555555
2,RLI5-7,0.25mA,15.0,4.433333333333334
3,RLI5-7,0.25mA,20.0,5.344444444444445
4,RLI5-7,0.25mA,25.0,3.077777777777778
5,RLI5-7,0.25mA,30.0,4.477777777777778
6,RLI5-7,0.25mA,35.0,4.655555555555556
7,RLI5-7,0.25mA,40.0,2.5444444444444443
8,RLI5-7,0.25mA,45.0,3.2111111111111112
9,RLI5-7,0.25mA,50.0,3.6222222222222227
10,RLI5-7,0.25mA,55.0,2.677777777777778
11,RLI5-7,0.25mA,60.0,2.6
0,RLI5-8,1.5mA,5.0,5.277777777777778
1,RLI5-8,1.5mA,10.0,7.522222222222222
2,RLI5-8,1.5mA,15.0,6.1
3,RLI5-8,1.5mA,20.0,5.811111111111112
4,RLI5-8,1.5mA,25.0,4.3
5,RLI5-8,1.5mA,30.0,4.566666666666666
6,RLI5-8,1.5mA,35.0,5.422222222222222
7,RLI5-8,1.5mA,40.0,4.166666666666666
8,RLI5-8,1.5mA,45.0,6.222222222222222
9,RLI5-8,1.5mA,50.0,2.7555555555555555
10,RLI5-8,1.5mA,55.0,4.0888888888888895
11,RLI5-8,1.5mA,60.0,3.2333333333333334
0,RLI5-9,0.25mA,5.0,3.088888888888889
1,RLI5-9,0.25mA,10.0,4.055555555555555
2,RLI5-9,0.25mA,15.0,3.144444444444444
3,RLI5-9,0.25mA,20.0,3.3888888888888893
4,RLI5-9,0.25mA,25.0,3.6111111111111107
5,RLI5-9,0.25mA,30.0,4.666666666666667
6,RLI5-9,0.25mA,35.0,2.922222222222222
7,RLI5-9,0.25mA,40.0,3.7777777777777777
8,RLI5-9,0.25mA,45.0,4.177777777777777
9,RLI5-9,0.25mA,50.0,3.7444444444444445
10,RLI5-9,0.25mA,55.0,1.1111111111111112
11,RLI5-9,0.25mA,60.0,2.911111111111111
0,RLI6-1,0.25mA,5.0,4.833333333333333
1,RLI6-1,0.25mA,10.0,5.477777777777778
2,RLI6-1,0.25mA,15.0,5.2444444444444445
3,RLI6-1,0.25mA,20.0,5.622222222222222
4,RLI6-1,0.25mA,25.0,6.477777777777778
5,RLI6-1,0.25mA,30.0,3.5333333333333337
6,RLI6-1,0.25mA,35.0,4.055555555555555
7,RLI6-1,0.25mA,40.0,4.588888888888889
8,RLI6-1,0.25mA,45.0,7.433333333333334
9,RLI6-1,0.25mA,50.0,6.566666666666666
10,RLI6-1,0.25mA,55.0,3.3222222222222224
11,RLI6-1,0.25mA,60.0,3.4444444444444446
0,RLI6-2,1.5mA,5.0,6.566666666666666
1,RLI6-2,1.5mA,10.0,7.344444444444445
2,RLI6-2,1.5mA,15.0,3.933333333333333
3,RLI6-2,1.5mA,20.0,3.4111111111111114
4,RLI6-2,1.5mA,25.0,3.4666666666666663
5,RLI6-2,1.5mA,30.0,4.622222222222222
6,RLI6-2,1.5mA,35.0,3.0555555555555554
7,RLI6-2,1.5mA,40.0,2.1888888888888887
8,RLI6-2,1.5mA,45.0,2.388888888888889
9,RLI6-2,1.5mA,50.0,3.3333333333333335
10,RLI6-2,1.5mA,55.0,1.7666666666666668
11,RLI6-2,1.5mA,60.0,2.8555555555555556
0,RLI6-4,1.5mA,5.0,5.222222222222222
1,RLI6-4,1.5mA,10.0,8.533333333333333
2,RLI6-4,1.5mA,15.0,8.011111111111111
3,RLI6-4,1.5mA,20.0,5.411111111111111
4,RLI6-4,1.5mA,25.0,3.2111111111111112
5,RLI6-4,1.5mA,30.0,3.2111111111111112
6,RLI6-4,1.5mA,35.0,3.0444444444444443
7,RLI6-4,1.5mA,40.0,2.5444444444444443
8,RLI6-4,1.5mA,45.0,3.0
9,RLI6-4,1.5mA,50.0,2.477777777777778
10,RLI6-4,1.5mA,55.0,5.0
11,RLI6-4,1.5mA,60.0,6.166666666666667
0,RLI6-6,1.5mA,5.0,6.477777777777778
1,RLI6-6,1.5mA,10.0,8.077777777777778
2,RLI6-6,1.5mA,15.0,5.933333333333334
3,RLI6-6,1.5mA,20.0,5.966666666666667
4,RLI6-6,1.5mA,25.0,5.033333333333333
5,RLI6-6,1.5mA,30.0,3.6555555555555554
6,RLI6-6,1.5mA,35.0,4.988888888888889
