,Mouse,Amplitude,Ensemble,Bin,EventFrequency
0,RLI5-1,0.25mA,Aversive Only,300,7.066666666666667
1,RLI5-1,0.25mA,Aversive Only,600,5.388888888888889
2,RLI5-1,0.25mA,Aversive Only,900,6.144444444444445
3,RLI5-1,0.25mA,Aversive Only,1200,4.388888888888888
4,RLI5-1,0.25mA,Aversive Only,1500,3.933333333333333
5,RLI5-1,0.25mA,Aversive Only,1800,5.455555555555556
6,RLI5-1,0.25mA,Aversive Only,2100,3.966666666666667
7,RLI5-1,0.25mA,Aversive Only,2400,2.7666666666666666
8,RLI5-1,0.25mA,Aversive Only,2700,5.222222222222222
9,RLI5-1,0.25mA,Aversive Only,3000,6.2555555555555555
10,RLI5-1,0.25mA,Aversive Only,3300,5.866666666666666
11,RLI5-1,0.25mA,Aversive Only,3600,4.177777777777777
0,RLI5-1,0.25mA,Overlap,300,6.5
1,RLI5-1,0.25mA,Overlap,600,4.7444444444444445
2,RLI5-1,0.25mA,Overlap,900,5.8999999999999995
3,RLI5-1,0.25mA,Overlap,1200,4.044444444444444
4,RLI5-1,0.25mA,Overlap,1500,2.811111111111111
5,RLI5-1,0.25mA,Overlap,1800,4.388888888888888
6,RLI5-1,0.25mA,Overlap,2100,4.455555555555556
7,RLI5-1,0.25mA,Overlap,2400,4.866666666666666
8,RLI5-1,0.25mA,Overlap,2700,5.266666666666667
9,RLI5-1,0.25mA,Overlap,3000,9.077777777777778
10,RLI5-1,0.25mA,Overlap,3300,5.1
11,RLI5-1,0.25mA,Overlap,3600,5.0
0,RLI5-1,0.25mA,Neutral Only,300,6.7
1,RLI5-1,0.25mA,Neutral Only,600,4.977777777777778
2,RLI5-1,0.25mA,Neutral Only,900,4.6
3,RLI5-1,0.25mA,Neutral Only,1200,5.21111111111111
4,RLI5-1,0.25mA,Neutral Only,1500,3.144444444444444
5,RLI5-1,0.25mA,Neutral Only,1800,5.444444444444444
6,RLI5-1,0.25mA,Neutral Only,2100,4.5777777777777775
7,RLI5-1,0.25mA,Neutral Only,2400,5.455555555555556
8,RLI5-1,0.25mA,Neutral Only,2700,5.266666666666667
9,RLI5-1,0.25mA,Neutral Only,3000,6.3
10,RLI5-1,0.25mA,Neutral Only,3300,6.0
11,RLI5-1,0.25mA,Neutral Only,3600,4.211111111111111
0,RLI5-1,0.25mA,Remaining,300,5.733333333333333
1,RLI5-1,0.25mA,Remaining,600,3.5333333333333337
2,RLI5-1,0.25mA,Remaining,900,4.611111111111111
3,RLI5-1,0.25mA,Remaining,1200,3.8555555555555556
4,RLI5-1,0.25mA,Remaining,1500,3.177777777777778
5,RLI5-1,0.25mA,Remaining,1800,4.488888888888889
6,RLI5-1,0.25mA,Remaining,2100,3.077777777777778
7,RLI5-1,0.25mA,Remaining,2400,4.388888888888888
8,RLI5-1,0.25mA,Remaining,2700,3.944444444444444
9,RLI5-1,0.25mA,Remaining,3000,6.522222222222222
10,RLI5-1,0.25mA,Remaining,3300,3.822222222222222
11,RLI5-1,0.25mA,Remaining,3600,4.655555555555556
0,RLI5-2,1.5mA,Aversive Only,300,3.988888888888889
1,RLI5-2,1.5mA,Aversive Only,600,4.722222222222222
2,RLI5-2,1.5mA,Aversive Only,900,3.7444444444444445
3,RLI5-2,1.5mA,Aversive Only,1200,3.4555555555555553
4,RLI5-2,1.5mA,Aversive Only,1500,3.7555555555555555
5,RLI5-2,1.5mA,Aversive Only,1800,4.011111111111111
6,RLI5-2,1.5mA,Aversive Only,2100,2.1999999999999997
7,RLI5-2,1.5mA,Aversive Only,2400,3.077777777777778
8,RLI5-2,1.5mA,Aversive Only,2700,3.5333333333333337
9,RLI5-2,1.5mA,Aversive Only,3000,2.4555555555555557
10,RLI5-2,1.5mA,Aversive Only,3300,1.633333333333333
11,RLI5-2,1.5mA,Aversive Only,3600,1.9777777777777776
0,RLI5-2,1.5mA,Overlap,300,6.4222222222222225
1,RLI5-2,1.5mA,Overlap,600,6.944444444444445
2,RLI5-2,1.5mA,Overlap,900,4.7
