,Mouse,Amplitude,EnsembleCombo,Corr,Lag
0,RLI5-1,0.25mA,Overlap x Aversive,0.20113025991655953,0.0022222222222222222
2,RLI5-1,0.25mA,Overlap x Neutral,0.195664110448407,-0.017777777777777778
3,RLI5-2,1.5mA,Overlap x Aversive,0.09069110980064858,-0.0077777777777777776
5,RLI5-2,1.5mA,Overlap x Neutral,0.14478852654297525,0.02
6,RLI5-3,0.25mA,Overlap x Aversive,0.12245574393598592,0.01
8,RLI5-3,0.25mA,Overlap x Neutral,0.15712504717750422,0.001111111111111112
9,RLI5-4,1.5mA,Overlap x Aversive,0.33544773281263607,0.0
11,RLI5-4,1.5mA,Overlap x Neutral,0.38604513736434903,0.0011111111111111111
12,RLI5-5,0.25mA,Overlap x Aversive,0.2371445496107135,0.006666666666666667
14,RLI5-5,0.25mA,Overlap x Neutral,0.2729776857700399,0.0011111111111111111
15,RLI5-6,1.5mA,Overlap x Aversive,0.03660773743457281,0.016666666666666666
17,RLI5-6,1.5mA,Overlap x Neutral,0.08422812177088378,0.004444444444444443
18,RLI5-7,0.25mA,Overlap x Aversive,0.18252884527672722,0.0033333333333333335
20,RLI5-7,0.25mA,Overlap x Neutral,0.1330728646297196,0.006666666666666667
21,RLI5-8,1.5mA,Overlap x Aversive,0.26132404958305394,0.0
23,RLI5-8,1.5mA,Overlap x Neutral,0.28459376259168934,-0.0022222222222222222
24,RLI5-9,0.25mA,Overlap x Aversive,0.10947407863343446,-0.025555555555555554
26,RLI5-9,0.25mA,Overlap x Neutral,0.06470007930415797,0.01
27,RLI6-1,0.25mA,Overlap x Aversive,0.04913020219676043,-0.025555555555555554
29,RLI6-1,0.25mA,Overlap x Neutral,0.06546664168378226,-0.012222222222222221
30,RLI6-10,0.25mA,Overlap x Aversive,0.28487328519553046,0.0044444444444444444
32,RLI6-10,0.25mA,Overlap x Neutral,0.18769197749953828,-0.0044444444444444444
33,RLI6-11,1.5mA,Overlap x Aversive,0.10061192934999726,0.03111111111111111
35,RLI6-11,1.5mA,Overlap x Neutral,0.15369698467380769,-0.015555555555555555
36,RLI6-2,1.5mA,Overlap x Aversive,0.19729279252464174,-0.012222222222222223
38,RLI6-2,1.5mA,Overlap x Neutral,0.18610361547869494,-0.0011111111111111111
39,RLI6-4,1.5mA,Overlap x Aversive,0.1996234560230924,-0.024444444444444442
41,RLI6-4,1.5mA,Overlap x Neutral,0.21041009370959304,-0.017777777777777778
42,RLI6-6,1.5mA,Overlap x Aversive,0.3472260256960405,0.0011111111111111111
44,RLI6-6,1.5mA,Overlap x Neutral,0.4100190254514816,-0.0022222222222222222
