,Mouse,Amplitude,EnsembleCombo,Fraction
0,RLI5-1,0.25mA,Overlap,20.2106115836371
1,RLI5-1,0.25mA,Neutral,14.43904414742811
2,RLI5-1,0.25mA,Aversive,12.23167274200081
3,RLI5-1,0.25mA,Overlap x Neutral,8.869987849331713
4,RLI5-1,0.25mA,Overlap x Aversive,8.059943296881327
5,RLI5-1,0.25mA,Neutral x Aversive,5.1437829080599435
6,RLI5-1,0.25mA,Overlap x Neutral x Aversive,3.6249493722154718
0,RLI5-2,1.5mA,Overlap,23.687580025608195
1,RLI5-2,1.5mA,Neutral,13.743064447289798
2,RLI5-2,1.5mA,Aversive,11.694408877507469
3,RLI5-2,1.5mA,Overlap x Neutral,9.539052496798977
4,RLI5-2,1.5mA,Overlap x Aversive,6.508749466495946
5,RLI5-2,1.5mA,Neutral x Aversive,3.6918480580452413
6,RLI5-2,1.5mA,Overlap x Neutral x Aversive,1.7285531370038414
0,RLI5-3,0.25mA,Overlap,24.782788580885395
1,RLI5-3,0.25mA,Neutral,12.743069921390154
2,RLI5-3,0.25mA,Aversive,14.997931319817956
3,RLI5-3,0.25mA,Overlap x Neutral,7.90235829540753
4,RLI5-3,0.25mA,Overlap x Aversive,7.074886222589988
5,RLI5-3,0.25mA,Neutral x Aversive,5.295821266032271
6,RLI5-3,0.25mA,Overlap x Neutral x Aversive,2.2755482002482417
0,RLI5-4,1.5mA,Overlap,15.754019991308127
1,RLI5-4,1.5mA,Neutral,10.864841373315949
2,RLI5-4,1.5mA,Aversive,7.062146892655368
3,RLI5-4,1.5mA,Overlap x Neutral,14.667535853976531
4,RLI5-4,1.5mA,Overlap x Aversive,9.669708822251195
5,RLI5-4,1.5mA,Neutral x Aversive,8.952629291612341
6,RLI5-4,1.5mA,Overlap x Neutral x Aversive,22.294654498044327
0,RLI5-5,0.25mA,Overlap,23.663385446824936
1,RLI5-5,0.25mA,Neutral,12.121212121212121
2,RLI5-5,0.25mA,Aversive,8.222350897510132
3,RLI5-5,0.25mA,Overlap x Neutral,13.317892298784017
4,RLI5-5,0.25mA,Overlap x Aversive,11.252653927813164
5,RLI5-5,0.25mA,Neutral x Aversive,6.311522872032427
6,RLI5-5,0.25mA,Overlap x Neutral x Aversive,6.427330631152286
0,RLI5-6,1.5mA,Overlap,10.129870129870131
1,RLI5-6,1.5mA,Neutral,12.005772005772005
2,RLI5-6,1.5mA,Aversive,7.33044733044733
3,RLI5-6,1.5mA,Overlap x Neutral,4.559884559884559
4,RLI5-6,1.5mA,Overlap x Aversive,1.1832611832611835
5,RLI5-6,1.5mA,Neutral x Aversive,1.673881673881674
6,RLI5-6,1.5mA,Overlap x Neutral x Aversive,0.6926406926406926
0,RLI5-7,0.25mA,Overlap,25.55842934399248
1,RLI5-7,0.25mA,Neutral,6.301434281683517
2,RLI5-7,0.25mA,Aversive,17.54055960498472
3,RLI5-7,0.25mA,Overlap x Neutral,5.525511403715025
4,RLI5-7,0.25mA,Overlap x Aversive,12.367740418528097
5,RLI5-7,0.25mA,Neutral x Aversive,2.186691747002116
6,RLI5-7,0.25mA,Overlap x Neutral x Aversive,2.3277686339054786
0,RLI5-8,1.5mA,Overlap,16.292974588938712
1,RLI5-8,1.5mA,Neutral,14.162929745889388
2,RLI5-8,1.5mA,Aversive,11.547085201793722
3,RLI5-8,1.5mA,Overlap x Neutral,12.985799701046338
4,RLI5-8,1.5mA,Overlap x Aversive,9.005979073243648
5,RLI5-8,1.5mA,Neutral x Aversive,6.6890881913303435
6,RLI5-8,1.5mA,Overlap x Neutral x Aversive,7.212257100149477
0,RLI5-9,0.25mA,Overlap,17.651888341543515
1,RLI5-9,0.25mA,Neutral,9.770114942528735
2,RLI5-9,0.25mA,Aversive,15.654077723043242
3,RLI5-9,0.25mA,Overlap x Neutral,4.050355774493705
4,RLI5-9,0.25mA,Overlap x Aversive,6.486042692939245
5,RLI5-9,0.25mA,Neutral x Aversive,2.2988505747126435
6,RLI5-9,0.25mA,Overlap x Neutral x Aversive,0.8210180623973727
0,RLI6-1,0.25mA,Overlap,14.283094976164284
1,RLI6-1,0.25mA,Neutral,13.274660799413274
2,RLI6-1,0.25mA,Aversive,11.404473780711404
3,RLI6-1,0.25mA,Overlap x Neutral,3.758709204253759
4,RLI6-1,0.25mA,Overlap x Aversive,2.915291529152915
5,RLI6-1,0.25mA,Neutral x Aversive,4.180418041804181
6,RLI6-1,0.25mA,Overlap x Neutral x Aversive,0.8617528419508618
0,RLI6-2,1.5mA,Overlap,25.024727992087044
1,RLI6-2,1.5mA,Neutral,12.636003956478733
2,RLI6-2,1.5mA,Aversive,12.908011869436201
3,RLI6-2,1.5mA,Overlap x Neutral,8.852621167161226
4,RLI6-2,1.5mA,Overlap x Aversive,7.344213649851632
5,RLI6-2,1.5mA,Neutral x Aversive,7.195845697329377
6,RLI6-2,1.5mA,Overlap x Neutral x Aversive,5.069238377843719
0,RLI6-4,1.5mA,Overlap,21.71144278606965
1,RLI6-4,1.5mA,Neutral,11.781094527363184
2,RLI6-4,1.5mA,Aversive,10.16915422885572
3,RLI6-4,1.5mA,Overlap x Neutral,9.233830845771145
4,RLI6-4,1.5mA,Overlap x Aversive,7.522388059701493
5,RLI6-4,1.5mA,Neutral x Aversive,5.273631840796019
6,RLI6-4,1.5mA,Overlap x Neutral x Aversive,3.2835820895522385
0,RLI6-6,1.5mA,Overlap,15.091373550795833
1,RLI6-6,1.5mA,Neutral,11.082727451365692
2,RLI6-6,1.5mA,Aversive,8.822951463941834
3,RLI6-6,1.5mA,Overlap x Neutral,17.48870112006288
4,RLI6-6,1.5mA,Overlap x Aversive,9.628610729023384
5,RLI6-6,1.5mA,Neutral x Aversive,7.270583611711534
6,RLI6-6,1.5mA,Overlap x Neutral x Aversive,16.427588917272548
0,RLI6-10,0.25mA,Overlap,23.703133025166924
1,RLI6-10,0.25mA,Neutral,8.371854134566
2,RLI6-10,0.25mA,Aversive,11.633281972265024
3,RLI6-10,0.25mA,Overlap x Neutral,7.498715973292244
4,RLI6-10,0.25mA,Overlap x Aversive,11.299435028248588
5,RLI6-10,0.25mA,Neutral x Aversive,2.6194144838212634
6,RLI6-10,0.25mA,Overlap x Neutral x Aversive,2.285567539804828
0,RLI6-11,1.5mA,Overlap,23.28767123287671
1,RLI6-11,1.5mA,Neutral,15.216016859852477
2,RLI6-11,1.5mA,Aversive,9.567966280295046
3,RLI6-11,1.5mA,Overlap x Neutral,8.893572181243414
4,RLI6-11,1.5mA,Overlap x Aversive,6.42781875658588
5,RLI6-11,1.5mA,Neutral x Aversive,3.140147523709168
6,RLI6-11,1.5mA,Overlap x Neutral x Aversive,2.191780821917808
