,Mouse,Amplitude,EnsembleCombo,Fraction
0,RLI5-1,0.25mA,Overlap,3.01274960703266
1,RLI5-1,0.25mA,Neutral,3.3533213017406998
2,RLI5-1,0.25mA,Aversive,3.3746676757679848
3,RLI5-1,0.25mA,Overlap x Neutral,0.21540431972987134
4,RLI5-1,0.25mA,Overlap x Aversive,0.2289883759290524
5,RLI5-1,0.25mA,Neutral x Aversive,0.28138402126875084
6,RLI5-1,0.25mA,Overlap x Neutral x Aversive,0.01746521511323281
0,RLI5-2,1.5mA,Overlap,2.9715237044350236
1,RLI5-2,1.5mA,Neutral,2.9986255492963196
2,RLI5-2,1.5mA,Aversive,2.0723232088584314
3,RLI5-2,1.5mA,Overlap x Neutral,0.12873376309115897
4,RLI5-2,1.5mA,Overlap x Aversive,0.09388853398377761
5,RLI5-2,1.5mA,Neutral x Aversive,0.11421491762975007
6,RLI5-2,1.5mA,Overlap x Neutral x Aversive,0.006775461215324158
0,RLI5-3,0.25mA,Overlap,3.100827792102049
1,RLI5-3,0.25mA,Neutral,3.132815074733924
2,RLI5-3,0.25mA,Aversive,2.661729639609949
3,RLI5-3,0.25mA,Overlap x Neutral,0.15024329721032123
4,RLI5-3,0.25mA,Overlap x Aversive,0.09693115949052983
5,RLI5-3,0.25mA,Neutral x Aversive,0.15896710156446892
6,RLI5-3,0.25mA,Overlap x Neutral x Aversive,0.0
0,RLI5-4,1.5mA,Overlap,1.6953906265111511
1,RLI5-4,1.5mA,Neutral,1.830789763825219
2,RLI5-4,1.5mA,Aversive,2.3675506296059883
3,RLI5-4,1.5mA,Overlap x Neutral,0.21470434631230775
4,RLI5-4,1.5mA,Overlap x Aversive,0.24371844716532237
5,RLI5-4,1.5mA,Neutral x Aversive,0.2340470802143175
6,RLI5-4,1.5mA,Overlap x Neutral x Aversive,0.020309870597110195
0,RLI5-5,0.25mA,Overlap,2.191229247512619
1,RLI5-5,0.25mA,Neutral,3.1540863070055143
2,RLI5-5,0.25mA,Aversive,3.42057401842072
3,RLI5-5,0.25mA,Overlap x Neutral,0.14977776481000593
4,RLI5-5,0.25mA,Overlap x Aversive,0.24703605364767212
5,RLI5-5,0.25mA,Neutral x Aversive,0.29955552962001186
6,RLI5-5,0.25mA,Overlap x Neutral x Aversive,0.022369406432663223
0,RLI5-6,1.5mA,Overlap,1.698952503946047
1,RLI5-6,1.5mA,Neutral,1.5803319462381022
2,RLI5-6,1.5mA,Aversive,1.4904099105562731
3,RLI5-6,1.5mA,Overlap x Neutral,0.10905438369923949
4,RLI5-6,1.5mA,Overlap x Aversive,0.03348160903046827
5,RLI5-6,1.5mA,Neutral x Aversive,0.022958817620892524
6,RLI5-6,1.5mA,Overlap x Neutral x Aversive,0.0009566174008705219
0,RLI5-7,0.25mA,Overlap,2.8318891148659717
1,RLI5-7,0.25mA,Neutral,1.834269906599709
2,RLI5-7,0.25mA,Aversive,3.1316568189923566
3,RLI5-7,0.25mA,Overlap x Neutral,0.18699335884411117
4,RLI5-7,0.25mA,Overlap x Aversive,0.23904305666669878
5,RLI5-7,0.25mA,Neutral x Aversive,0.09060502954302292
6,RLI5-7,0.25mA,Overlap x Neutral x Aversive,0.004819416465054412
0,RLI5-8,1.5mA,Overlap,2.3858233964616944
1,RLI5-8,1.5mA,Neutral,2.742381731743434
