,Mouse,Amplitude,EnsembleCombo,Fraction
3,RLI5-1,0.25mA,Overlap x Neutral,0.2671346021947874
4,RLI5-1,0.25mA,Overlap x Aversive,0.2617151748971194
5,RLI5-1,0.25mA,Neutral x Aversive,0.26059233539094645
6,RLI5-1,0.25mA,Overlap x Neutral x Aversive,0.013497717816453285
3,RLI5-2,1.5mA,Overlap x Neutral,0.2115933641975309
4,RLI5-2,1.5mA,Overlap x Aversive,0.1561856995884774
5,RLI5-2,1.5mA,Neutral x Aversive,0.13985313786008233
6,RLI5-2,1.5mA,Overlap x Neutral x Aversive,0.006798416423754002
3,RLI5-3,0.25mA,Overlap x Neutral,0.2311701817558299
4,RLI5-3,0.25mA,Overlap x Aversive,0.20897031893004117
5,RLI5-3,0.25mA,Neutral x Aversive,0.18722003600823045
6,RLI5-3,0.25mA,Overlap x Neutral x Aversive,0.009510084421677336
3,RLI5-4,1.5mA,Overlap x Neutral,0.2190408864883402
4,RLI5-4,1.5mA,Overlap x Aversive,0.2269405778463649
5,RLI5-4,1.5mA,Neutral x Aversive,0.22126595507544583
6,RLI5-4,1.5mA,Overlap x Neutral x Aversive,0.010487596518807474
3,RLI5-5,0.25mA,Overlap x Neutral,0.2698413580246914
4,RLI5-5,0.25mA,Overlap x Aversive,0.27291526063100136
5,RLI5-5,0.25mA,Neutral x Aversive,0.28231589506172844
6,RLI5-5,0.25mA,Overlap x Neutral x Aversive,0.01441902293667124
3,RLI5-6,1.5mA,Overlap x Neutral,0.05244770233196158
4,RLI5-6,1.5mA,Overlap x Aversive,0.04275977366255144
5,RLI5-6,1.5mA,Neutral x Aversive,0.04185326646090535
6,RLI5-6,1.5mA,Overlap x Neutral x Aversive,0.000968825612520957
3,RLI5-7,0.25mA,Overlap x Neutral,0.1321571673525377
4,RLI5-7,0.25mA,Overlap x Aversive,0.23130932784636488
5,RLI5-7,0.25mA,Neutral x Aversive,0.12541546639231824
6,RLI5-7,0.25mA,Overlap x Neutral x Aversive,0.006191808025961488
3,RLI5-8,1.5mA,Overlap x Neutral,0.26049482167352533
4,RLI5-8,1.5mA,Overlap x Aversive,0.26376736968449926
5,RLI5-8,1.5mA,Neutral x Aversive,0.26952352537722907
6,RLI5-8,1.5mA,Overlap x Neutral x Aversive,0.013608442443352131
3,RLI5-9,0.25mA,Overlap x Neutral,0.08129072359396433
4,RLI5-9,0.25mA,Overlap x Aversive,0.07887714334705075
5,RLI5-9,0.25mA,Neutral x Aversive,0.04891996742112483
6,RLI5-9,0.25mA,Overlap x Neutral x Aversive,0.0017710840057092413
3,RLI6-1,0.25mA,Overlap x Neutral,0.20668575102880657
4,RLI6-1,0.25mA,Overlap x Aversive,0.19477402263374488
5,RLI6-1,0.25mA,Neutral x Aversive,0.18529455589849111
6,RLI6-1,0.25mA,Overlap x Neutral x Aversive,0.008636785133268557
3,RLI6-2,1.5mA,Overlap x Neutral,0.2059781207133059
4,RLI6-2,1.5mA,Overlap x Aversive,0.20342321673525376
5,RLI6-2,1.5mA,Neutral x Aversive,0.185131755829904
6,RLI6-2,1.5mA,Overlap x Neutral x Aversive,0.008807471865315247
3,RLI6-4,1.5mA,Overlap x Neutral,0.2620788237311385
4,RLI6-4,1.5mA,Overlap x Aversive,0.24654247256515774
5,RLI6-4,1.5mA,Neutral x Aversive,0.23500552126200278
6,RLI6-4,1.5mA,Overlap x Neutral x Aversive,0.012322558026914086
3,RLI6-6,1.5mA,Overlap x Neutral,0.251208950617284
4,RLI6-6,1.5mA,Overlap x Aversive,0.2593898148148148
5,RLI6-6,1.5mA,Neutral x Aversive,0.25272060185185186
6,RLI6-6,1.5mA,Overlap x Neutral x Aversive,0.01283259056069959
3,RLI6-10,0.25mA,Overlap x Neutral,0.17074018347050757
4,RLI6-10,0.25mA,Overlap x Aversive,0.18235665294924558
5,RLI6-10,0.25mA,Neutral x Aversive,0.13891632373113855
6,RLI6-10,0.25mA,Overlap x Neutral x Aversive,0.006576658918863995
3,RLI6-11,1.5mA,Overlap x Neutral,0.21035870198902606
4,RLI6-11,1.5mA,Overlap x Aversive,0.23480882201646092
5,RLI6-11,1.5mA,Neutral x Aversive,0.1785142232510288
6,RLI6-11,1.5mA,Overlap x Neutral x Aversive,0.009390178724899024
