,Mouse,Amplitude,EnsembleCombo,Fraction
0,RLI5-1,0.25mA,Overlap,5.17962962962963
1,RLI5-1,0.25mA,Neutral,5.157407407407407
2,RLI5-1,0.25mA,Aversive,5.052777777777777
0,RLI5-2,1.5mA,Overlap,4.861111111111112
1,RLI5-2,1.5mA,Neutral,4.352777777777778
2,RLI5-2,1.5mA,Aversive,3.2129629629629632
0,RLI5-3,0.25mA,Overlap,5.07962962962963
1,RLI5-3,0.25mA,Neutral,4.550925925925926
2,RLI5-3,0.25mA,Aversive,4.113888888888889
0,RLI5-4,1.5mA,Overlap,4.739814814814815
1,RLI5-4,1.5mA,Neutral,4.621296296296296
2,RLI5-4,1.5mA,Aversive,4.787962962962963
0,RLI5-5,0.25mA,Overlap,5.107407407407408
1,RLI5-5,0.25mA,Neutral,5.283333333333333
2,RLI5-5,0.25mA,Aversive,5.343518518518518
0,RLI5-6,1.5mA,Overlap,2.314814814814815
1,RLI5-6,1.5mA,Neutral,2.265740740740741
2,RLI5-6,1.5mA,Aversive,1.8472222222222223
0,RLI5-7,0.25mA,Overlap,4.937037037037037
1,RLI5-7,0.25mA,Neutral,2.676851851851852
2,RLI5-7,0.25mA,Aversive,4.685185185185185
0,RLI5-8,1.5mA,Overlap,5.049074074074074
1,RLI5-8,1.5mA,Neutral,5.159259259259259
2,RLI5-8,1.5mA,Aversive,5.224074074074074
0,RLI5-9,0.25mA,Overlap,3.6203703703703702
1,RLI5-9,0.25mA,Neutral,2.2453703703703707
2,RLI5-9,0.25mA,Aversive,2.1787037037037034
0,RLI6-1,0.25mA,Overlap,4.661111111111111
1,RLI6-1,0.25mA,Neutral,4.434259259259259
2,RLI6-1,0.25mA,Aversive,4.178703703703704
0,RLI6-2,1.5mA,Overlap,4.757407407407407
1,RLI6-2,1.5mA,Neutral,4.32962962962963
2,RLI6-2,1.5mA,Aversive,4.275925925925926
0,RLI6-4,1.5mA,Overlap,5.243518518518518
1,RLI6-4,1.5mA,Neutral,4.9981481481481485
2,RLI6-4,1.5mA,Aversive,4.701851851851853
0,RLI6-6,1.5mA,Overlap,5.0777777777777775
1,RLI6-6,1.5mA,Neutral,4.947222222222222
2,RLI6-6,1.5mA,Aversive,5.108333333333333
0,RLI6-10,0.25mA,Overlap,4.734259259259259
1,RLI6-10,0.25mA,Neutral,3.6064814814814814
2,RLI6-10,0.25mA,Aversive,3.851851851851852
0,RLI6-11,1.5mA,Overlap,5.260185185185185
1,RLI6-11,1.5mA,Neutral,3.9990740740740742
2,RLI6-11,1.5mA,Aversive,4.463888888888889
