,Mouse,Amplitude,EnsembleCombo,Fraction
0,RLI5-1,0.25mA,Overlap,3.9019414569767727
1,RLI5-1,0.25mA,Neutral,2.7996710375623626
2,RLI5-1,0.25mA,Aversive,2.4207818510831736
0,RLI5-2,1.5mA,Overlap,4.872873605267971
1,RLI5-2,1.5mA,Neutral,3.1573089987392007
2,RLI5-2,1.5mA,Aversive,3.6397583826248026
0,RLI5-3,0.25mA,Overlap,4.878857394705838
1,RLI5-3,0.25mA,Neutral,2.8001048860836963
2,RLI5-3,0.25mA,Aversive,3.645682157416924
0,RLI5-4,1.5mA,Overlap,3.3237627643314664
1,RLI5-4,1.5mA,Neutral,2.3510376043240284
2,RLI5-4,1.5mA,Aversive,1.4749794322312506
0,RLI5-5,0.25mA,Overlap,4.633150160001981
1,RLI5-5,0.25mA,Neutral,2.2942357327215372
2,RLI5-5,0.25mA,Aversive,1.5387522040046688
0,RLI5-6,1.5mA,Overlap,4.3761038961038965
1,RLI5-6,1.5mA,Neutral,5.298828674390586
2,RLI5-6,1.5mA,Aversive,3.9683624646030657
0,RLI5-7,0.25mA,Overlap,5.176876161198777
1,RLI5-7,0.25mA,Neutral,2.3540467050218603
2,RLI5-7,0.25mA,Aversive,3.7438348563999004
0,RLI5-8,1.5mA,Overlap,3.226923263534533
1,RLI5-8,1.5mA,Neutral,2.745147904802681
2,RLI5-8,1.5mA,Aversive,2.21036015915229
0,RLI5-9,0.25mA,Overlap,4.875713403802301
1,RLI5-9,0.25mA,Neutral,4.351226448631354
2,RLI5-9,0.25mA,Aversive,7.185042048825629
0,RLI6-1,0.25mA,Overlap,3.064311198700323
1,RLI6-1,0.25mA,Neutral,2.99365914875054
2,RLI6-1,0.25mA,Aversive,2.729189382487994
0,RLI6-2,1.5mA,Overlap,5.26016080799027
1,RLI6-2,1.5mA,Neutral,2.918495353506636
2,RLI6-2,1.5mA,Aversive,3.0187641444328923
0,RLI6-4,1.5mA,Overlap,4.140624794094159
1,RLI6-4,1.5mA,Neutral,2.357091902473553
2,RLI6-4,1.5mA,Aversive,2.1627976697842017
0,RLI6-6,1.5mA,Overlap,2.972042931228939
1,RLI6-6,1.5mA,Neutral,2.2401919609722905
2,RLI6-6,1.5mA,Aversive,1.7271683126802937
0,RLI6-10,0.25mA,Overlap,5.006724753995751
1,RLI6-10,0.25mA,Neutral,2.321335677877094
2,RLI6-10,0.25mA,Aversive,3.0201789735688043
0,RLI6-11,1.5mA,Overlap,4.4271580587056585
1,RLI6-11,1.5mA,Neutral,3.8048849753740854
2,RLI6-11,1.5mA,Aversive,2.143414972561429
