,Mouse,Amplitude,Freezing,Overlap
0,RLI5-1,0.25mA,23.766666666666666,37.664783427495294
1,RLI5-2,1.5mA,35.94444444444444,39.478957915831664
2,RLI5-3,0.25mA,27.566666666666666,38.41059602649007
3,RLI5-4,1.5mA,34.06666666666667,32.86189683860233
4,RLI5-5,0.25mA,33.43333333333333,25.054466230936818
5,RLI5-6,1.5mA,37.96666666666667,11.570247933884298
6,RLI5-7,0.25mA,19.2,29.602888086642597
7,RLI5-8,1.5mA,41.78888888888889,25.352112676056336
8,RLI5-9,0.25mA,25.233333333333334,21.91780821917808
9,RLI6-1,0.25mA,19.977777777777778,8.536585365853659
10,RLI6-2,1.5mA,24.366666666666667,45.166666666666664
11,RLI6-4,1.5mA,28.5,29.757785467128027
12,RLI6-6,1.5mA,31.633333333333333,38.501742160278745
13,RLI6-10,0.25mA,19.877777777777776,33.20610687022901
14,RLI6-11,1.5mA,35.71111111111111,49.152542372881356
