,Mouse,Amplitude,RecallSession,Ensemble,FractionActive
1,RLI5-1,0.25mA,Neutral,Neutral,13.594470046082948
1,RLI5-1,0.25mA,Novel,Neutral,10.357815442561206
1,RLI5-2,1.5mA,Neutral,Neutral,15.570934256055363
1,RLI5-2,1.5mA,Novel,Neutral,11.422845691382765
1,RLI5-4,1.5mA,Neutral,Neutral,12.139303482587065
1,RLI5-4,1.5mA,Novel,Neutral,11.480865224625623
1,RLI5-5,0.25mA,Neutral,Neutral,9.923664122137405
1,RLI5-5,0.25mA,Novel,Neutral,6.753812636165578
1,RLI5-6,1.5mA,Neutral,Neutral,6.278026905829597
1,RLI5-6,1.5mA,Novel,Neutral,3.71900826446281
1,RLI5-7,0.25mA,Neutral,Neutral,3.5211267605633805
1,RLI5-7,0.25mA,Novel,Neutral,3.9711191335740073
1,RLI5-8,1.5mA,Neutral,Neutral,7.966457023060797
1,RLI5-8,1.5mA,Novel,Neutral,7.042253521126761
1,RLI5-9,0.25mA,Neutral,Neutral,6.984126984126984
1,RLI5-9,0.25mA,Novel,Neutral,7.191780821917808
1,RLI6-1,0.25mA,Neutral,Neutral,6.521739130434782
1,RLI6-1,0.25mA,Novel,Neutral,4.878048780487805
1,RLI6-2,1.5mA,Neutral,Neutral,16.152450090744104
1,RLI6-2,1.5mA,Novel,Neutral,14.833333333333334
1,RLI6-4,1.5mA,Neutral,Neutral,11.38211382113821
1,RLI6-4,1.5mA,Novel,Neutral,10.034602076124568
1,RLI6-6,1.5mA,Neutral,Neutral,14.446529080675422
1,RLI6-6,1.5mA,Novel,Neutral,12.543554006968641
1,RLI6-10,0.25mA,Neutral,Neutral,12.996389891696749
1,RLI6-10,0.25mA,Novel,Neutral,10.305343511450381
1,RLI6-11,1.5mA,Neutral,Neutral,14.465408805031446
1,RLI6-11,1.5mA,Novel,Neutral,11.299435028248588
