,Mouse,Amplitude,RecallSession,Ensemble,FractionActive
0,RLI5-1,0.25mA,Neutral,Aversive,14.746543778801843
0,RLI5-1,0.25mA,Novel,Aversive,16.57250470809793
0,RLI5-2,1.5mA,Neutral,Aversive,11.072664359861593
0,RLI5-2,1.5mA,Novel,Aversive,10.821643286573146
0,RLI5-4,1.5mA,Neutral,Aversive,13.134328358208954
0,RLI5-4,1.5mA,Novel,Aversive,9.56738768718802
0,RLI5-5,0.25mA,Neutral,Aversive,6.106870229007633
0,RLI5-5,0.25mA,Novel,Aversive,6.753812636165578
0,RLI5-6,1.5mA,Neutral,Aversive,5.829596412556054
0,RLI5-6,1.5mA,Novel,Aversive,7.851239669421488
0,RLI5-7,0.25mA,Neutral,Aversive,13.028169014084506
0,RLI5-7,0.25mA,Novel,Aversive,14.440433212996389
0,RLI5-8,1.5mA,Neutral,Aversive,14.046121593291405
0,RLI5-8,1.5mA,Novel,Aversive,11.737089201877934
0,RLI5-9,0.25mA,Neutral,Aversive,10.158730158730158
0,RLI5-9,0.25mA,Novel,Aversive,7.534246575342466
0,RLI6-1,0.25mA,Neutral,Aversive,9.420289855072465
0,RLI6-1,0.25mA,Novel,Aversive,3.6585365853658534
0,RLI6-2,1.5mA,Neutral,Aversive,9.43738656987296
0,RLI6-2,1.5mA,Novel,Aversive,9.5
0,RLI6-4,1.5mA,Neutral,Aversive,7.926829268292683
0,RLI6-4,1.5mA,Novel,Aversive,7.7854671280276815
0,RLI6-6,1.5mA,Neutral,Aversive,13.133208255159476
0,RLI6-6,1.5mA,Novel,Aversive,10.278745644599303
0,RLI6-10,0.25mA,Neutral,Aversive,8.303249097472925
0,RLI6-10,0.25mA,Novel,Aversive,9.923664122137405
0,RLI6-11,1.5mA,Neutral,Aversive,7.547169811320755
0,RLI6-11,1.5mA,Novel,Aversive,6.779661016949152
