,Mouse,SessionCombo,FirstSessionActivityBin,FractionReactivated
0,GAD_hM3Dq_GCaMP1,PreBaseline x Baseline,10,47.19101123595505
1,GAD_hM3Dq_GCaMP1,Baseline x PostBaseline,10,31.70731707317073
2,GAD_hM3Dq_GCaMP1,PreBaseline x PostBaseline,10,21.34831460674157
3,GAD_hM3Dq_GCaMP2,PreBaseline x Baseline,10,42.10526315789473
4,GAD_hM3Dq_GCaMP2,Baseline x PostBaseline,10,33.11258278145696
5,GAD_hM3Dq_GCaMP2,PreBaseline x PostBaseline,10,34.21052631578947
6,GAD_hM3Dq_GCaMP3,PreBaseline x Baseline,10,33.33333333333333
7,GAD_hM3Dq_GCaMP3,Baseline x PostBaseline,10,32.142857142857146
8,GAD_hM3Dq_GCaMP3,PreBaseline x PostBaseline,10,26.666666666666668
9,GAD_hM3Dq_GCaMP4,PreBaseline x Baseline,10,42.5
10,GAD_hM3Dq_GCaMP4,Baseline x PostBaseline,10,25.0
11,GAD_hM3Dq_GCaMP4,PreBaseline x PostBaseline,10,35.0
12,GAD_hM3Dq_GCaMP5,PreBaseline x Baseline,10,54.20560747663551
13,GAD_hM3Dq_GCaMP5,Baseline x PostBaseline,10,33.0
14,GAD_hM3Dq_GCaMP5,PreBaseline x PostBaseline,10,32.71028037383177
15,GAD_hM3Dq_GCaMP1,PreBaseline x Baseline,20,40.44943820224719
16,GAD_hM3Dq_GCaMP1,Baseline x PostBaseline,20,40.243902439024396
17,GAD_hM3Dq_GCaMP1,PreBaseline x PostBaseline,20,38.20224719101123
18,GAD_hM3Dq_GCaMP2,PreBaseline x Baseline,20,40.78947368421053
19,GAD_hM3Dq_GCaMP2,Baseline x PostBaseline,20,27.81456953642384
20,GAD_hM3Dq_GCaMP2,PreBaseline x PostBaseline,20,40.78947368421053
21,GAD_hM3Dq_GCaMP3,PreBaseline x Baseline,20,23.333333333333332
22,GAD_hM3Dq_GCaMP3,Baseline x PostBaseline,20,35.714285714285715
23,GAD_hM3Dq_GCaMP3,PreBaseline x PostBaseline,20,33.33333333333333
24,GAD_hM3Dq_GCaMP4,PreBaseline x Baseline,20,42.5
25,GAD_hM3Dq_GCaMP4,Baseline x PostBaseline,20,46.875
26,GAD_hM3Dq_GCaMP4,PreBaseline x PostBaseline,20,52.5
27,GAD_hM3Dq_GCaMP5,PreBaseline x Baseline,20,57.009345794392516
28,GAD_hM3Dq_GCaMP5,Baseline x PostBaseline,20,36.36363636363637
29,GAD_hM3Dq_GCaMP5,PreBaseline x PostBaseline,20,43.925233644859816
30,GAD_hM3Dq_GCaMP1,PreBaseline x Baseline,30,53.93258426966292
31,GAD_hM3Dq_GCaMP1,Baseline x PostBaseline,30,39.02439024390244
32,GAD_hM3Dq_GCaMP1,PreBaseline x PostBaseline,30,41.57303370786517
33,GAD_hM3Dq_GCaMP2,PreBaseline x Baseline,30,46.71052631578947
34,GAD_hM3Dq_GCaMP2,Baseline x PostBaseline,30,51.33333333333333
35,GAD_hM3Dq_GCaMP2,PreBaseline x PostBaseline,30,48.026315789473685
36,GAD_hM3Dq_GCaMP3,PreBaseline x Baseline,30,36.666666666666664
37,GAD_hM3Dq_GCaMP3,Baseline x PostBaseline,30,32.142857142857146
38,GAD_hM3Dq_GCaMP3,PreBaseline x PostBaseline,30,53.333333333333336
39,GAD_hM3Dq_GCaMP4,PreBaseline x Baseline,30,45.0
40,GAD_hM3Dq_GCaMP4,Baseline x PostBaseline,30,53.125
41,GAD_hM3Dq_GCaMP4,PreBaseline x PostBaseline,30,42.5
42,GAD_hM3Dq_GCaMP5,PreBaseline x Baseline,30,48.598130841121495
43,GAD_hM3Dq_GCaMP5,Baseline x PostBaseline,30,40.4040404040404
44,GAD_hM3Dq_GCaMP5,PreBaseline x PostBaseline,30,44.85981308411215
45,GAD_hM3Dq_GCaMP1,PreBaseline x Baseline,40,65.1685393258427
46,GAD_hM3Dq_GCaMP1,Baseline x PostBaseline,40,58.536585365853654
47,GAD_hM3Dq_GCaMP1,PreBaseline x PostBaseline,40,60.67415730337079
48,GAD_hM3Dq_GCaMP2,PreBaseline x Baseline,40,54.60526315789473
49,GAD_hM3Dq_GCaMP2,Baseline x PostBaseline,40,54.666666666666664
50,GAD_hM3Dq_GCaMP2,PreBaseline x PostBaseline,40,51.31578947368421
51,GAD_hM3Dq_GCaMP3,PreBaseline x Baseline,40,43.333333333333336
52,GAD_hM3Dq_GCaMP3,Baseline x PostBaseline,40,67.85714285714286
53,GAD_hM3Dq_GCaMP3,PreBaseline x PostBaseline,40,56.666666666666664
54,GAD_hM3Dq_GCaMP4,PreBaseline x Baseline,40,41.02564102564102
55,GAD_hM3Dq_GCaMP4,Baseline x PostBaseline,40,68.75
56,GAD_hM3Dq_GCaMP4,PreBaseline x PostBaseline,40,71.7948717948718
57,GAD_hM3Dq_GCaMP5,PreBaseline x Baseline,40,57.943925233644855
58,GAD_hM3Dq_GCaMP5,Baseline x PostBaseline,40,51.515151515151516
59,GAD_hM3Dq_GCaMP5,PreBaseline x PostBaseline,40,52.336448598130836
60,GAD_hM3Dq_GCaMP1,PreBaseline x Baseline,50,69.66292134831461
61,GAD_hM3Dq_GCaMP1,Baseline x PostBaseline,50,60.97560975609756
62,GAD_hM3Dq_GCaMP1,PreBaseline x PostBaseline,50,65.1685393258427
63,GAD_hM3Dq_GCaMP2,PreBaseline x Baseline,50,60.526315789473685
64,GAD_hM3Dq_GCaMP2,Baseline x PostBaseline,50,54.666666666666664
65,GAD_hM3Dq_GCaMP2,PreBaseline x PostBaseline,50,60.526315789473685
66,GAD_hM3Dq_GCaMP3,PreBaseline x Baseline,50,63.33333333333333
67,GAD_hM3Dq_GCaMP3,Baseline x PostBaseline,50,53.57142857142857
68,GAD_hM3Dq_GCaMP3,PreBaseline x PostBaseline,50,66.66666666666666
69,GAD_hM3Dq_GCaMP4,PreBaseline x Baseline,50,41.02564102564102
70,GAD_hM3Dq_GCaMP4,Baseline x PostBaseline,50,65.625
71,GAD_hM3Dq_GCaMP4,PreBaseline x PostBaseline,50,64.1025641025641
72,GAD_hM3Dq_GCaMP5,PreBaseline x Baseline,50,70.09345794392523
73,GAD_hM3Dq_GCaMP5,Baseline x PostBaseline,50,53.535353535353536
74,GAD_hM3Dq_GCaMP5,PreBaseline x PostBaseline,50,57.009345794392516
75,GAD_hM3Dq_GCaMP1,PreBaseline x Baseline,60,70.78651685393258
76,GAD_hM3Dq_GCaMP1,Baseline x PostBaseline,60,69.51219512195121
77,GAD_hM3Dq_GCaMP1,PreBaseline x PostBaseline,60,66.29213483146067
78,GAD_hM3Dq_GCaMP2,PreBaseline x Baseline,60,53.289473684210535
79,GAD_hM3Dq_GCaMP2,Baseline x PostBaseline,60,60.66666666666667
80,GAD_hM3Dq_GCaMP2,PreBaseline x PostBaseline,60,55.26315789473685
81,GAD_hM3Dq_GCaMP3,PreBaseline x Baseline,60,73.33333333333333
82,GAD_hM3Dq_GCaMP3,Baseline x PostBaseline,60,60.71428571428571
83,GAD_hM3Dq_GCaMP3,PreBaseline x PostBaseline,60,66.66666666666666
84,GAD_hM3Dq_GCaMP4,PreBaseline x Baseline,60,48.717948717948715
85,GAD_hM3Dq_GCaMP4,Baseline x PostBaseline,60,59.375
86,GAD_hM3Dq_GCaMP4,PreBaseline x PostBaseline,60,69.23076923076923
