,Mouse,CutoffFraction,Ensemble,FractionOfGadCells
0,RLI12-1,2,Aversive,0.07407407407407407
1,RLI12-1,2,Overlap,0.48148148148148145
2,RLI12-1,2,Neutral,0.07407407407407407
3,RLI12-1,2,Remaining,0.37037037037037035
0,RLI12-1,4,Aversive,0.09090909090909091
1,RLI12-1,4,Overlap,0.5272727272727272
2,RLI12-1,4,Neutral,0.09090909090909091
3,RLI12-1,4,Remaining,0.2909090909090909
0,RLI12-1,6,Aversive,0.10843373493975904
1,RLI12-1,6,Overlap,0.4939759036144578
2,RLI12-1,6,Neutral,0.12048192771084337
3,RLI12-1,6,Remaining,0.27710843373493976
0,RLI12-1,8,Aversive,0.1
1,RLI12-1,8,Overlap,0.509090909090909
2,RLI12-1,8,Neutral,0.1
3,RLI12-1,8,Remaining,0.2909090909090909
0,RLI12-1,10,Aversive,0.08695652173913043
1,RLI12-1,10,Overlap,0.5217391304347826
2,RLI12-1,10,Neutral,0.10869565217391304
3,RLI12-1,10,Remaining,0.2826086956521739
0,RLI12-1,12,Aversive,0.0783132530120482
1,RLI12-1,12,Overlap,0.536144578313253
2,RLI12-1,12,Neutral,0.1144578313253012
3,RLI12-1,12,Remaining,0.2710843373493976
0,RLI12-1,14,Aversive,0.08290155440414508
1,RLI12-1,14,Overlap,0.5440414507772021
2,RLI12-1,14,Neutral,0.11398963730569948
3,RLI12-1,14,Remaining,0.25906735751295334
0,RLI12-1,16,Aversive,0.09049773755656108
1,RLI12-1,16,Overlap,0.5475113122171946
2,RLI12-1,16,Neutral,0.12669683257918551
3,RLI12-1,16,Remaining,0.23529411764705882
0,RLI12-1,18,Aversive,0.09236947791164658
1,RLI12-1,18,Overlap,0.5421686746987951
2,RLI12-1,18,Neutral,0.12449799196787148
3,RLI12-1,18,Remaining,0.24096385542168675
0,RLI12-1,20,Aversive,0.09025270758122744
1,RLI12-1,20,Overlap,0.5306859205776173
2,RLI12-1,20,Neutral,0.13357400722021662
3,RLI12-1,20,Remaining,0.24548736462093862
0,RLI12-1,22,Aversive,0.08881578947368421
1,RLI12-1,22,Overlap,0.506578947368421
2,RLI12-1,22,Neutral,0.125
3,RLI12-1,22,Remaining,0.27960526315789475
0,RLI12-1,24,Aversive,0.08132530120481928
1,RLI12-1,24,Overlap,0.463855421686747
2,RLI12-1,24,Neutral,0.1144578313253012
3,RLI12-1,24,Remaining,0.34036144578313254
0,RLI12-1,26,Aversive,0.075
1,RLI12-1,26,Overlap,0.42777777777777776
2,RLI12-1,26,Neutral,0.10555555555555556
3,RLI12-1,26,Remaining,0.39166666666666666
0,RLI12-1,28,Aversive,0.06976744186046512
1,RLI12-1,28,Overlap,0.3979328165374677
2,RLI12-1,28,Neutral,0.09819121447028424
3,RLI12-1,28,Remaining,0.43410852713178294
0,RLI12-1,30,Aversive,0.06506024096385542
1,RLI12-1,30,Overlap,0.3710843373493976
2,RLI12-1,30,Neutral,0.09156626506024096
3,RLI12-1,30,Remaining,0.472289156626506
0,RLI12-1,32,Aversive,0.060948081264108354
1,RLI12-1,32,Overlap,0.3476297968397291
2,RLI12-1,32,Neutral,0.08577878103837472
3,RLI12-1,32,Remaining,0.5056433408577878
0,RLI12-1,34,Aversive,0.0574468085106383
1,RLI12-1,34,Overlap,0.3276595744680851
2,RLI12-1,34,Neutral,0.08085106382978724
3,RLI12-1,34,Remaining,0.5340425531914894
0,RLI12-1,36,Aversive,0.05421686746987952
1,RLI12-1,36,Overlap,0.3092369477911647
2,RLI12-1,36,Neutral,0.07630522088353414
3,RLI12-1,36,Remaining,0.5602409638554217
0,RLI12-1,38,Aversive,0.051330798479087454
1,RLI12-1,38,Overlap,0.29277566539923955
2,RLI12-1,38,Neutral,0.07224334600760456
3,RLI12-1,38,Remaining,0.5836501901140685
0,RLI12-1,40,Aversive,0.048736462093862815
1,RLI12-1,40,Overlap,0.2779783393501805
2,RLI12-1,40,Neutral,0.06859205776173286
3,RLI12-1,40,Remaining,0.6046931407942239
0,RLI12-1,42,Aversive,0.04647160068846816
1,RLI12-1,42,Overlap,0.26506024096385544
2,RLI12-1,42,Neutral,0.06540447504302926
3,RLI12-1,42,Remaining,0.6230636833046471
0,RLI12-1,44,Aversive,0.04433497536945813
1,RLI12-1,44,Overlap,0.25287356321839083
2,RLI12-1,44,Neutral,0.06239737274220033
3,RLI12-1,44,Remaining,0.6403940886699507
0,RLI12-1,46,Aversive,0.0423861852433281
1,RLI12-1,46,Overlap,0.24175824175824176
2,RLI12-1,46,Neutral,0.059654631083202514
3,RLI12-1,46,Remaining,0.6562009419152276
0,RLI12-1,48,Aversive,0.04066265060240964
1,RLI12-1,48,Overlap,0.2319277108433735
2,RLI12-1,48,Neutral,0.0572289156626506
