,Mouse,CutoffFraction,Ensemble,FractionOfEnsembleCells
0,RLI12-1,2,Aversive,0.014285714285714285
1,RLI12-1,2,Overlap,0.03155339805825243
2,RLI12-1,2,Neutral,0.010869565217391304
3,RLI12-1,2,Remaining,0.015408320493066256
0,RLI12-1,4,Aversive,0.03571428571428571
1,RLI12-1,4,Overlap,0.0703883495145631
2,RLI12-1,4,Neutral,0.02717391304347826
3,RLI12-1,4,Remaining,0.02465331278890601
0,RLI12-1,6,Aversive,0.06428571428571428
1,RLI12-1,6,Overlap,0.09951456310679611
2,RLI12-1,6,Neutral,0.05434782608695652
3,RLI12-1,6,Remaining,0.03543913713405239
0,RLI12-1,8,Aversive,0.07857142857142857
1,RLI12-1,8,Overlap,0.13592233009708737
2,RLI12-1,8,Neutral,0.059782608695652176
3,RLI12-1,8,Remaining,0.04930662557781202
0,RLI12-1,10,Aversive,0.08571428571428572
1,RLI12-1,10,Overlap,0.17475728155339806
2,RLI12-1,10,Neutral,0.08152173913043478
3,RLI12-1,10,Remaining,0.060092449922958396
0,RLI12-1,12,Aversive,0.09285714285714286
1,RLI12-1,12,Overlap,0.21601941747572814
2,RLI12-1,12,Neutral,0.10326086956521739
3,RLI12-1,12,Remaining,0.06933744221879815
0,RLI12-1,14,Aversive,0.11428571428571428
1,RLI12-1,14,Overlap,0.25485436893203883
2,RLI12-1,14,Neutral,0.11956521739130435
3,RLI12-1,14,Remaining,0.07704160246533127
0,RLI12-1,16,Aversive,0.14285714285714285
1,RLI12-1,16,Overlap,0.2936893203883495
2,RLI12-1,16,Neutral,0.15217391304347827
3,RLI12-1,16,Remaining,0.08012326656394453
0,RLI12-1,18,Aversive,0.16428571428571428
1,RLI12-1,18,Overlap,0.3276699029126214
2,RLI12-1,18,Neutral,0.16847826086956522
3,RLI12-1,18,Remaining,0.09244992295839753
0,RLI12-1,20,Aversive,0.17857142857142858
1,RLI12-1,20,Overlap,0.3567961165048544
2,RLI12-1,20,Neutral,0.20108695652173914
3,RLI12-1,20,Remaining,0.10477657935285054
0,RLI12-1,22,Aversive,0.19285714285714287
1,RLI12-1,22,Overlap,0.3737864077669903
2,RLI12-1,22,Neutral,0.20652173913043478
3,RLI12-1,22,Remaining,0.13097072419106318
0,RLI12-1,24,Aversive,0.19285714285714287
1,RLI12-1,24,Overlap,0.3737864077669903
2,RLI12-1,24,Neutral,0.20652173913043478
3,RLI12-1,24,Remaining,0.17411402157164868
0,RLI12-1,26,Aversive,0.19285714285714287
1,RLI12-1,26,Overlap,0.3737864077669903
2,RLI12-1,26,Neutral,0.20652173913043478
3,RLI12-1,26,Remaining,0.2172573189522342
0,RLI12-1,28,Aversive,0.19285714285714287
1,RLI12-1,28,Overlap,0.3737864077669903
2,RLI12-1,28,Neutral,0.20652173913043478
3,RLI12-1,28,Remaining,0.2588597842835131
0,RLI12-1,30,Aversive,0.19285714285714287
1,RLI12-1,30,Overlap,0.3737864077669903
2,RLI12-1,30,Neutral,0.20652173913043478
3,RLI12-1,30,Remaining,0.3020030816640986
0,RLI12-1,32,Aversive,0.19285714285714287
1,RLI12-1,32,Overlap,0.3737864077669903
2,RLI12-1,32,Neutral,0.20652173913043478
3,RLI12-1,32,Remaining,0.34514637904468415
0,RLI12-1,34,Aversive,0.19285714285714287
1,RLI12-1,34,Overlap,0.3737864077669903
2,RLI12-1,34,Neutral,0.20652173913043478
3,RLI12-1,34,Remaining,0.386748844375963
0,RLI12-1,36,Aversive,0.19285714285714287
1,RLI12-1,36,Overlap,0.3737864077669903
2,RLI12-1,36,Neutral,0.20652173913043478
3,RLI12-1,36,Remaining,0.42989214175654855
0,RLI12-1,38,Aversive,0.19285714285714287
1,RLI12-1,38,Overlap,0.3737864077669903
2,RLI12-1,38,Neutral,0.20652173913043478
3,RLI12-1,38,Remaining,0.47303543913713403
