,Mouse,Amplitude,Time,AverageActivity
0,RLI12-1,1.5mA,-5.0,0.10862860031770397
1,RLI12-1,1.5mA,-4.966666666666667,0.11196291947539005
2,RLI12-1,1.5mA,-4.933333333333334,0.11740792276921423
3,RLI12-1,1.5mA,-4.9,0.124418930229204
4,RLI12-1,1.5mA,-4.866666666666667,0.13082026420204773
5,RLI12-1,1.5mA,-4.833333333333334,0.13861734657409844
6,RLI12-1,1.5mA,-4.800000000000001,0.14712445861643741
7,RLI12-1,1.5mA,-4.7666666666666675,0.15732088075602654
8,RLI12-1,1.5mA,-4.733333333333334,0.16537062632042693
9,RLI12-1,1.5mA,-4.700000000000001,0.17230059955052188
10,RLI12-1,1.5mA,-4.666666666666668,0.17892310102705206
11,RLI12-1,1.5mA,-4.633333333333335,0.18603835228749935
12,RLI12-1,1.5mA,-4.600000000000001,0.19355549147073717
13,RLI12-1,1.5mA,-4.566666666666668,0.2003217192877138
14,RLI12-1,1.5mA,-4.533333333333335,0.205634633530602
15,RLI12-1,1.5mA,-4.500000000000002,0.2109052068771045
16,RLI12-1,1.5mA,-4.466666666666669,0.21429341671371355
17,RLI12-1,1.5mA,-4.433333333333335,0.21770398310466857
18,RLI12-1,1.5mA,-4.400000000000002,0.2198819254870699
19,RLI12-1,1.5mA,-4.366666666666669,0.22058677503891055
20,RLI12-1,1.5mA,-4.333333333333336,0.21813629694737724
21,RLI12-1,1.5mA,-4.3000000000000025,0.2182078448198418
22,RLI12-1,1.5mA,-4.266666666666669,0.2204479070520784
23,RLI12-1,1.5mA,-4.233333333333336,0.22175752814753266
24,RLI12-1,1.5mA,-4.200000000000003,0.22396725646575408
25,RLI12-1,1.5mA,-4.16666666666667,0.2260934671014716
26,RLI12-1,1.5mA,-4.133333333333336,0.22930101790823068
27,RLI12-1,1.5mA,-4.100000000000003,0.2338140055236885
28,RLI12-1,1.5mA,-4.06666666666667,0.23901286156432408
29,RLI12-1,1.5mA,-4.033333333333337,0.24214889000569184
30,RLI12-1,1.5mA,-4.0000000000000036,0.24534345268576468
31,RLI12-1,1.5mA,-3.9666666666666703,0.248726247046038
32,RLI12-1,1.5mA,-3.933333333333337,0.25234009149588704
33,RLI12-1,1.5mA,-3.900000000000004,0.25241638436846464
34,RLI12-1,1.5mA,-3.8666666666666707,0.2514926754329407
35,RLI12-1,1.5mA,-3.8333333333333375,0.24798631141157454
36,RLI12-1,1.5mA,-3.8000000000000043,0.2448597368164671
37,RLI12-1,1.5mA,-3.766666666666671,0.24493447876441166
38,RLI12-1,1.5mA,-3.733333333333338,0.2445365378580175
39,RLI12-1,1.5mA,-3.7000000000000046,0.24022726962550287
40,RLI12-1,1.5mA,-3.6666666666666714,0.2352808294003869
41,RLI12-1,1.5mA,-3.633333333333338,0.23065728231152224
42,RLI12-1,1.5mA,-3.600000000000005,0.22805762330115403
43,RLI12-1,1.5mA,-3.5666666666666718,0.22337802019997996
44,RLI12-1,1.5mA,-3.5333333333333385,0.2190742529409949
45,RLI12-1,1.5mA,-3.5000000000000053,0.21533166618491092
46,RLI12-1,1.5mA,-3.466666666666672,0.21357246302255678
47,RLI12-1,1.5mA,-3.433333333333339,0.21036742920411086
48,RLI12-1,1.5mA,-3.4000000000000057,0.20835112200960174
49,RLI12-1,1.5mA,-3.3666666666666725,0.20434613370461482
50,RLI12-1,1.5mA,-3.3333333333333393,0.2010854113192407
51,RLI12-1,1.5mA,-3.300000000000006,0.19815459979025565
52,RLI12-1,1.5mA,-3.266666666666673,0.19312437956188486
53,RLI12-1,1.5mA,-3.2333333333333396,0.18786911236898712
54,RLI12-1,1.5mA,-3.2000000000000064,0.18494878130328762
55,RLI12-1,1.5mA,-3.166666666666673,0.18279859428901932
56,RLI12-1,1.5mA,-3.13333333333334,0.18106318400009028
57,RLI12-1,1.5mA,-3.1000000000000068,0.18237379836179743
58,RLI12-1,1.5mA,-3.0666666666666735,0.18272175901069443
59,RLI12-1,1.5mA,-3.0333333333333403,0.18196060918989418
60,RLI12-1,1.5mA,-3.000000000000007,0.18080192176203844
61,RLI12-1,1.5mA,-2.966666666666674,0.18006742443804186
62,RLI12-1,1.5mA,-2.9333333333333407,0.18042325974451756
63,RLI12-1,1.5mA,-2.9000000000000075,0.18105734462784182
64,RLI12-1,1.5mA,-2.8666666666666742,0.18046830657357416
65,RLI12-1,1.5mA,-2.833333333333341,0.18095173187558947
66,RLI12-1,1.5mA,-2.800000000000008,0.18323300183284558
67,RLI12-1,1.5mA,-2.7666666666666746,0.18427262012234408
68,RLI12-1,1.5mA,-2.7333333333333414,0.18371357225534626
69,RLI12-1,1.5mA,-2.700000000000008,0.18359100276366525
70,RLI12-1,1.5mA,-2.666666666666675,0.18364258964369704
71,RLI12-1,1.5mA,-2.6333333333333417,0.18575314417838928
72,RLI12-1,1.5mA,-2.6000000000000085,0.18645529542495207
73,RLI12-1,1.5mA,-2.5666666666666753,0.18707273757233472
74,RLI12-1,1.5mA,-2.533333333333342,0.18923425400198912
75,RLI12-1,1.5mA,-2.500000000000009,0.18972454961701615
76,RLI12-1,1.5mA,-2.4666666666666757,0.18703695417826346
77,RLI12-1,1.5mA,-2.4333333333333425,0.18473038061048513
78,RLI12-1,1.5mA,-2.4000000000000092,0.18505770690858697
79,RLI12-1,1.5mA,-2.366666666666676,0.18678999326421197
80,RLI12-1,1.5mA,-2.333333333333343,0.18732112658766695
81,RLI12-1,1.5mA,-2.3000000000000096,0.18669816105711728
82,RLI12-1,1.5mA,-2.2666666666666764,0.1873137175180629
83,RLI12-1,1.5mA,-2.233333333333343,0.18857551203139555
84,RLI12-1,1.5mA,-2.20000000000001,0.18953351425812348
85,RLI12-1,1.5mA,-2.1666666666666767,0.19148494778502945
86,RLI12-1,1.5mA,-2.1333333333333435,0.19428824291209573
87,RLI12-1,1.5mA,-2.1000000000000103,0.19704594382324775
88,RLI12-1,1.5mA,-2.066666666666677,0.2007362591880358
89,RLI12-1,1.5mA,-2.033333333333344,0.20302686487137347
90,RLI12-1,1.5mA,-2.0000000000000107,0.2025163354070658
91,RLI12-1,1.5mA,-1.9666666666666774,0.2006337986221228
92,RLI12-1,1.5mA,-1.9333333333333442,0.19738246652172378
93,RLI12-1,1.5mA,-1.900000000000011,0.196683294640896
94,RLI12-1,1.5mA,-1.8666666666666778,0.19586310479465172
95,RLI12-1,1.5mA,-1.8333333333333446,0.1934050015228617
96,RLI12-1,1.5mA,-1.8000000000000114,0.19439831898654406
97,RLI12-1,1.5mA,-1.7666666666666782,0.19414608035147363
98,RLI12-1,1.5mA,-1.733333333333345,0.1922304571418834
99,RLI12-1,1.5mA,-1.7000000000000117,0.19140540298425168
100,RLI12-1,1.5mA,-1.6666666666666785,0.19107125198211056
101,RLI12-1,1.5mA,-1.6333333333333453,0.1894334139436496
102,RLI12-1,1.5mA,-1.600000000000012,0.1899562872463547
103,RLI12-1,1.5mA,-1.5666666666666789,0.1923431967685833
104,RLI12-1,1.5mA,-1.5333333333333456,0.19604899477245918
105,RLI12-1,1.5mA,-1.5000000000000124,0.2017202334850488
106,RLI12-1,1.5mA,-1.4666666666666792,0.2085314090012315
107,RLI12-1,1.5mA,-1.433333333333346,0.21672338751989345
108,RLI12-1,1.5mA,-1.4000000000000128,0.22427378006405113
109,RLI12-1,1.5mA,-1.3666666666666796,0.2344488910290626
110,RLI12-1,1.5mA,-1.3333333333333464,0.24772983398053688
111,RLI12-1,1.5mA,-1.3000000000000131,0.2607861968810846
112,RLI12-1,1.5mA,-1.26666666666668,0.27393942985717495
113,RLI12-1,1.5mA,-1.2333333333333467,0.28738662179418867
114,RLI12-1,1.5mA,-1.2000000000000135,0.30123748876609013
115,RLI12-1,1.5mA,-1.1666666666666803,0.3171932789953817
116,RLI12-1,1.5mA,-1.133333333333347,0.33499875226278336
117,RLI12-1,1.5mA,-1.1000000000000139,0.3552628645749974
118,RLI12-1,1.5mA,-1.0666666666666806,0.38066511246454715
119,RLI12-1,1.5mA,-1.0333333333333474,0.4089806995239713
120,RLI12-1,1.5mA,-1.0000000000000142,0.44074494823129673
121,RLI12-1,1.5mA,-0.966666666666681,0.4775383033123768
122,RLI12-1,1.5mA,-0.9333333333333478,0.5163436782237416
123,RLI12-1,1.5mA,-0.9000000000000146,0.5619790631628616
124,RLI12-1,1.5mA,-0.8666666666666814,0.6127470687106545
125,RLI12-1,1.5mA,-0.8333333333333481,0.6655628982531488
126,RLI12-1,1.5mA,-0.8000000000000149,0.7196413564690997
127,RLI12-1,1.5mA,-0.7666666666666817,0.7771156806878481
128,RLI12-1,1.5mA,-0.7333333333333485,0.8353145853303557
129,RLI12-1,1.5mA,-0.7000000000000153,0.8942144122575592
130,RLI12-1,1.5mA,-0.6666666666666821,0.9516798423269273
131,RLI12-1,1.5mA,-0.6333333333333488,1.0110948504837132
132,RLI12-1,1.5mA,-0.6000000000000156,1.072339481663782
133,RLI12-1,1.5mA,-0.5666666666666824,1.1346423221116173
134,RLI12-1,1.5mA,-0.5333333333333492,1.198791373216418
135,RLI12-1,1.5mA,-0.500000000000016,1.2674616294873873
136,RLI12-1,1.5mA,-0.4666666666666828,1.3400231817454717
137,RLI12-1,1.5mA,-0.43333333333334956,1.419539525135762
138,RLI12-1,1.5mA,-0.40000000000001634,1.5064271299209822
139,RLI12-1,1.5mA,-0.3666666666666831,1.6040277966399061
140,RLI12-1,1.5mA,-0.3333333333333499,1.7116367617469337
141,RLI12-1,1.5mA,-0.3000000000000167,1.8327881849832246
142,RLI12-1,1.5mA,-0.2666666666666835,1.9679713434598434
143,RLI12-1,1.5mA,-0.23333333333335027,2.1144924970282637
144,RLI12-1,1.5mA,-0.20000000000001705,2.267885029683462
145,RLI12-1,1.5mA,-0.16666666666668384,2.433167232907589
146,RLI12-1,1.5mA,-0.13333333333335062,2.598176060075689
147,RLI12-1,1.5mA,-0.10000000000001741,2.7569312464696796
148,RLI12-1,1.5mA,-0.0666666666666842,2.9012508545718236
149,RLI12-1,1.5mA,-0.03333333333335098,3.0279439398730332
150,RLI12-1,1.5mA,-1.7763568394002505e-14,3.1104477073527192
151,RLI12-1,1.5mA,0.03333333333331545,3.030710531145105
152,RLI12-1,1.5mA,0.06666666666664867,2.902898789226401
153,RLI12-1,1.5mA,0.09999999999998188,2.7605153168506407
154,RLI12-1,1.5mA,0.1333333333333151,2.6031629054619376
155,RLI12-1,1.5mA,0.1666666666666483,2.440403371997757
156,RLI12-1,1.5mA,0.19999999999998153,2.273705803921758
157,RLI12-1,1.5mA,0.23333333333331474,2.112108268302193
158,RLI12-1,1.5mA,0.26666666666664796,1.9592389966176649
159,RLI12-1,1.5mA,0.29999999999998117,1.8185810801987343
160,RLI12-1,1.5mA,0.3333333333333144,1.690627903779667
161,RLI12-1,1.5mA,0.3666666666666476,1.5754133030370647
162,RLI12-1,1.5mA,0.3999999999999808,1.4718589141672827
163,RLI12-1,1.5mA,0.43333333333331403,1.3794502944877782
164,RLI12-1,1.5mA,0.46666666666664725,1.2984427448129554
165,RLI12-1,1.5mA,0.49999999999998046,1.2260339064490744
166,RLI12-1,1.5mA,0.5333333333333137,1.1561416520974348
167,RLI12-1,1.5mA,0.5666666666666469,1.089776896525837
168,RLI12-1,1.5mA,0.5999999999999801,1.0260157364255358
169,RLI12-1,1.5mA,0.6333333333333133,0.9625306708421075
170,RLI12-1,1.5mA,0.6666666666666465,0.9000859169392749
171,RLI12-1,1.5mA,0.6999999999999797,0.840789188857268
172,RLI12-1,1.5mA,0.733333333333313,0.7845687588222264
173,RLI12-1,1.5mA,0.7666666666666462,0.7272134629546855
174,RLI12-1,1.5mA,0.7999999999999794,0.6753411617388674
175,RLI12-1,1.5mA,0.8333333333333126,0.6269011002653412
176,RLI12-1,1.5mA,0.8666666666666458,0.580793862102069
177,RLI12-1,1.5mA,0.899999999999979,0.5366363012033534
178,RLI12-1,1.5mA,0.9333333333333123,0.4977839352728052
179,RLI12-1,1.5mA,0.9666666666666455,0.4609373861492408
180,RLI12-1,1.5mA,0.9999999999999787,0.42827575994025596
181,RLI12-1,1.5mA,1.033333333333312,0.4008442232644204
182,RLI12-1,1.5mA,1.0666666666666451,0.3775025160684104
183,RLI12-1,1.5mA,1.0999999999999783,0.35886592229460307
184,RLI12-1,1.5mA,1.1333333333333115,0.34486228241502975
185,RLI12-1,1.5mA,1.1666666666666448,0.32999063522472627
186,RLI12-1,1.5mA,1.199999999999978,0.3175654975555665
187,RLI12-1,1.5mA,1.2333333333333112,0.3056245545173994
188,RLI12-1,1.5mA,1.2666666666666444,0.29228651041814996
189,RLI12-1,1.5mA,1.2999999999999776,0.2789937476444106
190,RLI12-1,1.5mA,1.3333333333333108,0.26471236252830405
191,RLI12-1,1.5mA,1.366666666666644,0.24958840246309447
192,RLI12-1,1.5mA,1.3999999999999773,0.23558205991956743
193,RLI12-1,1.5mA,1.4333333333333105,0.22317084170785936
194,RLI12-1,1.5mA,1.4666666666666437,0.2111866004813539
195,RLI12-1,1.5mA,1.499999999999977,0.20077652726153433
196,RLI12-1,1.5mA,1.5333333333333101,0.18831658016533773
197,RLI12-1,1.5mA,1.5666666666666433,0.17708619694904393
198,RLI12-1,1.5mA,1.5999999999999766,0.16890026142883793
199,RLI12-1,1.5mA,1.6333333333333098,0.16484871200410023
200,RLI12-1,1.5mA,1.666666666666643,0.16258424315571168
201,RLI12-1,1.5mA,1.6999999999999762,0.1610091065643947
202,RLI12-1,1.5mA,1.7333333333333094,0.1599829105037013
203,RLI12-1,1.5mA,1.7666666666666426,0.1607475429559102
204,RLI12-1,1.5mA,1.7999999999999758,0.1627295447866069
205,RLI12-1,1.5mA,1.833333333333309,0.1656225003647718
206,RLI12-1,1.5mA,1.8666666666666423,0.16866682866697486
207,RLI12-1,1.5mA,1.8999999999999755,0.17310919165305733
208,RLI12-1,1.5mA,1.9333333333333087,0.17992325455031433
209,RLI12-1,1.5mA,1.966666666666642,0.18527917095579116
210,RLI12-1,1.5mA,1.9999999999999751,0.19049248552932777
211,RLI12-1,1.5mA,2.0333333333333083,0.19493033224109182
212,RLI12-1,1.5mA,2.0666666666666416,0.1983833313638246
213,RLI12-1,1.5mA,2.0999999999999748,0.20056632462522622
214,RLI12-1,1.5mA,2.133333333333308,0.20223488446647725
215,RLI12-1,1.5mA,2.166666666666641,0.20396721674670523
216,RLI12-1,1.5mA,2.1999999999999744,0.2025179013172095
217,RLI12-1,1.5mA,2.2333333333333076,0.19991532737953518
218,RLI12-1,1.5mA,2.266666666666641,0.1984806113011366
219,RLI12-1,1.5mA,2.299999999999974,0.19753739332983938
220,RLI12-1,1.5mA,2.3333333333333073,0.1955496073758019
221,RLI12-1,1.5mA,2.3666666666666405,0.19450990609978633
222,RLI12-1,1.5mA,2.3999999999999737,0.19364845682663143
223,RLI12-1,1.5mA,2.433333333333307,0.1894823328627561
224,RLI12-1,1.5mA,2.46666666666664,0.18916376526679696
225,RLI12-1,1.5mA,2.4999999999999734,0.1919973822563224
226,RLI12-1,1.5mA,2.5333333333333066,0.19417856966115243
227,RLI12-1,1.5mA,2.56666666666664,0.19729168753334983
