,Mouse,Amplitude,Time,AverageLocomotion
0,RLI12-1,1.5mA,-5.0,1.5238831477357748
1,RLI12-1,1.5mA,-4.966666666666667,1.5278083107190998
2,RLI12-1,1.5mA,-4.933333333333334,1.51845561021845
3,RLI12-1,1.5mA,-4.9,1.5186909476568535
4,RLI12-1,1.5mA,-4.866666666666667,1.5181122814351322
5,RLI12-1,1.5mA,-4.833333333333334,1.5260825429624745
6,RLI12-1,1.5mA,-4.800000000000001,1.5394178996628833
7,RLI12-1,1.5mA,-4.7666666666666675,1.539075058995506
8,RLI12-1,1.5mA,-4.733333333333334,1.536029506701882
9,RLI12-1,1.5mA,-4.700000000000001,1.5386524328490752
10,RLI12-1,1.5mA,-4.666666666666668,1.5208133206481118
11,RLI12-1,1.5mA,-4.633333333333335,1.5169108471946118
12,RLI12-1,1.5mA,-4.600000000000001,1.5041216856255013
13,RLI12-1,1.5mA,-4.566666666666668,1.495962682100618
14,RLI12-1,1.5mA,-4.533333333333335,1.4960717111788633
15,RLI12-1,1.5mA,-4.500000000000002,1.4877461962076817
16,RLI12-1,1.5mA,-4.466666666666669,1.4954180974666709
17,RLI12-1,1.5mA,-4.433333333333335,1.4961251224232224
18,RLI12-1,1.5mA,-4.400000000000002,1.5062398316226575
19,RLI12-1,1.5mA,-4.366666666666669,1.5025294947013053
20,RLI12-1,1.5mA,-4.333333333333336,1.4962560464662142
21,RLI12-1,1.5mA,-4.3000000000000025,1.5018982831476226
22,RLI12-1,1.5mA,-4.266666666666669,1.5053689752143968
23,RLI12-1,1.5mA,-4.233333333333336,1.5010426033911632
24,RLI12-1,1.5mA,-4.200000000000003,1.5058280016807313
25,RLI12-1,1.5mA,-4.16666666666667,1.5065096185746987
26,RLI12-1,1.5mA,-4.133333333333336,1.5079592579501004
27,RLI12-1,1.5mA,-4.100000000000003,1.518532589275187
28,RLI12-1,1.5mA,-4.06666666666667,1.517831134707937
29,RLI12-1,1.5mA,-4.033333333333337,1.5193527939260736
30,RLI12-1,1.5mA,-4.0000000000000036,1.527666886050298
31,RLI12-1,1.5mA,-3.9666666666666703,1.5327165532617226
32,RLI12-1,1.5mA,-3.933333333333337,1.528090660844024
33,RLI12-1,1.5mA,-3.900000000000004,1.5332046209196053
34,RLI12-1,1.5mA,-3.8666666666666707,1.5350109223567505
35,RLI12-1,1.5mA,-3.8333333333333375,1.5377715848907463
36,RLI12-1,1.5mA,-3.8000000000000043,1.5477996212413478
37,RLI12-1,1.5mA,-3.766666666666671,1.5445724499324915
38,RLI12-1,1.5mA,-3.733333333333338,1.5499428677077134
39,RLI12-1,1.5mA,-3.7000000000000046,1.5598255633751015
40,RLI12-1,1.5mA,-3.6666666666666714,1.5575740574264703
41,RLI12-1,1.5mA,-3.633333333333338,1.5439684431061764
42,RLI12-1,1.5mA,-3.600000000000005,1.5477775699161964
43,RLI12-1,1.5mA,-3.5666666666666718,1.5515940361231904
44,RLI12-1,1.5mA,-3.5333333333333385,1.5531331912297952
45,RLI12-1,1.5mA,-3.5000000000000053,1.5490751626287618
46,RLI12-1,1.5mA,-3.466666666666672,1.5523565513528486
47,RLI12-1,1.5mA,-3.433333333333339,1.5505260647289942
48,RLI12-1,1.5mA,-3.4000000000000057,1.549011938541548
49,RLI12-1,1.5mA,-3.3666666666666725,1.5509740416247337
50,RLI12-1,1.5mA,-3.3333333333333393,1.5462385842502226
51,RLI12-1,1.5mA,-3.300000000000006,1.5403525438801131
52,RLI12-1,1.5mA,-3.266666666666673,1.534376009279177
53,RLI12-1,1.5mA,-3.2333333333333396,1.522621589580123
54,RLI12-1,1.5mA,-3.2000000000000064,1.52232504740572
55,RLI12-1,1.5mA,-3.166666666666673,1.5201440398423327
56,RLI12-1,1.5mA,-3.13333333333334,1.511068276301058
57,RLI12-1,1.5mA,-3.1000000000000068,1.5070453922005365
