,Mouse,EnsembleCombo,Fraction
0,RLI12-1,Overlap,19.989006962257236
1,RLI12-1,Neutral,7.951630633931843
2,RLI12-1,Aversive,6.962257237083181
0,RLI12-2,Overlap,15.85014409221902
1,RLI12-2,Neutral,11.796349663784822
2,RLI12-2,Aversive,6.935638808837656
0,RLI12-3,Overlap,10.871656725033674
1,RLI12-3,Neutral,12.757360015393497
2,RLI12-3,Aversive,7.042524533384645
0,RLI12-4,Overlap,17.909300538047656
1,RLI12-4,Neutral,9.93466564181399
2,RLI12-4,Aversive,8.166794773251345
0,RLI12-5,Overlap,17.23011909335382
1,RLI12-5,Neutral,9.68113714944295
2,RLI12-5,Aversive,7.011140991164042
