,Mouse,Bin,Participation
0,RLI12-1,0.0,3.0067408147501795
1,RLI12-1,10.0,3.4848193266566665
2,RLI12-1,20.0,1.7128839984077233
3,RLI12-1,30.0,2.4460168032668035
4,RLI12-1,40.0,2.0636330803440797
5,RLI12-1,50.0,1.8977594383460523
6,RLI12-1,60.0,3.502105671239133
7,RLI12-1,70.0,2.749852629566492
8,RLI12-1,80.0,2.0975725035979624
9,RLI12-1,90.0,2.9714393444538265
0,RLI12-2,0.0,4.432681814320348
1,RLI12-2,10.0,3.441614878420148
2,RLI12-2,20.0,3.4746809386578836
3,RLI12-2,30.0,2.9243205447404703
4,RLI12-2,40.0,3.284779810098871
5,RLI12-2,50.0,3.5630313604788704
6,RLI12-2,60.0,3.978513595639985
7,RLI12-2,70.0,3.6040161593831015
8,RLI12-2,80.0,3.795875935941469
9,RLI12-2,90.0,3.6267814140776125
0,RLI12-3,0.0,4.481654120181842
1,RLI12-3,10.0,4.439767055561881
2,RLI12-3,20.0,3.7166916025598233
3,RLI12-3,30.0,3.3009624862067217
4,RLI12-3,40.0,2.455236472114341
5,RLI12-3,50.0,2.8451788643107814
6,RLI12-3,60.0,3.5388024750019307
7,RLI12-3,70.0,4.222347010768903
8,RLI12-3,80.0,3.4945592629970976
9,RLI12-3,90.0,3.947219286152969
0,RLI12-4,0.0,4.241219129098019
1,RLI12-4,10.0,3.831500852187281
2,RLI12-4,20.0,2.2113424456104003
3,RLI12-4,30.0,2.441433011395916
4,RLI12-4,40.0,2.444813031810888
5,RLI12-4,50.0,2.5553892417438675
6,RLI12-4,60.0,3.3022843426783717
7,RLI12-4,70.0,2.969881467696913
8,RLI12-4,80.0,2.861496554607118
9,RLI12-4,90.0,2.9665102417843223
0,RLI12-5,0.0,4.331677734482191
1,RLI12-5,10.0,3.1842379671807253
2,RLI12-5,20.0,3.0379781570715108
3,RLI12-5,30.0,3.700537840952747
4,RLI12-5,40.0,2.624032709511004
5,RLI12-5,50.0,2.7428516546841553
6,RLI12-5,60.0,3.161266607152234
7,RLI12-5,70.0,2.8677480604836147
8,RLI12-5,80.0,3.0059394666364483
9,RLI12-5,90.0,3.478001310054531
