,Mouse,Bin,TrueVsShuffle,Accuracy
0,RLI12-1,0,True,0.6182919708029196
1,RLI12-1,0,Shuffle,0.4991313868613139
2,RLI12-1,1,True,0.5923771289537713
3,RLI12-1,1,Shuffle,0.4984914841849148
4,RLI12-1,2,True,0.673720194647202
5,RLI12-1,2,Shuffle,0.5000924574209246
6,RLI12-1,3,True,0.5805255474452555
7,RLI12-1,3,Shuffle,0.49803406326034066
8,RLI12-1,4,True,0.5997931873479319
9,RLI12-1,4,Shuffle,0.498985401459854
10,RLI12-2,0,True,0.6111362530413625
11,RLI12-2,0,Shuffle,0.49951581508515813
12,RLI12-2,1,True,0.594323600973236
13,RLI12-2,1,Shuffle,0.4982700729927007
14,RLI12-2,2,True,0.6299951338199513
15,RLI12-2,2,Shuffle,0.4988272506082725
16,RLI12-2,3,True,0.5801386861313869
17,RLI12-2,3,Shuffle,0.4982116788321168
18,RLI12-2,4,True,0.556712895377129
19,RLI12-2,4,Shuffle,0.49836739659367396
20,RLI12-3,0,True,0.5888102189781023
21,RLI12-3,0,Shuffle,0.49982238442822385
22,RLI12-3,1,True,0.5756982968369829
23,RLI12-3,1,Shuffle,0.49799270072992696
24,RLI12-3,2,True,0.5645328467153284
25,RLI12-3,2,Shuffle,0.4985425790754258
26,RLI12-3,3,True,0.5811265206812652
27,RLI12-3,3,Shuffle,0.49945012165450126
28,RLI12-3,4,True,0.5791459854014599
29,RLI12-3,4,Shuffle,0.49893430656934307
30,RLI12-4,0,True,0.6771557177615571
31,RLI12-4,0,Shuffle,0.49960097323600977
32,RLI12-4,1,True,0.6148978102189782
33,RLI12-4,1,Shuffle,0.49884914841849143
34,RLI12-4,2,True,0.6023503649635037
35,RLI12-4,2,Shuffle,0.4996374695863747
36,RLI12-4,3,True,0.6317469586374697
37,RLI12-4,3,Shuffle,0.4990097323600973
38,RLI12-4,4,True,0.6330389294403893
39,RLI12-4,4,Shuffle,0.498970802919708
40,RLI12-5,0,True,0.6623017031630171
41,RLI12-5,0,Shuffle,0.49830900243309
42,RLI12-5,1,True,0.6859075425790755
43,RLI12-5,1,Shuffle,0.4989659367396594
44,RLI12-5,2,True,0.6695328467153284
45,RLI12-5,2,Shuffle,0.500676399026764
46,RLI12-5,3,True,0.6589537712895377
47,RLI12-5,3,Shuffle,0.4994330900243309
48,RLI12-5,4,True,0.6344184914841849
49,RLI12-5,4,Shuffle,0.4992506082725061
