,Mouse,Amplitude,TrueVsShuffle,Accuracy
0,RLI5-1,0.25mA,True,0.813698296836983
1,RLI5-1,0.25mA,Shuffle,0.4997980535279805
6,RLI5-2,1.5mA,True,0.9251703163017032
7,RLI5-2,1.5mA,Shuffle,0.4975498783454988
10,RLI5-4,1.5mA,True,0.7192846715328467
11,RLI5-4,1.5mA,Shuffle,0.49930900243309007
12,RLI5-5,0.25mA,True,0.6098783454987834
13,RLI5-5,0.25mA,Shuffle,0.4996666666666667
18,RLI5-6,1.5mA,True,0.7542846715328467
19,RLI5-6,1.5mA,Shuffle,0.49713868613138684
20,RLI5-7,0.25mA,True,0.5576374695863747
21,RLI5-7,0.25mA,Shuffle,0.49846228710462287
26,RLI5-8,1.5mA,True,0.6342554744525547
27,RLI5-8,1.5mA,Shuffle,0.5002189781021898
28,RLI5-9,0.25mA,True,0.5351216545012165
29,RLI5-9,0.25mA,Shuffle,0.4984403892944039
32,RLI6-1,0.25mA,True,0.5782676399026764
33,RLI6-1,0.25mA,Shuffle,0.49717031630170316
36,RLI6-10,0.25mA,True,0.9032700729927008
37,RLI6-10,0.25mA,Shuffle,0.49875912408759127
42,RLI6-11,1.5mA,True,0.7473406326034063
43,RLI6-11,1.5mA,Shuffle,0.49837469586374694
46,RLI6-2,1.5mA,True,0.9403138686131386
47,RLI6-2,1.5mA,Shuffle,0.499676399026764
50,RLI6-4,1.5mA,True,0.672720194647202
51,RLI6-4,1.5mA,Shuffle,0.49946715328467156
54,RLI6-6,1.5mA,True,0.6692384428223845
55,RLI6-6,1.5mA,Shuffle,0.4997396593673966
