,Mouse,Amplitude,Intra_Inter,Corr
2,RLI5-1,0.25mA,Inter,0.16666791610604714
3,RLI5-1,0.25mA,Intra,0.18089750693906947
10,RLI5-2,1.5mA,Inter,0.0013354310930812027
11,RLI5-2,1.5mA,Intra,0.17784050609955213
16,RLI5-4,1.5mA,Inter,0.0013396824268149532
17,RLI5-4,1.5mA,Intra,0.00452930109760869
20,RLI5-5,0.25mA,Inter,-0.1006062702315953
21,RLI5-5,0.25mA,Intra,0.10781429550280264
28,RLI5-6,1.5mA,Inter,0.001300186990176965
29,RLI5-6,1.5mA,Intra,0.3872880225049683
32,RLI5-7,0.25mA,Inter,0.3379465390466049
33,RLI5-7,0.25mA,Intra,0.3401702080964262
40,RLI5-8,1.5mA,Inter,0.027272210945152666
41,RLI5-8,1.5mA,Intra,0.03371435544875528
44,RLI5-9,0.25mA,Inter,-0.5295672954891711
45,RLI5-9,0.25mA,Intra,0.5347961967811531
50,RLI6-1,0.25mA,Inter,0.004496597215839042
51,RLI6-1,0.25mA,Intra,0.38071783157459727
56,RLI6-10,0.25mA,Inter,0.30338681257261757
57,RLI6-10,0.25mA,Intra,0.3063146378078089
64,RLI6-11,1.5mA,Inter,0.3309978403992042
65,RLI6-11,1.5mA,Intra,0.3355622627512382
70,RLI6-2,1.5mA,Inter,-0.1592425775285729
71,RLI6-2,1.5mA,Intra,0.1712775539725736
76,RLI6-4,1.5mA,Inter,-0.13963751760188473
77,RLI6-4,1.5mA,Intra,0.14657043788440338
82,RLI6-6,1.5mA,Inter,0.0003626905707527525
83,RLI6-6,1.5mA,Intra,0.006010425876810065
