,Mouse,Amplitude,FractionActive
1,RLI5-1,0.25mA,40.58252427184466
4,RLI5-2,1.5mA,50.617283950617285
7,RLI5-4,1.5mA,42.50474383301708
10,RLI5-5,0.25mA,35.748792270531396
13,RLI5-6,1.5mA,17.549668874172188
16,RLI5-7,0.25mA,35.714285714285715
19,RLI5-8,1.5mA,33.81877022653722
22,RLI5-9,0.25mA,28.076923076923077
25,RLI6-1,0.25mA,9.565217391304348
28,RLI6-2,1.5mA,52.400000000000006
31,RLI6-4,1.5mA,36.92307692307693
34,RLI6-6,1.5mA,44.847605224963715
37,RLI6-10,0.25mA,35.810810810810814
40,RLI6-11,1.5mA,46.478873239436616
